Nsyl,Ntom,HEB,p_value,q_value
Nitab20g006830.1,Nitab04g023860.1,4.886414227931829,0.0,0.0
Nitab20g007080.1,Nitab24g023800.1,5.957172293537048,0.0,0.0
Nitab20g007850.1,Nitab24g022790.1,5.672324610550057,0.0,0.0
Nitab20g008590.1,Nitab24g021990.1,4.259035469457557,0.0,0.0
Nitab20g009520.1,Nitab09g014530.1,4.80674963303974,0.0,0.0
Nitab20g010330.1,Nitab24g019720.1,5.835188619701777,0.0,0.0
Nitab20g010320.1,Nitab24g019700.1,6.532829571129135,0.0,0.0
Nitab20g012100.1,Nitab18g016530.1,7.679253887769826,0.0,0.0
Nitab20g015070.1,Nitab15g019430.1,5.4624884905577575,0.0,0.0
Nitab20g015890.1,Nitab12g013270.1,4.409040551071954,0.0,0.0
Nitab20g020470.1,Nitab15g009970.1,5.206331553393067,0.0,0.0
Nitab20g020260.1,Nitab04g007850.1,8.779941534203234,0.0,0.0
Nitab20g021260.1,Nitab19g034010.1,4.7064810802269665,0.0,0.0
Nitab20g021700.1,Nitab02g009560.1,4.980195290379845,0.0,0.0
Nitab20g021580.1,Nitab22g008720.1,4.471531584595363,0.0,0.0
Nitab20g023550.1,Nitab15g007000.1,4.763576403109376,0.0,0.0
Nitab08g005940.1,Nitab04g006380.1,6.041241894057657,0.0,0.0
Nitab08g006210.1,Nitab22g013900.1,4.630509223040522,0.0,0.0
Nitab08g006220.1,Nitab15g010200.1,8.617998511390391,0.0,0.0
Nitab08g006630.1,Nitab04g008420.1,4.688286237601269,0.0,0.0
Nitab08g006770.1,Nitab22g014340.1,5.266215641259374,0.0,0.0
Nitab08g007120.1,Nitab15g009490.1,4.444565399754479,0.0,0.0
Nitab08g007710.1,Nitab17g007410.1,6.475107562501492,0.0,0.0
Nitab08g008450.1,Nitab04g013010.1,4.140535206108705,0.0,0.0
Nitab08g010370.1,Nitab19g013030.1,8.71340186828638,0.0,0.0
Nitab08g011010.1,Nitab22g005340.1,4.239539839811881,0.0,0.0
Nitab08g011110.1,Nitab19g015310.1,3.850412764326704,0.0,0.0
Nitab08g014470.1,Nitab17g009420.1,6.757894607477094,0.0,0.0
Nitab08g014520.1,Nitab22g015780.1,5.459043945972732,0.0,0.0
Nitab08g016020.1,Nitab22g020550.1,4.994090902938337,0.0,0.0
Nitab08g016420.1,Nitab02g011910.1,4.8707081828815655,0.0,0.0
Nitab08g019580.1,Nitab19g033010.1,8.406644756477924,0.0,0.0
Nitab08g020050.1,Nitab14g007440.1,5.225783960498107,0.0,0.0
Nitab08g021540.1,Nitab24g018450.1,5.077338032686143,0.0,0.0
Nitab08g021780.1,Nitab21g011130.1,5.108330219117746,0.0,0.0
Nitab08g023050.1,Nitab10g005180.1,9.015129012281056,0.0,0.0
Nitab08g024190.1,Nitab02g018910.1,6.573832913268157,0.0,0.0
Nitab08g025160.1,Nitab21g016310.1,5.136000301946657,0.0,0.0
Nitab08g026850.1,Nitab02g027470.1,4.699431097922653,0.0,0.0
Nitab08g029260.1,Nitab21g020610.1,6.8539423358896565,0.0,0.0
Nitab09g006130.1,Nitab18g025190.1,8.713476280329727,0.0,0.0
Nitab09g007860.1,Nitab24g021300.1,7.828402293218079,0.0,0.0
Nitab09g007970.1,Nitab18g023510.1,4.063285644487896,0.0,0.0
Nitab09g008140.1,Nitab18g023430.1,6.101994892461224,0.0,0.0
Nitab09g020220.1,Nitab04g015400.1,6.0323861444394655,0.0,0.0
Nitab06g013110.1,Nitab17g028010.1,6.152602629772193,0.0,0.0
Nitab06g016360.1,Nitab13g015590.1,5.459082250997344,0.0,0.0
Nitab06g016670.1,Nitab04g022090.1,5.260936147726621,0.0,0.0
Nitab06g016720.1,Nitab04g022170.1,4.765753992943529,0.0,0.0
Nitab06g017790.1,Nitab04g021040.1,5.387909523641055,0.0,0.0
Nitab06g019060.1,Nitab04g019340.1,5.771985359521359,0.0,0.0
Nitab06g019710.1,Nitab21g011280.1,6.448769421204835,0.0,0.0
Nitab06g021980.1,Nitab04g017010.1,5.55592854526339,0.0,0.0
Nitab06g022150.1,Nitab04g017380.1,4.630124332884305,0.0,0.0
Nitab06g022790.1,Nitab24g016180.1,9.213252534035119,0.0,0.0
Nitab06g023490.1,Nitab04g013880.1,5.551500386052507,0.0,0.0
Nitab06g023220.1,Nitab04g015560.1,4.546795925635888,0.0,0.0
Nitab06g025710.1,Nitab22g020840.1,5.224910112820336,0.0,0.0
Nitab06g028410.1,Nitab04g007450.1,4.032246665420649,0.0,0.0
Nitab06g028400.1,Nitab04g007480.1,6.293544567913855,0.0,0.0
Nitab06g029550.1,Nitab22g012570.1,9.415823674017005,0.0,0.0
Nitab06g030250.1,Nitab04g009320.1,4.25747667342102,0.0,0.0
Nitab06g032250.1,Nitab22g009220.1,5.238118345175128,0.0,0.0
Nitab06g031860.1,Nitab15g009160.1,4.281813691145737,0.0,0.0
Nitab06g032180.1,Nitab04g010600.1,4.970390622047903,0.0,0.0
Nitab06g032680.1,Nitab04g011190.1,4.828019658066622,0.0,0.0
Nitab06g033280.1,Nitab15g009450.1,6.539874024978022,0.0,0.0
Nitab06g034010.1,Nitab22g008000.1,6.572488682830603,0.0,0.0
Nitab06g035240.1,Nitab24g017990.1,6.083831533886734,0.0,0.0
Nitab13g016300.1,Nitab04g024290.1,5.29607927871889,0.0,0.0
Nitab13g021050.1,Nitab04g010580.1,7.8100000282889495,0.0,0.0
Nitab13g025830.1,Nitab11g008110.1,6.304601811643467,0.0,0.0
Nitab13g026840.1,Nitab23g026530.1,5.068243229208832,0.0,0.0
Nitab13g027220.1,Nitab23g026610.1,4.846103729267492,0.0,0.0
Nitab03g005300.1,Nitab17g011260.1,5.8573983888310135,0.0,0.0
