Nsyl,Ntom,HEB,p_value,q_value
Nitab20g005200.1,Nitab13g011020.1,-4.477663596255265,0.0,0.0
Nitab20g005930.1,Nitab17g037690.1,-4.798911689195244,0.0,0.0
Nitab20g006310.1,Nitab24g024330.1,-4.4334963700645815,0.0,0.0
Nitab20g007010.1,Nitab24g023780.1,-5.000118575092806,0.0,0.0
Nitab20g009630.1,Nitab04g012740.1,-8.261255742890864,0.0,0.0
Nitab20g011310.1,Nitab23g018900.1,-4.768323724961505,0.0,0.0
Nitab20g012960.1,Nitab24g007350.1,-4.565956529144318,0.0,0.0
Nitab20g013850.1,Nitab04g015130.1,-4.16792537484883,0.0,0.0
Nitab20g014940.1,Nitab09g014780.1,-5.606681511861791,0.0,0.0
Nitab20g015180.1,Nitab15g021330.1,-4.495534657151087,0.0,0.0
Nitab20g015260.1,Nitab15g021480.1,-4.679713403445357,0.0,0.0
Nitab20g017570.1,Nitab12g019850.1,-5.001536447881939,0.0,0.0
Nitab20g018300.1,Nitab19g008540.1,-9.160598214376787,0.0,0.0
Nitab20g020740.1,Nitab22g009720.1,-5.192068651045948,0.0,0.0
Nitab20g021410.1,Nitab22g009040.1,-4.957163007857953,0.0,0.0
Nitab20g022040.1,Nitab15g008660.1,-4.5767713904487035,0.0,0.0
Nitab20g023410.1,Nitab13g006560.1,-5.586486398001847,0.0,0.0
Nitab20g023970.1,Nitab06g026470.1,-4.401048426121294,0.0,0.0
Nitab20g023810.1,Nitab14g009960.1,-5.807309531312327,0.0,0.0
Nitab20g025100.1,Nitab09g021590.1,-7.557894486883375,0.0,0.0
Nitab08g006140.1,Nitab22g013850.1,-5.864122930356661,0.0,0.0
Nitab08g007640.1,Nitab22g008960.1,-6.058318208049714,0.0,0.0
Nitab08g007760.1,Nitab22g008920.1,-8.62873423594831,0.0,0.0
Nitab08g009490.1,Nitab19g010370.1,-4.797676053722311,0.0,0.0
Nitab08g010780.1,Nitab17g009210.1,-6.415891827560958,0.0,0.0
Nitab08g011050.1,Nitab19g015140.1,-3.981237418227204,0.0,0.0
Nitab08g012190.1,Nitab23g014310.1,-3.970645736757921,0.0,0.0
Nitab08g013150.1,Nitab04g008440.1,-7.437719231276656,0.0,0.0
Nitab08g017480.1,Nitab09g019410.1,-6.2171241876451395,0.0,0.0
Nitab08g017970.1,Nitab18g007870.1,-4.70665492308717,0.0,0.0
Nitab08g018480.1,Nitab19g019430.1,-4.968008761112834,0.0,0.0
Nitab08g018760.1,Nitab02g009030.1,-15.284216089342777,0.0,0.0
Nitab08g020060.1,Nitab22g016630.1,-5.448491714305647,0.0,0.0
Nitab08g021720.1,Nitab04g018370.1,-4.535841304912997,0.0,0.0
Nitab08g021980.1,Nitab21g011640.1,-5.734100524446449,0.0,0.0
Nitab08g023140.1,Nitab21g013520.1,-6.398554422172498,0.0,0.0
Nitab08g023650.1,Nitab21g015400.1,-8.507692106410742,0.0,0.0
Nitab08g024170.1,Nitab21g015160.1,-5.936105881868578,0.0,0.0
Nitab08g024480.1,Nitab21g015470.1,-6.779513111142128,0.0,0.0
Nitab08g027170.1,Nitab02g025910.1,-6.880571073346701,0.0,0.0
Nitab08g028090.1,Nitab09g010170.1,-6.28590351609226,0.0,0.0
Nitab08g029380.1,Nitab18g024760.1,-5.136776123088714,0.0,0.0
Nitab08g029620.1,Nitab18g023720.1,-8.137747625514818,0.0,0.0
Nitab09g006480.1,Nitab24g022880.1,-6.7684321375255285,0.0,0.0
Nitab09g007610.1,Nitab09g008340.1,-7.249886160247494,0.0,0.0
Nitab09g008240.1,Nitab18g023280.1,-4.821389650632734,0.0,0.0
Nitab09g018130.1,Nitab19g029470.1,-4.571028717627414,0.0,0.0
Nitab09g018250.1,Nitab09g018430.1,-7.163412853688071,0.0,0.0
Nitab06g005000.1,Nitab19g033700.1,-7.756544876243093,0.0,0.0
Nitab06g006180.1,Nitab04g031950.1,-5.40001952027237,0.0,0.0
Nitab06g007350.1,Nitab04g030710.1,-5.782048485489244,0.0,0.0
Nitab06g008660.1,Nitab04g026620.1,-4.135736284920708,0.0,0.0
Nitab06g010590.1,Nitab15g018390.1,-5.27653644790308,0.0,0.0
Nitab06g011840.1,Nitab19g019800.1,-5.969318149436266,0.0,0.0
Nitab06g012530.1,Nitab02g010470.1,-4.776075850946062,0.0,0.0
Nitab06g014070.1,Nitab13g014390.1,-8.049610487507215,0.0,0.0
Nitab06g014310.1,Nitab19g021750.1,-5.602021484219866,0.0,0.0
Nitab06g016220.1,Nitab04g022670.1,-4.851602489150745,0.0,0.0
Nitab06g016420.1,Nitab19g026050.1,-7.506471656353132,0.0,0.0
Nitab06g017510.1,Nitab04g021540.1,-5.24494394801909,0.0,0.0
Nitab06g018090.1,Nitab09g020020.1,-5.234554210873587,0.0,0.0
