Nsyl,Ntom,HEB,p_value,q_value
Nitab20g006910.1,Nitab04g031870.1,-7.576722457450786,0.0,0.0
Nitab20g008250.1,Nitab24g022510.1,-11.174727949242177,0.0,0.0
Nitab20g009630.1,Nitab04g012740.1,-8.933828160771265,0.0,0.0
Nitab20g012520.1,Nitab02g027420.1,-5.959522442648324,0.0,0.0
Nitab20g015260.1,Nitab15g021480.1,-5.477389442566902,0.0,0.0
Nitab20g017570.1,Nitab12g019850.1,-4.820098120814848,0.0,0.0
Nitab20g018110.1,Nitab15g012430.1,-7.896562938441315,0.0,0.0
Nitab20g018300.1,Nitab19g008540.1,-9.86767698296754,0.0,0.0
Nitab20g019990.1,Nitab04g005660.1,-6.685591742697655,0.0,0.0
Nitab20g020350.1,Nitab04g008180.1,-5.795368973492749,0.0,0.0
Nitab20g021410.1,Nitab22g009040.1,-5.074211253811623,0.0,0.0
Nitab20g023410.1,Nitab13g006560.1,-6.490477449471194,0.0,0.0
Nitab20g023810.1,Nitab14g009960.1,-5.870252543348442,0.0,0.0
Nitab20g025100.1,Nitab09g021590.1,-5.7384174487157695,0.0,0.0
Nitab20g025170.1,Nitab15g006000.1,-8.266421271867069,0.0,0.0
Nitab20g025230.1,Nitab14g010360.1,-10.746607471539464,0.0,0.0
Nitab08g005080.1,Nitab22g012420.1,-5.587332495685007,0.0,0.0
Nitab08g005750.1,Nitab22g013310.1,-6.675609933131303,0.0,0.0
Nitab08g005910.1,Nitab22g013950.1,-8.382961787163879,0.0,0.0
Nitab08g006580.1,Nitab23g022760.1,-5.3586797741179915,0.0,0.0
Nitab08g007640.1,Nitab22g008960.1,-8.369035537201572,0.0,0.0
Nitab08g011080.1,Nitab22g005360.1,-6.324203771531612,0.0,0.0
Nitab08g011320.1,Nitab22g011960.1,-6.603272965290467,0.0,0.0
Nitab08g011390.1,Nitab15g021080.1,-10.274070336908707,0.0,0.0
Nitab08g011450.1,Nitab12g012730.1,-5.7310837444672345,0.0,0.0
Nitab08g015960.1,Nitab04g014930.1,-7.285463580549894,0.0,0.0
Nitab08g016960.1,Nitab22g019980.1,-5.68113806039419,0.0,0.0
Nitab08g017250.1,Nitab04g027510.1,-5.397070331372608,0.0,0.0
Nitab08g018090.1,Nitab22g018990.1,-5.531590809426096,0.0,0.0
Nitab08g018480.1,Nitab19g019430.1,-5.318711031956487,0.0,0.0
