Nsyl,Ntom,HEB,p_value,q_value
Nitab12g024390.1,Nitab12g013750.1,9.919325725516678,0.0,0.0
Nitab11g018210.1,Nitab13g014710.1,10.43455289626116,0.0,0.0
Nitab10g023730.1,Nitab14g020950.1,12.945419271227385,0.0,0.0
Nitab01g025600.1,Nitab12g006310.1,11.743385012533718,0.0,0.0
Nitab16g011490.1,Nitab12g008820.1,13.62727735005112,0.0,0.0
Nitab07g019340.1,Nitab19g032550.1,11.182209496376723,0.0,0.0
Nitab07g024940.1,Nitab01g027630.1,10.263129274364829,0.0,0.0
Nitab07g026050.1,Nitab02g026280.1,12.03797422474817,0.0,0.0
Nitab21g009660.1,Nitab17g038280.1,14.697787957907401,0.0,0.0
Nitab05g025190.1,Nitab14g019750.1,9.737337801859093,0.0,0.0
Nitab22g030070.1,Nitab14g006740.1,11.488030042415286,0.0,0.0
Nitab20g020260.1,Nitab04g007850.1,8.880776265882558,1.11022302463e-16,4.73214060529e-14
Nitab10g012390.1,Nitab24g012880.1,9.287164473972526,1.11022302463e-16,4.57949090835e-14
Nitab18g018110.1,Nitab21g013060.1,8.916525587814126,1.11022302463e-16,4.30194600481e-14
Nitab18g018670.1,Nitab17g015440.1,9.595157427471236,1.11022302463e-16,4.17541818114e-14
Nitab05g006590.1,Nitab19g026550.1,10.223390524294489,1.11022302463e-16,4.05612051882e-14
Nitab01g009030.1,Nitab23g018890.1,8.857131705436908,3.33066907388e-16,1.12077014336e-13
Nitab03g022340.1,Nitab22g012360.1,9.456195863710986,7.77156117238e-16,2.16032505894e-13
Nitab10g016870.1,Nitab12g005750.1,9.630448057186335,1.11022302463e-15,2.89722894202e-13
Nitab08g010370.1,Nitab19g013030.1,9.422497471859707,1.99840144433e-15,5.01050181737e-13
Nitab17g012750.1,Nitab17g011410.1,8.854263967382511,2.22044604925e-15,5.46016223688e-13
Nitab01g006270.1,Nitab15g023770.1,8.41574542320959,2.6645352591e-15,6.42856836946e-13
Nitab08g024620.1,Nitab21g015630.1,9.55824597446354,4.99600361081e-15,1.12077014336e-12
Nitab06g022790.1,Nitab24g016180.1,8.054957918714866,8.99280649946e-15,1.88509863457e-12
Nitab23g011210.1,Nitab23g008480.1,8.25403335950978,9.21485110439e-15,1.90048872696e-12
Nitab11g026170.1,Nitab04g015700.1,7.984379687491093,1.25455201783e-14,2.46799333107e-12
Nitab03g022500.1,Nitab15g019910.1,7.839419275224042,2.0872192863e-14,3.86801058172e-12
Nitab08g023050.1,Nitab10g005180.1,8.15662091630756,3.07531777821e-14,5.24321179067e-12
Nitab20g018310.1,Nitab12g017380.1,8.148087115649206,3.38618022511e-14,5.62325799201e-12
Nitab06g018460.1,Nitab04g020930.1,7.777274438046629,5.58442181386e-14,8.8158026832e-12
Nitab06g019710.1,Nitab21g011280.1,7.82470730192564,8.90398865749e-14,1.32389887167e-11
Nitab13g026770.1,Nitab13g009490.1,7.484856348424754,1.01474384451e-13,1.47449199315e-11
Nitab16g016430.1,Nitab12g015750.1,7.828115534212081,1.24122934153e-13,1.78332579665e-11
Nitab21g007580.1,Nitab14g020080.1,7.86315682023187,1.28119737042e-13,1.82029675284e-11
Nitab22g035250.1,Nitab17g019130.1,8.004271295412629,1.51878509769e-13,2.08824785421e-11
Nitab10g005780.1,Nitab02g005670.1,8.239541220949304,1.57318602589e-13,2.14003507586e-11
Nitab22g023370.1,Nitab14g014570.1,8.647949372435896,1.89070981094e-13,2.41765063524e-11
Nitab08g023150.1,Nitab21g013560.1,7.683574256992311,1.99507077525e-13,2.52583861417e-11
Nitab03g017620.1,Nitab23g005390.1,7.753286774669617,2.40807374041e-13,2.96077297295e-11
Nitab01g010630.1,Nitab23g012970.1,7.746227539149705,2.47246667584e-13,3.01099346514e-11
