Nsyl,Ntom,HEB,p_value,q_value
Nitab20g006000.1,Nitab24g024580.1,3.9634009209447867,0.0,0.0
Nitab20g006030.1,Nitab24g024540.1,4.336903172206422,0.0,0.0
Nitab20g007080.1,Nitab24g023800.1,6.31515076851458,0.0,0.0
Nitab20g007780.1,Nitab09g015150.1,3.24052335218297,0.0,0.0
Nitab20g007880.1,Nitab24g022920.1,3.4640294556456572,0.0,0.0
Nitab20g009520.1,Nitab09g014530.1,5.47401201890458,0.0,0.0
Nitab20g010310.1,Nitab12g010990.1,5.2687329538666665,0.0,0.0
Nitab20g010330.1,Nitab24g019720.1,8.797115724009652,0.0,0.0
Nitab20g010320.1,Nitab24g019700.1,6.281769865899514,0.0,0.0
Nitab20g012470.1,Nitab12g011510.1,3.280688088229875,0.0,0.0
Nitab20g012900.1,Nitab20g013060.1,3.8200344463723304,0.0,0.0
Nitab20g013690.1,Nitab22g021390.1,3.9273565533694637,0.0,0.0
Nitab20g013780.1,Nitab24g016340.1,5.294971863578307,0.0,0.0
Nitab20g014510.1,Nitab24g018550.1,3.3005209195485583,0.0,0.0
Nitab20g015500.1,Nitab15g013910.1,4.526924846688835,0.0,0.0
Nitab20g015920.1,Nitab04g025080.1,3.7338096952262805,0.0,0.0
Nitab20g017780.1,Nitab23g005060.1,3.5538892992863436,0.0,0.0
Nitab20g018350.1,Nitab15g012230.1,4.659973810829034,0.0,0.0
Nitab20g018310.1,Nitab12g017380.1,7.660299743022107,0.0,0.0
Nitab20g019340.1,Nitab04g025010.1,4.1105160449542675,0.0,0.0
Nitab20g020480.1,Nitab04g008720.1,3.817437357965898,0.0,0.0
Nitab20g020260.1,Nitab04g007850.1,11.30079762062248,0.0,0.0
Nitab20g021260.1,Nitab19g034010.1,5.964072489007147,0.0,0.0
Nitab20g021580.1,Nitab22g008720.1,4.491252043616311,0.0,0.0
Nitab20g021600.1,Nitab15g008970.1,7.18027506271054,0.0,0.0
Nitab20g023040.1,Nitab15g007520.1,3.1833072426083455,0.0,0.0
Nitab20g023160.1,Nitab15g007430.1,3.8684451627742233,0.0,0.0
Nitab20g024410.1,Nitab15g006120.1,6.334652955858523,0.0,0.0
Nitab08g005570.1,Nitab22g013200.1,5.412717305817977,0.0,0.0
Nitab08g006210.1,Nitab22g013900.1,3.2879479842644845,0.0,0.0
Nitab08g006220.1,Nitab15g010200.1,8.739110853948079,0.0,0.0
Nitab08g006630.1,Nitab04g008420.1,4.1297057234576116,0.0,0.0
Nitab08g006830.1,Nitab22g014400.1,6.15832288758369,0.0,0.0
Nitab08g007580.1,Nitab18g025980.1,5.625630925189267,0.0,0.0
