Nsyl,Ntom,HEB,p_value,q_value
Nitab20g005200.1,Nitab13g011020.1,-3.8729936343485494,0.0,0.0
Nitab20g005210.1,Nitab13g024140.1,-5.552071189157771,0.0,0.0
Nitab20g009590.1,Nitab12g013560.1,-12.324349698688959,0.0,0.0
Nitab20g009630.1,Nitab04g012740.1,-7.577896505325353,0.0,0.0
Nitab20g009720.1,Nitab22g021620.1,-3.6860059929427185,0.0,0.0
Nitab20g011450.1,Nitab24g015710.1,-3.4411375430047677,0.0,0.0
Nitab20g012520.1,Nitab02g027420.1,-5.070889052829715,0.0,0.0
Nitab20g015180.1,Nitab15g021330.1,-4.0382967255650035,0.0,0.0
Nitab20g015260.1,Nitab15g021480.1,-4.665274180807975,0.0,0.0
Nitab20g015880.1,Nitab13g008100.1,-3.629094865252568,0.0,0.0
Nitab20g017470.1,Nitab23g019380.1,-6.621247504002079,0.0,0.0
Nitab20g017570.1,Nitab12g019850.1,-3.4012255380000216,0.0,0.0
Nitab20g018020.1,Nitab15g012460.1,-3.758758468906916,0.0,0.0
Nitab20g018110.1,Nitab15g012430.1,-6.258889322295977,0.0,0.0
Nitab20g019220.1,Nitab23g006630.1,-3.6194468380234364,0.0,0.0
Nitab20g019940.1,Nitab15g010620.1,-5.052275952526073,0.0,0.0
Nitab20g019990.1,Nitab04g005660.1,-6.991050627871573,0.0,0.0
Nitab20g021510.1,Nitab15g009070.1,-4.903071520749917,0.0,0.0
Nitab20g021410.1,Nitab22g009040.1,-9.10811108149911,0.0,0.0
Nitab20g022040.1,Nitab15g008660.1,-3.6969618358132563,0.0,0.0
Nitab20g022750.1,Nitab15g007920.1,-10.38177842247091,0.0,0.0
Nitab20g023410.1,Nitab13g006560.1,-4.55231541199735,0.0,0.0
Nitab20g023580.1,Nitab13g016470.1,-3.7175408617758072,0.0,0.0
Nitab20g023470.1,Nitab15g007070.1,-8.110827915207215,0.0,0.0
Nitab20g023810.1,Nitab14g009960.1,-6.053216133648287,0.0,0.0
Nitab20g025100.1,Nitab09g021590.1,-5.706637866508409,0.0,0.0
Nitab20g025230.1,Nitab14g010360.1,-5.24620745335815,0.0,0.0
Nitab20g024970.1,Nitab09g021640.1,-3.3362537507923586,0.0,0.0
Nitab08g006080.1,Nitab04g006630.1,-3.7940202584580107,0.0,0.0
Nitab08g007640.1,Nitab22g008960.1,-7.492999256731135,0.0,0.0
Nitab08g010540.1,Nitab19g013360.1,-3.6304609966208212,0.0,0.0
Nitab08g011050.1,Nitab19g015140.1,-7.869502797902225,0.0,0.0
Nitab08g011320.1,Nitab22g011960.1,-7.944363518097577,0.0,0.0
Nitab08g011450.1,Nitab12g012730.1,-5.238918449285085,0.0,0.0
Nitab08g012190.1,Nitab23g014310.1,-4.795995498615459,0.0,0.0
Nitab08g013390.1,Nitab22g010120.1,-3.943976263828913,0.0,0.0
Nitab08g014460.1,Nitab22g015860.1,-3.3580734098189273,0.0,0.0
