Nsyl,Ntom,HEB,p_value,q_value
Nitab20g008250.1,Nitab24g022510.1,-9.914042368712112,0.0,0.0
Nitab20g008350.1,Nitab19g030360.1,-8.10547476996689,0.0,0.0
Nitab20g015260.1,Nitab15g021480.1,-5.914492504640882,0.0,0.0
Nitab20g023410.1,Nitab13g006560.1,-7.654575739750657,0.0,0.0
Nitab20g025170.1,Nitab15g006000.1,-8.47754999033124,0.0,0.0
Nitab08g005910.1,Nitab22g013950.1,-6.764714924464746,0.0,0.0
Nitab08g007640.1,Nitab22g008960.1,-8.269546168448972,0.0,0.0
Nitab08g011450.1,Nitab12g012730.1,-5.87579533725231,0.0,0.0
Nitab08g020060.1,Nitab22g016630.1,-8.793895117066105,0.0,0.0
Nitab08g023150.1,Nitab21g013560.1,-6.612284832453371,0.0,0.0
Nitab08g024140.1,Nitab21g015060.1,-11.06397416798131,0.0,0.0
Nitab08g028400.1,Nitab21g020100.1,-6.59706439702127,0.0,0.0
Nitab08g029380.1,Nitab18g024760.1,-11.94886579508837,0.0,0.0
Nitab06g005000.1,Nitab19g033700.1,-6.9964914043274575,0.0,0.0
Nitab06g006810.1,Nitab04g031330.1,-6.939002353667506,0.0,0.0
Nitab06g006960.1,Nitab04g031110.1,-6.149789805347247,0.0,0.0
Nitab06g013670.1,Nitab13g008140.1,-8.195599561341226,0.0,0.0
Nitab06g016770.1,Nitab09g015480.1,-6.327923330263631,0.0,0.0
Nitab06g027770.1,Nitab04g006700.1,-8.34993942716526,0.0,0.0
Nitab06g028090.1,Nitab23g016070.1,-10.517154084172109,0.0,0.0
Nitab03g009090.1,Nitab17g014670.1,-7.29765919234046,0.0,0.0
Nitab03g011380.1,Nitab02g011030.1,-8.301987460888277,0.0,0.0
Nitab03g014810.1,Nitab24g025100.1,-8.301251410350455,0.0,0.0
Nitab03g015590.1,Nitab15g012880.1,-5.725995957327738,0.0,0.0
Nitab03g017060.1,Nitab17g038410.1,-11.570840479850473,0.0,0.0
Nitab03g019160.1,Nitab24g013680.1,-7.911998259572861,0.0,0.0
Nitab03g019840.1,Nitab17g015980.1,-6.801377839770046,0.0,0.0
