"","GO.ID","Term","Annotated","Significant","Expected","classic"
"1","GO:0003824","catalytic activity",24997,1076,963.28,"1.4e-08"
"2","GO:0016740","transferase activity",9481,426,365.36,"0.00019"
"3","GO:0005198","structural molecule activity",1013,61,39.04,"0.00046"
"4","GO:0015631","tubulin binding",347,27,13.37,"0.00049"
"5","GO:0016741","transferase activity, transferring one-c...",999,60,38.5,"0.00054"
"6","GO:0003735","structural constituent of ribosome",824,51,31.75,"0.00071"
"7","GO:0008092","cytoskeletal protein binding",542,36,20.89,"0.00124"
"8","GO:0051287","NAD binding",175,16,6.74,"0.00128"
"9","GO:0008135","translation factor activity, RNA binding",524,35,20.19,"0.00130"
"10","GO:0008168","methyltransferase activity",955,56,36.8,"0.00139"
"11","GO:0005261","cation channel activity",85,10,3.28,"0.00159"
"12","GO:0016787","hydrolase activity",8924,392,343.89,"0.00197"
"13","GO:0008514","organic anion transmembrane transporter ...",63,8,2.43,"0.00282"
"14","GO:0003924","GTPase activity",411,28,15.84,"0.00285"
"15","GO:0016616","oxidoreductase activity, acting on the C...",337,24,12.99,"0.00314"
"16","GO:0008017","microtubule binding",320,23,12.33,"0.00338"
"17","GO:0036094","small molecule binding",8217,360,316.65,"0.00369"
"18","GO:0044877","protein-containing complex binding",214,17,8.25,"0.00406"
"19","GO:0050662","coenzyme binding",962,54,37.07,"0.00413"
"20","GO:0016818","hydrolase activity, acting on acid anhyd...",2189,108,84.35,"0.00537"
"21","GO:0016817","hydrolase activity, acting on acid anhyd...",2200,108,84.78,"0.00619"
"22","GO:0000166","nucleotide binding",7776,339,299.65,"0.00651"
"23","GO:1901265","nucleoside phosphate binding",7776,339,299.65,"0.00651"
"24","GO:0016614","oxidoreductase activity, acting on CH-OH...",398,26,15.34,"0.00671"
"25","GO:0016742","hydroxymethyl-, formyl- and related tran...",33,5,1.27,"0.00816"
"26","GO:0000823","inositol-1,4,5-trisphosphate 6-kinase ac...",4,2,0.15,"0.00845"
"27","GO:0016041","glutamate synthase (ferredoxin) activity",4,2,0.15,"0.00845"
"28","GO:0016643","oxidoreductase activity, acting on the C...",4,2,0.15,"0.00845"
"29","GO:0047059","polyvinyl alcohol dehydrogenase (cytochr...",4,2,0.15,"0.00845"
"30","GO:0047326","inositol tetrakisphosphate 5-kinase acti...",4,2,0.15,"0.00845"
"31","GO:0102732","myo-inositol-1,2,3,4,6-heptakisphosphate...",4,2,0.15,"0.00845"
"32","GO:0140101","catalytic activity, acting on a tRNA",290,20,11.18,"0.00924"
"33","GO:0016462","pyrophosphatase activity",2163,105,83.35,"0.00934"
"34","GO:0016796","exonuclease activity, active with either...",77,8,2.97,"0.00957"
"35","GO:0022843","voltage-gated cation channel activity",62,7,2.39,"0.00966"
"36","GO:0008175","tRNA methyltransferase activity",35,5,1.35,"0.01048"
"37","GO:0003743","translation initiation factor activity",333,22,12.83,"0.01055"
"38","GO:0004532","exoribonuclease activity",64,7,2.47,"0.01143"
"39","GO:0016896","exoribonuclease activity, producing 5'-p...",64,7,2.47,"0.01143"
"40","GO:0042910","xenobiotic transmembrane transporter act...",130,11,5.01,"0.01202"
