"","GO.ID","Term","Annotated","Significant","Expected","classic"
"1","GO:0005623","cell",17180,928,849.41,"8.8e-06"
"2","GO:0044464","cell part",16627,898,822.06,"1.9e-05"
"3","GO:0005783","endoplasmic reticulum",722,60,35.7,"6.6e-05"
"4","GO:0005622","intracellular",15070,814,745.08,"0.00011"
"5","GO:0044424","intracellular part",15070,814,745.08,"0.00011"
"6","GO:0012505","endomembrane system",1703,117,84.2,"0.00019"
"7","GO:0005737","cytoplasm",8522,480,421.34,"0.00032"
"8","GO:0044446","intracellular organelle part",4842,279,239.4,"0.00264"
"9","GO:0044422","organelle part",4851,279,239.84,"0.00293"
"10","GO:0032991","protein-containing complex",4418,255,218.43,"0.00380"
"11","GO:0043226","organelle",13088,693,647.09,"0.00704"
"12","GO:0043227","membrane-bounded organelle",11609,619,573.97,"0.00727"
"13","GO:0043229","intracellular organelle",13081,692,646.75,"0.00776"
"14","GO:0043231","intracellular membrane-bounded organelle",11449,610,566.06,"0.00843"
"15","GO:0044444","cytoplasmic part",7083,389,350.19,"0.00847"
"16","GO:0030126","COPI vesicle coat",27,5,1.33,"0.00954"
"17","GO:0019005","SCF ubiquitin ligase complex",95,10,4.7,"0.01898"
"18","GO:0030137","COPI-coated vesicle",33,5,1.63,"0.02198"
"19","GO:0030663","COPI-coated vesicle membrane",33,5,1.63,"0.02198"
"20","GO:0031974","membrane-enclosed lumen",1004,64,49.64,"0.02304"
"21","GO:0043233","organelle lumen",1004,64,49.64,"0.02304"
"22","GO:0070013","intracellular organelle lumen",1004,64,49.64,"0.02304"
"23","GO:0043189","H4/H2A histone acetyltransferase complex",23,4,1.14,"0.02484"
"24","GO:1902562","H4 histone acetyltransferase complex",23,4,1.14,"0.02484"
"25","GO:0010287","plastoglobule",62,7,3.07,"0.03281"
"26","GO:0017119","Golgi transport complex",15,3,0.74,"0.03514"
"27","GO:0005759","mitochondrial matrix",92,9,4.55,"0.03815"
"28","GO:0044432","endoplasmic reticulum part",471,32,23.29,"0.04411"
"29","GO:0044428","nuclear part",1303,78,64.42,"0.04662"
"30","GO:0017101","aminoacyl-tRNA synthetase multienzyme co...",1,1,0.05,"0.04944"
"31","GO:0005960","glycine cleavage complex",8,2,0.4,"0.05608"
"32","GO:0016607","nuclear speck",31,4,1.53,"0.06484"
"33","GO:0098798","mitochondrial protein complex",149,12,7.37,"0.06616"
"34","GO:0009941","chloroplast envelope",299,21,14.78,"0.06812"
"35","GO:0000126","transcription factor TFIIIB complex",9,2,0.44,"0.06979"
"36","GO:0030956","glutamyl-tRNA(Gln) amidotransferase comp...",9,2,0.44,"0.06979"
"37","GO:0061927","TOC-TIC supercomplex I",9,2,0.44,"0.06979"
"38","GO:0005876","spindle microtubule",20,3,0.99,"0.07344"
"39","GO:0035267","NuA4 histone acetyltransferase complex",20,3,0.99,"0.07344"
"40","GO:0090576","RNA polymerase III transcription factor ...",20,3,0.99,"0.07344"
