"","GO.ID","Term","Annotated","Significant","Expected","classic"
"1","GO:0003824","catalytic activity",24997,1237,1141.29,"7.2e-06"
"2","GO:0005516","calmodulin binding",132,19,6.03,"9.3e-06"
"3","GO:0050662","coenzyme binding",962,74,43.92,"1.0e-05"
"4","GO:0036094","small molecule binding",8217,438,375.17,"0.00017"
"5","GO:0016614","oxidoreductase activity, acting on CH-OH...",398,35,18.17,"0.00019"
"6","GO:0051539","4 iron, 4 sulfur cluster binding",137,16,6.26,"0.00054"
"7","GO:0008144","drug binding",6073,328,277.28,"0.00057"
"8","GO:0008135","translation factor activity, RNA binding",524,41,23.92,"0.00064"
"9","GO:0000166","nucleotide binding",7776,409,355.03,"0.00084"
"10","GO:1901265","nucleoside phosphate binding",7776,409,355.03,"0.00084"
"11","GO:0004069","L-aspartate:2-oxoglutarate aminotransfer...",18,5,0.82,"0.00103"
"12","GO:0043168","anion binding",8194,428,374.12,"0.00104"
"13","GO:0035639","purine ribonucleoside triphosphate bindi...",6353,335,290.06,"0.00230"
"14","GO:0005524","ATP binding",5761,305,263.03,"0.00294"
"15","GO:0003743","translation initiation factor activity",333,27,15.2,"0.00305"
"16","GO:0016668","oxidoreductase activity, acting on a sul...",23,5,1.05,"0.00333"
"17","GO:0016616","oxidoreductase activity, acting on the C...",337,27,15.39,"0.00359"
"18","GO:0030170","pyridoxal phosphate binding",242,21,11.05,"0.00387"
"19","GO:0070279","vitamin B6 binding",242,21,11.05,"0.00387"
"20","GO:0015037","peptide disulfide oxidoreductase activit...",8,3,0.37,"0.00448"
"21","GO:0015038","glutathione disulfide oxidoreductase act...",8,3,0.37,"0.00448"
"22","GO:0019842","vitamin binding",327,26,14.93,"0.00465"
"23","GO:0016301","kinase activity",3867,210,176.56,"0.00469"
"24","GO:0043565","sequence-specific DNA binding",895,58,40.86,"0.00513"
"25","GO:0016832","aldehyde-lyase activity",26,5,1.19,"0.00582"
"26","GO:0048037","cofactor binding",2364,134,107.93,"0.00591"
"27","GO:0032451","demethylase activity",3,2,0.14,"0.00606"
"28","GO:0016772","transferase activity, transferring phosp...",4585,244,209.34,"0.00614"
"29","GO:0016740","transferase activity",9481,478,432.88,"0.00720"
"30","GO:0003723","RNA binding",2284,129,104.28,"0.00764"
"31","GO:0004096","catalase activity",18,4,0.82,"0.00793"
"32","GO:0051536","iron-sulfur cluster binding",260,21,11.87,"0.00861"
"33","GO:0051540","metal cluster binding",260,21,11.87,"0.00861"
"34","GO:0032553","ribonucleotide binding",7236,370,330.38,"0.00874"
"35","GO:0097367","carbohydrate derivative binding",7304,373,333.48,"0.00910"
"36","GO:0050660","flavin adenine dinucleotide binding",262,21,11.96,"0.00935"
"37","GO:0001067","regulatory region nucleic acid binding",234,19,10.68,"0.01142"
"38","GO:0044212","transcription regulatory region DNA bind...",234,19,10.68,"0.01142"
"39","GO:0051879","Hsp90 protein binding",20,4,0.91,"0.01167"
"40","GO:0000773","phosphatidyl-N-methylethanolamine N-meth...",4,2,0.18,"0.01175"
