"","GO.ID","Term","Annotated","Significant","Expected","classic"
"1","GO:0019318","hexose metabolic process",200,16,6.14,"0.00049"
"2","GO:0005975","carbohydrate metabolic process",2036,89,62.55,"0.00056"
"3","GO:0006004","fucose metabolic process",93,10,2.86,"0.00058"
"4","GO:0005996","monosaccharide metabolic process",226,17,6.94,"0.00067"
"5","GO:0017144","drug metabolic process",1283,59,39.42,"0.00152"
"6","GO:0045815","positive regulation of gene expression, ...",11,3,0.34,"0.00397"
"7","GO:0016999","antibiotic metabolic process",375,21,11.52,"0.00651"
"8","GO:0055085","transmembrane transport",2476,97,76.07,"0.00850"
"9","GO:0048096","chromatin-mediated maintenance of transc...",6,2,0.18,"0.01303"
"10","GO:0072350","tricarboxylic acid metabolic process",104,8,3.2,"0.01496"
"11","GO:0071554","cell wall organization or biogenesis",965,42,29.65,"0.01599"
"12","GO:0019359","nicotinamide nucleotide biosynthetic pro...",170,11,5.22,"0.01635"
"13","GO:0042737","drug catabolic process",486,24,14.93,"0.01638"
"14","GO:0019363","pyridine nucleotide biosynthetic process",172,11,5.28,"0.01768"
"15","GO:0006026","aminoglycan catabolic process",33,4,1.01,"0.01787"
"16","GO:0006030","chitin metabolic process",33,4,1.01,"0.01787"
"17","GO:0006032","chitin catabolic process",33,4,1.01,"0.01787"
"18","GO:0046348","amino sugar catabolic process",33,4,1.01,"0.01787"
"19","GO:1901071","glucosamine-containing compound metaboli...",33,4,1.01,"0.01787"
"20","GO:1901072","glucosamine-containing compound cataboli...",33,4,1.01,"0.01787"
"21","GO:0043648","dicarboxylic acid metabolic process",108,8,3.32,"0.01840"
"22","GO:0006022","aminoglycan metabolic process",34,4,1.04,"0.01977"
"23","GO:0009309","amine biosynthetic process",89,7,2.73,"0.01981"
"24","GO:0042401","cellular biogenic amine biosynthetic pro...",89,7,2.73,"0.01981"
"25","GO:0009056","catabolic process",2010,78,61.75,"0.02091"
"26","GO:0019674","NAD metabolic process",35,4,1.08,"0.02179"
"27","GO:0046655","folic acid metabolic process",8,2,0.25,"0.02335"
"28","GO:2000574","regulation of microtubule motor activity",8,2,0.25,"0.02335"
"29","GO:2000576","positive regulation of microtubule motor...",8,2,0.25,"0.02335"
"30","GO:2000580","regulation of ATP-dependent microtubule ...",8,2,0.25,"0.02335"
"31","GO:2000582","positive regulation of ATP-dependent mic...",8,2,0.25,"0.02335"
"32","GO:0044281","small molecule metabolic process",2614,98,80.31,"0.02416"
"33","GO:0006811","ion transport",1388,56,42.64,"0.02419"
"34","GO:0071555","cell wall organization",778,34,23.9,"0.02655"
"35","GO:0016052","carbohydrate catabolic process",509,24,15.64,"0.02656"
"36","GO:0072525","pyridine-containing compound biosyntheti...",185,11,5.68,"0.02838"
"37","GO:0042138","meiotic DNA double-strand break formatio...",9,2,0.28,"0.02942"
"38","GO:0044210","'de novo' CTP biosynthetic process",9,2,0.28,"0.02942"
"39","GO:0006338","chromatin remodeling",76,6,2.33,"0.02945"
"40","GO:0045229","external encapsulating structure organiz...",786,34,24.15,"0.03011"
