"","GO.ID","Term","Annotated","Significant","Expected","classic"
"1","GO:0000124","SAGA complex",27,5,0.85,"0.0014"
"2","GO:0009543","chloroplast thylakoid lumen",13,3,0.41,"0.0071"
"3","GO:0031978","plastid thylakoid lumen",13,3,0.41,"0.0071"
"4","GO:0022626","cytosolic ribosome",127,10,4.01,"0.0071"
"5","GO:0070461","SAGA-type complex",40,5,1.26,"0.0082"
"6","GO:0016272","prefoldin complex",19,3,0.6,"0.0208"
"7","GO:0031977","thylakoid lumen",19,3,0.6,"0.0208"
"8","GO:0005854","nascent polypeptide-associated complex",8,2,0.25,"0.0246"
"9","GO:0005868","cytoplasmic dynein complex",8,2,0.25,"0.0246"
"10","GO:0044425","membrane part",14228,478,449.11,"0.0290"
"11","GO:0044445","cytosolic part",181,11,5.71,"0.0292"
"12","GO:0000323","lytic vacuole",22,3,0.69,"0.0309"
"13","GO:0005764","lysosome",22,3,0.69,"0.0309"
"14","GO:0009538","photosystem I reaction center",22,3,0.69,"0.0309"
"15","GO:0005791","rough endoplasmic reticulum",9,2,0.28,"0.0309"
"16","GO:0030867","rough endoplasmic reticulum membrane",9,2,0.28,"0.0309"
"17","GO:0032991","protein-containing complex",4418,160,139.45,"0.0323"
"18","GO:0016020","membrane",15903,530,501.98,"0.0324"
"19","GO:0031981","nuclear lumen",862,37,27.21,"0.0377"
"20","GO:0033180","proton-transporting V-type ATPase, V1 do...",25,3,0.79,"0.0430"
"21","GO:0044428","nuclear part",1303,52,41.13,"0.0501"
"22","GO:0005844","polysome",27,3,0.85,"0.0523"
"23","GO:0098588","bounding membrane of organelle",887,37,28,"0.0531"
"24","GO:0005736","RNA polymerase I complex",12,2,0.38,"0.0533"
"25","GO:0022625","cytosolic large ribosomal subunit",65,5,2.05,"0.0543"
"26","GO:1905368","peptidase complex",180,10,5.68,"0.0601"
"27","GO:0000138","Golgi trans cisterna",2,1,0.06,"0.0621"
"28","GO:0031464","Cul4A-RING E3 ubiquitin ligase complex",2,1,0.06,"0.0621"
"29","GO:0033116","endoplasmic reticulum-Golgi intermediate...",2,1,0.06,"0.0621"
"30","GO:0033557","Slx1-Slx4 complex",2,1,0.06,"0.0621"
"31","GO:0000123","histone acetyltransferase complex",68,5,2.15,"0.0635"
"32","GO:0000775","chromosome, centromeric region",69,5,2.18,"0.0668"
"33","GO:0016021","integral component of membrane",13501,449,426.16,"0.0674"
"34","GO:0031224","intrinsic component of membrane",13573,451,428.43,"0.0699"
"35","GO:0080008","Cul4-RING E3 ubiquitin ligase complex",70,5,2.21,"0.0702"
"36","GO:0000307","cyclin-dependent protein kinase holoenzy...",14,2,0.44,"0.0705"
"37","GO:0016442","RISC complex",14,2,0.44,"0.0705"
"38","GO:0031332","RNAi effector complex",14,2,0.44,"0.0705"
"39","GO:0005576","extracellular region",1164,46,36.74,"0.0706"
"40","GO:0005654","nucleoplasm",444,20,14.01,"0.0723"
