"","GO.ID","Term","Annotated","Significant","Expected","classic"
"1","GO:0003824","catalytic activity",24997,830,734.24,"3.7e-08"
"2","GO:0016614","oxidoreductase activity, acting on CH-OH...",398,25,11.69,"0.00036"
"3","GO:0022857","transmembrane transporter activity",2227,93,65.41,"0.00046"
"4","GO:0016616","oxidoreductase activity, acting on the C...",337,22,9.9,"0.00047"
"5","GO:0016740","transferase activity",9481,325,278.49,"0.00097"
"6","GO:0005215","transporter activity",2293,93,67.35,"0.00114"
"7","GO:0016787","hydrolase activity",8924,300,262.13,"0.00494"
"8","GO:0000823","inositol-1,4,5-trisphosphate 6-kinase ac...",4,2,0.12,"0.00497"
"9","GO:0008696","4-amino-4-deoxychorismate lyase activity",4,2,0.12,"0.00497"
"10","GO:0047326","inositol tetrakisphosphate 5-kinase acti...",4,2,0.12,"0.00497"
"11","GO:0102732","myo-inositol-1,2,3,4,6-heptakisphosphate...",4,2,0.12,"0.00497"
"12","GO:0015075","ion transmembrane transporter activity",1015,44,29.81,"0.00730"
"13","GO:0008236","serine-type peptidase activity",398,21,11.69,"0.00770"
"14","GO:0017171","serine hydrolase activity",398,21,11.69,"0.00770"
"15","GO:0016860","intramolecular oxidoreductase activity",97,8,2.85,"0.00784"
"16","GO:0016861","intramolecular oxidoreductase activity, ...",44,5,1.29,"0.00912"
"17","GO:0004185","serine-type carboxypeptidase activity",81,7,2.38,"0.00981"
"18","GO:0015318","inorganic molecular entity transmembrane...",950,41,27.9,"0.01002"
"19","GO:0035250","UDP-galactosyltransferase activity",30,4,0.88,"0.01105"
"20","GO:0046961","proton-transporting ATPase activity, rot...",31,4,0.91,"0.01240"
"21","GO:0102339","3-oxo-arachidoyl-CoA reductase activity",17,3,0.5,"0.01264"
"22","GO:0102340","3-oxo-behenoyl-CoA reductase activity",17,3,0.5,"0.01264"
"23","GO:0102341","3-oxo-lignoceroyl-CoA reductase activity",17,3,0.5,"0.01264"
"24","GO:0102342","3-oxo-cerotoyl-CoA reductase activity",17,3,0.5,"0.01264"
"25","GO:0004180","carboxypeptidase activity",106,8,3.11,"0.01303"
"26","GO:0016741","transferase activity, transferring one-c...",999,42,29.34,"0.01387"
"27","GO:0033218","amide binding",87,7,2.56,"0.01419"
"28","GO:0051765","inositol tetrakisphosphate kinase activi...",18,3,0.53,"0.01484"
"29","GO:0051766","inositol trisphosphate kinase activity",18,3,0.53,"0.01484"
"30","GO:0008409","5'-3' exonuclease activity",33,4,0.97,"0.01540"
"31","GO:0005047","signal recognition particle binding",7,2,0.21,"0.01641"
"32","GO:0008168","methyltransferase activity",955,40,28.05,"0.01692"
"33","GO:0030060","L-malate dehydrogenase activity",19,3,0.56,"0.01724"
"34","GO:0008271","secondary active sulfate transmembrane t...",35,4,1.03,"0.01882"
"35","GO:0008509","anion transmembrane transporter activity",207,12,6.08,"0.01997"
"36","GO:0070008","serine-type exopeptidase activity",94,7,2.76,"0.02089"
"37","GO:0031492","nucleosomal DNA binding",8,2,0.23,"0.02146"
"38","GO:0045505","dynein intermediate chain binding",8,2,0.23,"0.02146"
"39","GO:0051959","dynein light intermediate chain binding",8,2,0.23,"0.02146"
"40","GO:0046873","metal ion transmembrane transporter acti...",340,17,9.99,"0.02439"
