"","GO.ID","Term","Annotated","Significant","Expected","classic"
"1","GO:0055085","transmembrane transport",2476,143,96.28,"1.4e-06"
"2","GO:0017144","drug metabolic process",1283,84,49.89,"2.7e-06"
"3","GO:0051234","establishment of localization",4656,239,181.04,"3.7e-06"
"4","GO:0051179","localization",4726,240,183.76,"7.6e-06"
"5","GO:0006810","transport",4569,230,177.66,"2.2e-05"
"6","GO:0098754","detoxification",412,34,16.02,"3.7e-05"
"7","GO:0098869","cellular oxidant detoxification",404,33,15.71,"5.8e-05"
"8","GO:0097237","cellular response to toxic substance",409,33,15.9,"7.3e-05"
"9","GO:1990748","cellular detoxification",409,33,15.9,"7.3e-05"
"10","GO:0009069","serine family amino acid metabolic proce...",97,13,3.77,"9.9e-05"
"11","GO:0000096","sulfur amino acid metabolic process",99,13,3.85,"0.00012"
"12","GO:0051186","cofactor metabolic process",885,57,34.41,"0.00016"
"13","GO:0044248","cellular catabolic process",1680,95,65.32,"0.00018"
"14","GO:0042737","drug catabolic process",486,36,18.9,"0.00020"
"15","GO:0009636","response to toxic substance",489,35,19.01,"0.00045"
"16","GO:0006534","cysteine metabolic process",50,8,1.94,"0.00064"
"17","GO:0044281","small molecule metabolic process",2614,134,101.64,"0.00065"
"18","GO:0019752","carboxylic acid metabolic process",1516,84,58.95,"0.00078"
"19","GO:0016999","antibiotic metabolic process",375,28,14.58,"0.00084"
"20","GO:0000097","sulfur amino acid biosynthetic process",67,9,2.61,"0.00111"
"21","GO:0072593","reactive oxygen species metabolic proces...",291,23,11.32,"0.00112"
"22","GO:0043436","oxoacid metabolic process",1560,85,60.66,"0.00118"
"23","GO:0006575","cellular modified amino acid metabolic p...",110,12,4.28,"0.00120"
"24","GO:0006082","organic acid metabolic process",1564,85,60.81,"0.00127"
"25","GO:0055114","oxidation-reduction process",4781,225,185.9,"0.00128"
"26","GO:0009056","catabolic process",2010,105,78.16,"0.00136"
"27","GO:1901615","organic hydroxy compound metabolic proce...",228,19,8.87,"0.00158"
"28","GO:0044283","small molecule biosynthetic process",1101,63,42.81,"0.00160"
"29","GO:0006790","sulfur compound metabolic process",318,24,12.36,"0.00165"
"30","GO:0006656","phosphatidylcholine biosynthetic process",14,4,0.54,"0.00167"
"31","GO:0042744","hydrogen peroxide catabolic process",232,19,9.02,"0.00193"
"32","GO:0051187","cofactor catabolic process",268,21,10.42,"0.00199"
"33","GO:0006732","coenzyme metabolic process",483,32,18.78,"0.00263"
"34","GO:0017001","antibiotic catabolic process",239,19,9.29,"0.00270"
"35","GO:0042743","hydrogen peroxide metabolic process",239,19,9.29,"0.00270"
"36","GO:0006555","methionine metabolic process",49,7,1.91,"0.00273"
"37","GO:0070887","cellular response to chemical stimulus",1181,65,45.92,"0.00338"
"38","GO:0071265","L-methionine biosynthetic process",17,4,0.66,"0.00361"
"39","GO:0046128","purine ribonucleoside metabolic process",81,9,3.15,"0.00419"
"40","GO:0006520","cellular amino acid metabolic process",787,46,30.6,"0.00434"
