"","GO.ID","Term","Annotated","Significant","Expected","classic"
"1","GO:0030677","ribonuclease P complex",10,3,0.4,"0.0061"
"2","GO:0043189","H4/H2A histone acetyltransferase complex",23,4,0.92,"0.0121"
"3","GO:1902562","H4 histone acetyltransferase complex",23,4,0.92,"0.0121"
"4","GO:1902555","endoribonuclease complex",14,3,0.56,"0.0166"
"5","GO:1905348","endonuclease complex",14,3,0.56,"0.0166"
"6","GO:0000172","ribonuclease MRP complex",6,2,0.24,"0.0214"
"7","GO:0005655","nucleolar ribonuclease P complex",6,2,0.24,"0.0214"
"8","GO:0030681","multimeric ribonuclease P complex",6,2,0.24,"0.0214"
"9","GO:0097255","R2TP complex",7,2,0.28,"0.0292"
"10","GO:0010287","plastoglobule",62,6,2.47,"0.0367"
"11","GO:0017101","aminoacyl-tRNA synthetase multienzyme co...",1,1,0.04,"0.0399"
"12","GO:0035267","NuA4 histone acetyltransferase complex",20,3,0.8,"0.0435"
"13","GO:0022625","cytosolic large ribosomal subunit",65,6,2.59,"0.0447"
"14","GO:0005791","rough endoplasmic reticulum",9,2,0.36,"0.0475"
"15","GO:0030867","rough endoplasmic reticulum membrane",9,2,0.36,"0.0475"
"16","GO:0005783","endoplasmic reticulum",722,38,28.79,"0.0511"
"17","GO:0012505","endomembrane system",1703,81,67.9,"0.0568"
"18","GO:0005576","extracellular region",1164,57,46.41,"0.0648"
"19","GO:0022626","cytosolic ribosome",127,9,5.06,"0.0679"
"20","GO:0098798","mitochondrial protein complex",149,10,5.94,"0.0753"
"21","GO:0008021","synaptic vesicle",2,1,0.08,"0.0782"
"22","GO:0035098","ESC/E(Z) complex",2,1,0.08,"0.0782"
"23","GO:0044456","synapse part",2,1,0.08,"0.0782"
"24","GO:0045202","synapse",2,1,0.08,"0.0782"
"25","GO:0097458","neuron part",2,1,0.08,"0.0782"
"26","GO:0098793","presynapse",2,1,0.08,"0.0782"
"27","GO:0099078","BORC complex",2,1,0.08,"0.0782"
"28","GO:0005840","ribosome",999,49,39.83,"0.0801"
"29","GO:0005736","RNA polymerase I complex",12,2,0.48,"0.0805"
"30","GO:0005749","mitochondrial respiratory chain complex ...",12,2,0.48,"0.0805"
"31","GO:0045257","succinate dehydrogenase complex (ubiquin...",12,2,0.48,"0.0805"
"32","GO:0045283","fumarate reductase complex",12,2,0.48,"0.0805"
"33","GO:0015934","large ribosomal subunit",133,9,5.3,"0.0850"
"34","GO:0030126","COPI vesicle coat",27,3,1.08,"0.0910"
"35","GO:0030008","TRAPP complex",13,2,0.52,"0.0927"
"36","GO:0045281","succinate dehydrogenase complex",13,2,0.52,"0.0927"
"37","GO:0000151","ubiquitin ligase complex",241,14,9.61,"0.1034"
"38","GO:0000275","mitochondrial proton-transporting ATP sy...",14,2,0.56,"0.1053"
"39","GO:0005666","RNA polymerase III complex",29,3,1.16,"0.1074"
"40","GO:0044445","cytosolic part",181,11,7.22,"0.1096"
