"","GO.ID","Term","Annotated","Significant","Expected","classic"
"1","GO:0055085","transmembrane transport",2476,184,129.54,"8.5e-07"
"2","GO:0051179","localization",4726,318,247.25,"1.1e-06"
"3","GO:0051234","establishment of localization",4656,313,243.59,"1.4e-06"
"4","GO:0006810","transport",4569,305,239.04,"3.6e-06"
"5","GO:0044281","small molecule metabolic process",2614,184,136.76,"2.3e-05"
"6","GO:0055114","oxidation-reduction process",4781,302,250.13,"0.00025"
"7","GO:0006520","cellular amino acid metabolic process",787,63,41.17,"0.00059"
"8","GO:0008652","cellular amino acid biosynthetic process",373,35,19.51,"0.00066"
"9","GO:1901566","organonitrogen compound biosynthetic pro...",3117,202,163.07,"0.00085"
"10","GO:0098754","detoxification",412,37,21.55,"0.00106"
"11","GO:0043436","oxoacid metabolic process",1560,109,81.61,"0.00135"
"12","GO:0098869","cellular oxidant detoxification",404,36,21.14,"0.00141"
"13","GO:0006082","organic acid metabolic process",1564,109,81.82,"0.00147"
"14","GO:0019752","carboxylic acid metabolic process",1516,106,79.31,"0.00153"
"15","GO:0009069","serine family amino acid metabolic proce...",97,13,5.07,"0.00163"
"16","GO:0097237","cellular response to toxic substance",409,36,21.4,"0.00174"
"17","GO:1990748","cellular detoxification",409,36,21.4,"0.00174"
"18","GO:0000096","sulfur amino acid metabolic process",99,13,5.18,"0.00196"
"19","GO:0009058","biosynthetic process",8350,486,436.84,"0.00370"
"20","GO:0015849","organic acid transport",107,13,5.6,"0.00391"
"21","GO:0046942","carboxylic acid transport",107,13,5.6,"0.00391"
"22","GO:0006534","cysteine metabolic process",50,8,2.62,"0.00417"
"23","GO:1901605","alpha-amino acid metabolic process",463,38,24.22,"0.00438"
"24","GO:0090407","organophosphate biosynthetic process",761,57,39.81,"0.00447"
"25","GO:1901576","organic substance biosynthetic process",8134,473,425.54,"0.00454"
"26","GO:0005975","carbohydrate metabolic process",2036,133,106.52,"0.00489"
"27","GO:0044283","small molecule biosynthetic process",1101,77,57.6,"0.00622"
"28","GO:0031221","arabinan metabolic process",15,4,0.78,"0.00641"
"29","GO:0031222","arabinan catabolic process",15,4,0.78,"0.00641"
"30","GO:0042908","xenobiotic transport",129,14,6.75,"0.00772"
"31","GO:0000097","sulfur amino acid biosynthetic process",67,9,3.51,"0.00797"
"32","GO:0017144","drug metabolic process",1283,87,67.12,"0.00839"
"33","GO:0001505","regulation of neurotransmitter levels",45,7,2.35,"0.00840"
"34","GO:1901615","organic hydroxy compound metabolic proce...",228,21,11.93,"0.00883"
"35","GO:1901607","alpha-amino acid biosynthetic process",316,27,16.53,"0.00888"
"36","GO:0044248","cellular catabolic process",1680,110,87.89,"0.00926"
"37","GO:0044249","cellular biosynthetic process",7955,458,416.18,"0.01022"
"38","GO:0072329","monocarboxylic acid catabolic process",36,6,1.88,"0.01027"
"39","GO:0009636","response to toxic substance",489,38,25.58,"0.01031"
"40","GO:0006563","L-serine metabolic process",58,8,3.03,"0.01031"
