Nsyl,Ntom,HEB,p_value,q_value
Nitab22g030440.1,Nitab22g006770.1,-9.69643213262056,0.0,0.0
Nitab20g025100.1,Nitab09g021590.1,-8.323573920972192,1.44328993201e-15,4.19853041222e-12
Nitab04g029630.1,Nitab09g012950.1,-8.18653415381293,2.88657986403e-15,6.71764865956e-12
Nitab18g015820.1,Nitab24g014980.1,-7.90967537142516,7.88258347484e-15,1.52869568855e-11
Nitab05g009380.1,Nitab02g009830.1,-7.865168391876468,1.25455201783e-14,1.62199636438e-11
Nitab16g006650.1,Nitab11g005420.1,-7.7007150381963605,3.25295346215e-14,3.44103331687e-11
Nitab18g014870.1,Nitab23g024880.1,-7.364231277209827,1.49547041417e-13,1.33856105687e-10
Nitab01g015080.1,Nitab23g017140.1,-7.377407229918975,1.50324197534e-13,1.24940883036e-10
Nitab17g006400.1,Nitab12g019600.1,-7.354853708640948,1.72972747237e-13,1.3418072579e-10
Nitab08g007640.1,Nitab22g008960.1,-7.314629274875029,2.62567745324e-13,1.79719899093e-10
Nitab11g008860.1,Nitab13g024530.1,-7.3011677737115175,2.65676369793e-13,1.71745013273e-10
Nitab05g012510.1,Nitab24g009290.1,-7.005367112498323,8.9583895857e-13,4.96380101044e-10
Nitab01g009260.1,Nitab23g009770.1,-7.068298785888669,1.03006492225e-12,5.44810701603e-10
Nitab03g012870.1,Nitab14g019110.1,-6.913444321333154,1.34647848427e-12,6.26704945716e-10
Nitab06g028710.1,Nitab15g010020.1,-6.899689853319482,1.99196215078e-12,8.27802556661e-10
Nitab09g007610.1,Nitab09g008340.1,-6.808561147750258,4.07496258958e-12,1.52955692556e-09
Nitab01g006640.1,Nitab17g010400.1,-6.7013493619548905,5.75495207045e-12,2.09264444662e-09
Nitab05g007960.1,Nitab19g021070.1,-6.626150281077307,7.06601444023e-12,2.41823953019e-09
Nitab03g007860.1,Nitab17g028250.1,-6.585575725239036,8.39861513668e-12,2.71461904807e-09
Nitab16g016490.1,Nitab15g011670.1,-6.593575946509686,8.80706618744e-12,2.76970330154e-09
Nitab10g014910.1,Nitab02g014290.1,-6.426616045190504,9.9820152144e-12,3.0565981325e-09
Nitab16g016200.1,Nitab06g035390.1,-6.517889769374862,1.06306075054e-11,3.17173715212e-09
