Nsyl,Ntom,HEB,p_value,q_value
Nitab13g026770.1,Nitab13g009490.1,9.178740042964893,0.0,0.0
Nitab11g026170.1,Nitab04g015700.1,8.606724383776704,0.0,0.0
Nitab01g006270.1,Nitab15g023770.1,8.170892209173946,0.0,0.0
Nitab01g009030.1,Nitab23g018890.1,9.77422508502823,0.0,0.0
Nitab16g025860.1,Nitab12g022580.1,10.104324790646222,0.0,0.0
Nitab17g006110.1,Nitab15g008990.1,8.324671047129398,0.0,0.0
Nitab17g025890.1,Nitab21g010860.1,8.932527298606606,0.0,0.0
Nitab05g023310.1,Nitab17g024710.1,11.51989885757621,0.0,0.0
Nitab18g018670.1,Nitab17g015440.1,8.365712128507884,2.22044604925e-16,1.10160769395e-13
Nitab10g006910.1,Nitab24g011750.1,7.507234485430059,1.11022302463e-15,5.10003562016e-13
Nitab07g019340.1,Nitab19g032550.1,7.207052995118778,1.33226762955e-15,5.6979708308e-13
Nitab06g035240.1,Nitab24g017990.1,8.083884396156828,1.55431223448e-15,6.21875311103e-13
Nitab13g016300.1,Nitab04g024290.1,7.611012726721597,3.44169137634e-15,1.25550876884e-12
Nitab18g008020.1,Nitab09g017010.1,7.453366903927739,8.99280649946e-15,2.93520471086e-12
Nitab05g006890.1,Nitab04g023040.1,7.963923793111336,1.11022302463e-14,3.53079389088e-12
Nitab10g010770.1,Nitab24g012200.1,7.4844137644653905,1.18793863635e-14,3.68350072666e-12
Nitab07g030770.1,Nitab19g036010.1,6.575259319208101,1.72084568817e-14,4.96363931869e-12
Nitab18g018110.1,Nitab21g013060.1,6.619004525669999,1.72084568817e-14,4.85082933417e-12
Nitab08g016420.1,Nitab02g011910.1,6.588616277779053,2.79776202206e-14,7.54361790425e-12
Nitab05g015490.1,Nitab22g021530.1,6.420010364287538,4.50750547998e-14,1.18950192485e-11
Nitab20g020260.1,Nitab04g007850.1,6.363110260176365,6.19504447741e-14,1.56810482966e-11
Nitab07g015070.1,Nitab22g017150.1,7.619975096403756,8.91509088774e-14,2.12642062078e-11
Nitab16g024500.1,Nitab12g021740.1,7.651657697384847,1.36335387424e-13,3.13142187078e-11
Nitab20g010320.1,Nitab24g019700.1,7.488850830467746,2.13162820728e-13,4.72117583123e-11
Nitab20g018310.1,Nitab12g017380.1,7.028352874739278,2.16160422895e-13,4.70357495642e-11
Nitab20g024410.1,Nitab15g006120.1,6.193215914525547,2.660094367e-13,5.59205939558e-11
Nitab08g025930.1,Nitab02g024130.1,6.504550322907963,5.3335114103e-13,1.05002447654e-10
Nitab11g026790.1,Nitab14g008730.1,6.665697246736487,6.87339074545e-13,1.31154869871e-10
