"","GO.ID","Term","Annotated","Significant","Expected","classic"
"1","GO:0000271","polysaccharide biosynthetic process",295,16,1.27,"2.4e-13"
"2","GO:0071554","cell wall organization or biogenesis",965,23,4.15,"3.4e-11"
"3","GO:0016051","carbohydrate biosynthetic process",426,16,1.83,"6.1e-11"
"4","GO:0033692","cellular polysaccharide biosynthetic pro...",244,12,1.05,"8.0e-10"
"5","GO:0005976","polysaccharide metabolic process",761,18,3.27,"6.0e-09"
"6","GO:0034637","cellular carbohydrate biosynthetic proce...",315,12,1.36,"1.4e-08"
"7","GO:0071555","cell wall organization",778,16,3.35,"2.9e-07"
"8","GO:0044264","cellular polysaccharide metabolic proces...",418,12,1.8,"3.0e-07"
"9","GO:0045229","external encapsulating structure organiz...",786,16,3.38,"3.3e-07"
"10","GO:0046271","phenylpropanoid catabolic process",69,6,0.3,"5.5e-07"
"11","GO:0046274","lignin catabolic process",69,6,0.3,"5.5e-07"
"12","GO:0051274","beta-glucan biosynthetic process",170,8,0.73,"8.0e-07"
"13","GO:0009808","lignin metabolic process",86,6,0.37,"2.0e-06"
"14","GO:0030244","cellulose biosynthetic process",144,7,0.62,"3.2e-06"
"15","GO:0045492","xylan biosynthetic process",26,4,0.11,"4.6e-06"
"16","GO:0009250","glucan biosynthetic process",215,8,0.93,"4.6e-06"
"17","GO:0051273","beta-glucan metabolic process",216,8,0.93,"4.8e-06"
"18","GO:0042546","cell wall biogenesis",217,8,0.93,"4.9e-06"
"19","GO:0044262","cellular carbohydrate metabolic process",648,13,2.79,"5.2e-06"
"20","GO:0045489","pectin biosynthetic process",102,6,0.44,"5.5e-06"
"21","GO:0030243","cellulose metabolic process",190,7,0.82,"2.0e-05"
"22","GO:0009698","phenylpropanoid metabolic process",129,6,0.56,"2.1e-05"
"23","GO:0005975","carbohydrate metabolic process",2036,23,8.76,"2.2e-05"
"24","GO:0045488","pectin metabolic process",299,8,1.29,"5.0e-05"
"25","GO:0010393","galacturonan metabolic process",305,8,1.31,"5.7e-05"
"26","GO:0009834","plant-type secondary cell wall biogenesi...",18,3,0.08,"6.1e-05"
"27","GO:0070592","cell wall polysaccharide biosynthetic pr...",52,4,0.22,"7.6e-05"
"28","GO:0044038","cell wall macromolecule biosynthetic pro...",53,4,0.23,"8.2e-05"
"29","GO:0070589","cellular component macromolecule biosynt...",53,4,0.23,"8.2e-05"
"30","GO:0019748","secondary metabolic process",167,6,0.72,"9.0e-05"
"31","GO:0071669","plant-type cell wall organization or bio...",273,7,1.17,"0.00019"
"32","GO:0006073","cellular glucan metabolic process",367,8,1.58,"0.00020"
"33","GO:0044042","glucan metabolic process",367,8,1.58,"0.00020"
"34","GO:0045491","xylan metabolic process",77,4,0.33,"0.00035"
"35","GO:0071840","cellular component organization or bioge...",3994,32,17.19,"0.00040"
"36","GO:0009059","macromolecule biosynthetic process",5951,42,25.61,"0.00064"
"37","GO:0009832","plant-type cell wall biogenesis",111,4,0.48,"0.00138"
"38","GO:0010089","xylem development",16,2,0.07,"0.00212"
"39","GO:1901576","organic substance biosynthetic process",8134,51,35,"0.00221"
"40","GO:0009827","plant-type cell wall modification",64,3,0.28,"0.00269"
