"","GO.ID","Term","Annotated","Significant","Expected","classic"
"1","GO:0051013","microtubule severing",131,14,0.18,"3.4e-23"
"2","GO:0000226","microtubule cytoskeleton organization",327,14,0.45,"1.6e-17"
"3","GO:0007010","cytoskeleton organization",522,14,0.73,"1.0e-14"
"4","GO:0007017","microtubule-based process",557,14,0.77,"2.5e-14"
"5","GO:0009451","RNA modification",320,11,0.44,"6.9e-13"
"6","GO:0006996","organelle organization",2183,16,3.04,"2.5e-08"
"7","GO:0071840","cellular component organization or bioge...",3994,18,5.55,"3.9e-06"
"8","GO:0016043","cellular component organization",3671,16,5.1,"2.4e-05"
"9","GO:0015866","ADP transport",14,2,0.02,"0.00017"
"10","GO:0015867","ATP transport",20,2,0.03,"0.00035"
"11","GO:0015865","purine nucleotide transport",24,2,0.03,"0.00051"
"12","GO:0015868","purine ribonucleotide transport",24,2,0.03,"0.00051"
"13","GO:0051503","adenine nucleotide transport",24,2,0.03,"0.00051"
"14","GO:0006862","nucleotide transport",30,2,0.04,"0.00080"
"15","GO:0016070","RNA metabolic process",5068,16,7.05,"0.00106"
"16","GO:0070291","N-acylethanolamine metabolic process",1,1,0,"0.00139"
"17","GO:0015893","drug transport",41,2,0.06,"0.00150"
"18","GO:0042439","ethanolamine-containing compound metabol...",2,1,0,"0.00278"
"19","GO:0046085","adenosine metabolic process",2,1,0,"0.00278"
"20","GO:0140053","mitochondrial gene expression",57,2,0.08,"0.00288"
"21","GO:0046128","purine ribonucleoside metabolic process",81,2,0.11,"0.00573"
"22","GO:0042278","purine nucleoside metabolic process",82,2,0.11,"0.00587"
"23","GO:0006952","defense response",550,4,0.76,"0.00719"
"24","GO:0015748","organophosphate ester transport",96,2,0.13,"0.00796"
"25","GO:0031538","negative regulation of anthocyanin metab...",7,1,0.01,"0.00969"
"26","GO:0009119","ribonucleoside metabolic process",109,2,0.15,"0.01015"
"27","GO:1901264","carbohydrate derivative transport",111,2,0.15,"0.01051"
"28","GO:0034308","primary alcohol metabolic process",10,1,0.01,"0.01382"
"29","GO:0031537","regulation of anthocyanin metabolic proc...",11,1,0.02,"0.01519"
"30","GO:0009116","nucleoside metabolic process",142,2,0.2,"0.01678"
"31","GO:0000963","mitochondrial RNA processing",13,1,0.02,"0.01793"
"32","GO:1901657","glycosyl compound metabolic process",153,2,0.21,"0.01930"
"33","GO:0006396","RNA processing",1149,5,1.6,"0.02147"
"34","GO:0034470","ncRNA processing",451,3,0.63,"0.02492"
"35","GO:0010257","NADH dehydrogenase complex assembly",19,1,0.03,"0.02610"
"36","GO:0032981","mitochondrial respiratory chain complex ...",19,1,0.03,"0.02610"
"37","GO:0016554","cytidine to uridine editing",20,1,0.03,"0.02745"
"38","GO:0046283","anthocyanin-containing compound metaboli...",20,1,0.03,"0.02745"
"39","GO:0016553","base conversion or substitution editing",22,1,0.03,"0.03016"
"40","GO:0015711","organic anion transport",203,2,0.28,"0.03257"
