"","GO.ID","Term","Annotated","Significant","Expected","classic"
"1","GO:0051641","cellular localization",1103,145,44.54,"< 1e-30"
"2","GO:0046907","intracellular transport",923,127,37.27,"< 1e-30"
"3","GO:0051649","establishment of localization in cell",984,128,39.73,"< 1e-30"
"4","GO:0006996","organelle organization",2183,205,88.15,"4.7e-30"
"5","GO:0034613","cellular protein localization",815,108,32.91,"1.4e-27"
"6","GO:0070727","cellular macromolecule localization",815,108,32.91,"1.4e-27"
"7","GO:0008104","protein localization",1172,131,47.32,"4.9e-26"
"8","GO:0006886","intracellular protein transport",722,97,29.15,"2.6e-25"
"9","GO:0033036","macromolecule localization",1430,146,57.74,"6.1e-25"
"10","GO:0016043","cellular component organization",3671,275,148.23,"1.8e-24"
"11","GO:0015031","protein transport",1076,119,43.45,"2.5e-23"
"12","GO:0045184","establishment of protein localization",1109,121,44.78,"3.4e-23"
"13","GO:0071840","cellular component organization or bioge...",3994,286,161.27,"1.6e-22"
"14","GO:0015833","peptide transport",1134,121,45.79,"2.2e-22"
"15","GO:0042886","amide transport",1145,121,46.23,"5.0e-22"
"16","GO:0010467","gene expression",6173,386,249.26,"5.2e-20"
"17","GO:0016192","vesicle-mediated transport",661,80,26.69,"2.6e-18"
"18","GO:0071705","nitrogen compound transport",1367,123,55.2,"9.4e-17"
"19","GO:0043933","protein-containing complex subunit organ...",836,88,33.76,"3.3e-16"
"20","GO:0051276","chromosome organization",931,94,37.59,"4.4e-16"
"21","GO:0006325","chromatin organization",487,63,19.66,"4.5e-16"
"22","GO:0016071","mRNA metabolic process",542,66,21.89,"1.8e-15"
"23","GO:0044265","cellular macromolecule catabolic process",630,72,25.44,"2.7e-15"
"24","GO:0022607","cellular component assembly",924,91,37.31,"5.9e-15"
"25","GO:0010629","negative regulation of gene expression",435,56,17.56,"2.4e-14"
"26","GO:0065003","protein-containing complex assembly",711,75,28.71,"4.8e-14"
"27","GO:0006913","nucleocytoplasmic transport",248,40,10.01,"8.3e-14"
"28","GO:0051169","nuclear transport",248,40,10.01,"8.3e-14"
"29","GO:0033365","protein localization to organelle",368,49,14.86,"2.8e-13"
"30","GO:0048519","negative regulation of biological proces...",873,82,35.25,"1.6e-12"
"31","GO:0034622","cellular protein-containing complex asse...",615,65,24.83,"2.2e-12"
"32","GO:0071702","organic substance transport",1849,138,74.66,"2.7e-12"
"33","GO:0006396","RNA processing",1149,98,46.4,"3.3e-12"
"34","GO:0016070","RNA metabolic process",5068,299,204.64,"4.3e-12"
"35","GO:0010605","negative regulation of macromolecule met...",612,64,24.71,"5.1e-12"
"36","GO:0009892","negative regulation of metabolic process",658,67,26.57,"5.4e-12"
"37","GO:0006397","mRNA processing",437,51,17.65,"1.4e-11"
"38","GO:0072594","establishment of protein localization to...",317,42,12.8,"1.6e-11"
"39","GO:0044085","cellular component biogenesis",1383,109,55.84,"2.6e-11"
"40","GO:0006401","RNA catabolic process",136,26,5.49,"3.7e-11"
