"","GO.ID","Term","Annotated","Significant","Expected","classic"
"1","GO:0090410","malonate catabolic process",2,2,0.01,"3.2e-05"
"2","GO:0043649","dicarboxylic acid catabolic process",4,2,0.02,"0.00019"
"3","GO:0009690","cytokinin metabolic process",51,4,0.29,"0.00021"
"4","GO:0071396","cellular response to lipid",216,7,1.23,"0.00025"
"5","GO:0120029","proton export across plasma membrane",24,3,0.14,"0.00034"
"6","GO:0006633","fatty acid biosynthetic process",227,7,1.29,"0.00034"
"7","GO:0006952","defense response",550,11,3.13,"0.00035"
"8","GO:0009742","brassinosteroid mediated signaling pathw...",59,4,0.34,"0.00036"
"9","GO:0043401","steroid hormone mediated signaling pathw...",59,4,0.34,"0.00036"
"10","GO:0048545","response to steroid hormone",59,4,0.34,"0.00036"
"11","GO:0071367","cellular response to brassinosteroid sti...",59,4,0.34,"0.00036"
"12","GO:0071383","cellular response to steroid hormone sti...",59,4,0.34,"0.00036"
"13","GO:0009741","response to brassinosteroid",62,4,0.35,"0.00044"
"14","GO:0034754","cellular hormone metabolic process",63,4,0.36,"0.00047"
"15","GO:0140115","export across plasma membrane",30,3,0.17,"0.00066"
"16","GO:0071407","cellular response to organic cyclic comp...",72,4,0.41,"0.00078"
"17","GO:0009308","amine metabolic process",190,6,1.08,"0.00080"
"18","GO:0006631","fatty acid metabolic process",275,7,1.57,"0.00106"
"19","GO:0010469","regulation of signaling receptor activit...",9,2,0.05,"0.00113"
"20","GO:0006629","lipid metabolic process",1460,18,8.31,"0.00186"
"21","GO:0033993","response to lipid",401,8,2.28,"0.00223"
"22","GO:0051346","negative regulation of hydrolase activit...",106,4,0.6,"0.00323"
"23","GO:0009725","response to hormone",1076,14,6.13,"0.00366"
"24","GO:0009719","response to endogenous stimulus",1087,14,6.19,"0.00401"
"25","GO:0043086","negative regulation of catalytic activit...",273,6,1.55,"0.00493"
"26","GO:0044092","negative regulation of molecular functio...",279,6,1.59,"0.00546"
"27","GO:0014070","response to organic cyclic compound",126,4,0.72,"0.00596"
"28","GO:1901701","cellular response to oxygen-containing c...",393,7,2.24,"0.00759"
"29","GO:0044255","cellular lipid metabolic process",971,12,5.53,"0.01017"
"30","GO:0007009","plasma membrane organization",2,1,0.01,"0.01135"
"31","GO:0010306","rhamnogalacturonan II biosynthetic proce...",2,1,0.01,"0.01135"
"32","GO:0010396","rhamnogalacturonan II metabolic process",2,1,0.01,"0.01135"
"33","GO:0017121","phospholipid scrambling",2,1,0.01,"0.01135"
"34","GO:0080112","seed growth",2,1,0.01,"0.01135"
"35","GO:0080113","regulation of seed growth",2,1,0.01,"0.01135"
"36","GO:0010033","response to organic substance",1234,14,7.03,"0.01157"
"37","GO:0040007","growth",330,6,1.88,"0.01192"
"38","GO:0051171","regulation of nitrogen compound metaboli...",3572,31,20.34,"0.01202"
"39","GO:0032269","negative regulation of cellular protein ...",156,4,0.89,"0.01239"
"40","GO:0008643","carbohydrate transport",244,5,1.39,"0.01323"
