"","GO.ID","Term","Annotated","Significant","Expected","classic"
"1","GO:0044262","cellular carbohydrate metabolic process",648,14,3.13,"3.7e-06"
"2","GO:0098755","maintenance of seed dormancy by absisic ...",11,3,0.05,"1.8e-05"
"3","GO:0034637","cellular carbohydrate biosynthetic proce...",315,9,1.52,"2.5e-05"
"4","GO:0005984","disaccharide metabolic process",121,6,0.58,"2.8e-05"
"5","GO:0010231","maintenance of seed dormancy",13,3,0.06,"3.1e-05"
"6","GO:0097437","maintenance of dormancy",13,3,0.06,"3.1e-05"
"7","GO:0009311","oligosaccharide metabolic process",139,6,0.67,"6.2e-05"
"8","GO:0005978","glycogen biosynthetic process",19,3,0.09,"0.00010"
"9","GO:0005992","trehalose biosynthetic process",54,4,0.26,"0.00014"
"10","GO:0005991","trehalose metabolic process",58,4,0.28,"0.00018"
"11","GO:0010162","seed dormancy process",23,3,0.11,"0.00018"
"12","GO:0022611","dormancy process",23,3,0.11,"0.00018"
"13","GO:0046351","disaccharide biosynthetic process",60,4,0.29,"0.00021"
"14","GO:0016051","carbohydrate biosynthetic process",426,9,2.06,"0.00024"
"15","GO:0007033","vacuole organization",63,4,0.3,"0.00025"
"16","GO:0005975","carbohydrate metabolic process",2036,22,9.83,"0.00035"
"17","GO:0005977","glycogen metabolic process",29,3,0.14,"0.00037"
"18","GO:0006112","energy reserve metabolic process",29,3,0.14,"0.00037"
"19","GO:1900458","negative regulation of brassinosteroid m...",7,2,0.03,"0.00048"
"20","GO:0009312","oligosaccharide biosynthetic process",75,4,0.36,"0.00049"
"21","GO:1900457","regulation of brassinosteroid mediated s...",8,2,0.04,"0.00064"
"22","GO:0010431","seed maturation",35,3,0.17,"0.00065"
"23","GO:0019252","starch biosynthetic process",35,3,0.17,"0.00065"
"24","GO:0006040","amino sugar metabolic process",47,3,0.23,"0.00154"
"25","GO:0009968","negative regulation of signal transducti...",54,3,0.26,"0.00229"
"26","GO:0010029","regulation of seed germination",54,3,0.26,"0.00229"
"27","GO:0010648","negative regulation of cell communicatio...",54,3,0.26,"0.00229"
"28","GO:0023057","negative regulation of signaling",54,3,0.26,"0.00229"
"29","GO:1900140","regulation of seedling development",54,3,0.26,"0.00229"
"30","GO:0046174","polyol catabolic process",16,2,0.08,"0.00266"
"31","GO:0005982","starch metabolic process",58,3,0.28,"0.00281"
"32","GO:0046164","alcohol catabolic process",18,2,0.09,"0.00337"
"33","GO:0008154","actin polymerization or depolymerization",67,3,0.32,"0.00423"
"34","GO:1901616","organic hydroxy compound catabolic proce...",21,2,0.1,"0.00458"
"35","GO:0071695","anatomical structure maturation",70,3,0.34,"0.00478"
"36","GO:0046167","glycerol-3-phosphate biosynthetic proces...",1,1,0,"0.00483"
"37","GO:0051084","'de novo' posttranslational protein fold...",22,2,0.11,"0.00502"
"38","GO:0051085","chaperone cofactor-dependent protein ref...",22,2,0.11,"0.00502"
"39","GO:0015980","energy derivation by oxidation of organi...",232,5,1.12,"0.00552"
"40","GO:0098876","vesicle-mediated transport to the plasma...",24,2,0.12,"0.00597"
