"","GO.ID","Term","Annotated","Significant","Expected","classic"
"1","GO:0034613","cellular protein localization",815,58,21.85,"2.4e-11"
"2","GO:0070727","cellular macromolecule localization",815,58,21.85,"2.4e-11"
"3","GO:0006396","RNA processing",1149,70,30.81,"2.2e-10"
"4","GO:0006886","intracellular protein transport",722,51,19.36,"5.0e-10"
"5","GO:0010343","singlet oxygen-mediated programmed cell ...",7,6,0.19,"2.5e-09"
"6","GO:0036473","cell death in response to oxidative stre...",7,6,0.19,"2.5e-09"
"7","GO:0097468","programmed cell death in response to rea...",7,6,0.19,"2.5e-09"
"8","GO:0051641","cellular localization",1103,64,29.58,"8.8e-09"
"9","GO:0000304","response to singlet oxygen",8,6,0.21,"9.8e-09"
"10","GO:0007584","response to nutrient",8,6,0.21,"9.8e-09"
"11","GO:0031670","cellular response to nutrient",8,6,0.21,"9.8e-09"
"12","GO:0071452","cellular response to singlet oxygen",8,6,0.21,"9.8e-09"
"13","GO:0008380","RNA splicing",325,29,8.71,"2.1e-08"
"14","GO:0045184","establishment of protein localization",1109,63,29.74,"2.5e-08"
"15","GO:0016071","mRNA metabolic process",542,39,14.53,"3.4e-08"
"16","GO:0008104","protein localization",1172,65,31.43,"3.7e-08"
"17","GO:0046907","intracellular transport",923,55,24.75,"4.1e-08"
"18","GO:0015031","protein transport",1076,61,28.85,"4.5e-08"
"19","GO:0006397","mRNA processing",437,33,11.72,"1.3e-07"
"20","GO:0015833","peptide transport",1134,62,30.41,"1.3e-07"
"21","GO:0042886","amide transport",1145,62,30.7,"1.8e-07"
"22","GO:0051649","establishment of localization in cell",984,55,26.39,"3.3e-07"
"23","GO:0006099","tricarboxylic acid cycle",101,14,2.71,"5.4e-07"
"24","GO:0006101","citrate metabolic process",101,14,2.71,"5.4e-07"
"25","GO:0016973","poly(A)+ mRNA export from nucleus",20,7,0.54,"5.6e-07"
"26","GO:0019637","organophosphate metabolic process",1195,62,32.04,"7.4e-07"
"27","GO:0072350","tricarboxylic acid metabolic process",104,14,2.79,"7.7e-07"
"28","GO:0009259","ribonucleotide metabolic process",541,35,14.51,"2.0e-06"
"29","GO:0009117","nucleotide metabolic process",725,42,19.44,"3.3e-06"
"30","GO:0006406","mRNA export from nucleus",36,8,0.97,"4.0e-06"
"31","GO:0071427","mRNA-containing ribonucleoprotein comple...",36,8,0.97,"4.0e-06"
"32","GO:0009150","purine ribonucleotide metabolic process",513,33,13.76,"4.3e-06"
"33","GO:0033036","macromolecule localization",1430,68,38.34,"4.4e-06"
"34","GO:0019693","ribose phosphate metabolic process",587,36,15.74,"4.7e-06"
"35","GO:0006753","nucleoside phosphate metabolic process",736,42,19.74,"4.8e-06"
"36","GO:0009060","aerobic respiration",121,14,3.24,"4.8e-06"
"37","GO:0055086","nucleobase-containing small molecule met...",840,46,22.52,"5.1e-06"
"38","GO:0006163","purine nucleotide metabolic process",518,33,13.89,"5.3e-06"
"39","GO:0072521","purine-containing compound metabolic pro...",566,35,15.18,"5.3e-06"
"40","GO:0009126","purine nucleoside monophosphate metaboli...",386,27,10.35,"7.1e-06"
