"","GO.ID","Term","Annotated","Significant","Expected","classic"
"1","GO:0016192","vesicle-mediated transport",661,63,27.78,"1.7e-09"
"2","GO:0005976","polysaccharide metabolic process",761,69,31.99,"2.3e-09"
"3","GO:0006730","one-carbon metabolic process",57,15,2.4,"8.8e-09"
"4","GO:0006555","methionine metabolic process",49,13,2.06,"7.8e-08"
"5","GO:0006890","retrograde vesicle-mediated transport, G...",42,12,1.77,"1.0e-07"
"6","GO:0000271","polysaccharide biosynthetic process",295,34,12.4,"1.2e-07"
"7","GO:0005975","carbohydrate metabolic process",2036,134,85.58,"1.9e-07"
"8","GO:0006790","sulfur compound metabolic process",318,35,13.37,"2.5e-07"
"9","GO:0061025","membrane fusion",86,16,3.61,"5.3e-07"
"10","GO:0048193","Golgi vesicle transport",162,22,6.81,"1.3e-06"
"11","GO:0044281","small molecule metabolic process",2614,159,109.87,"1.6e-06"
"12","GO:0030243","cellulose metabolic process",190,24,7.99,"1.7e-06"
"13","GO:0071554","cell wall organization or biogenesis",965,72,40.56,"2.2e-06"
"14","GO:0000902","cell morphogenesis",234,27,9.84,"2.3e-06"
"15","GO:0016043","cellular component organization",3671,209,154.3,"3.5e-06"
"16","GO:0032989","cellular component morphogenesis",243,27,10.21,"4.7e-06"
"17","GO:0006928","movement of cell or subcellular componen...",177,22,7.44,"5.8e-06"
"18","GO:0016049","cell growth",207,24,8.7,"7.5e-06"
"19","GO:0009066","aspartate family amino acid metabolic pr...",82,14,3.45,"7.7e-06"
"20","GO:0044264","cellular polysaccharide metabolic proces...",418,38,17.57,"8.3e-06"
"21","GO:0097435","supramolecular fiber organization",209,24,8.78,"8.8e-06"
"22","GO:0071555","cell wall organization",778,59,32.7,"1.1e-05"
"23","GO:0016051","carbohydrate biosynthetic process",426,38,17.91,"1.3e-05"
"24","GO:0045229","external encapsulating structure organiz...",786,59,33.04,"1.5e-05"
"25","GO:0051273","beta-glucan metabolic process",216,24,9.08,"1.5e-05"
"26","GO:0046686","response to cadmium ion",56,11,2.35,"1.8e-05"
"27","GO:1901137","carbohydrate derivative biosynthetic pro...",810,60,34.05,"1.9e-05"
"28","GO:0000373","Group II intron splicing",22,7,0.92,"2.2e-05"
"29","GO:0071840","cellular component organization or bioge...",3994,219,167.88,"2.4e-05"
"30","GO:0017144","drug metabolic process",1283,85,53.93,"2.7e-05"
"31","GO:0046271","phenylpropanoid catabolic process",69,12,2.9,"2.8e-05"
"32","GO:0046274","lignin catabolic process",69,12,2.9,"2.8e-05"
"33","GO:0045488","pectin metabolic process",299,29,12.57,"2.9e-05"
"34","GO:0048869","cellular developmental process",445,38,18.7,"3.3e-05"
"35","GO:0016310","phosphorylation",4106,223,172.58,"3.6e-05"
"36","GO:0006073","cellular glucan metabolic process",367,33,15.43,"3.9e-05"
"37","GO:0044042","glucan metabolic process",367,33,15.43,"3.9e-05"
"38","GO:0010393","galacturonan metabolic process",305,29,12.82,"4.2e-05"
"39","GO:0009653","anatomical structure morphogenesis",434,37,18.24,"4.4e-05"
"40","GO:0009826","unidimensional cell growth",160,19,6.73,"4.6e-05"
