"","GO.ID","Term","Annotated","Significant","Expected","classic"
"1","GO:0042254","ribosome biogenesis",366,38,1.5,"< 1e-30"
"2","GO:0022613","ribonucleoprotein complex biogenesis",518,41,2.12,"< 1e-30"
"3","GO:0034470","ncRNA processing",451,32,1.85,"3.6e-30"
"4","GO:0006396","RNA processing",1149,43,4.7,"4.0e-29"
"5","GO:0044085","cellular component biogenesis",1383,45,5.66,"5.6e-28"
"6","GO:0034660","ncRNA metabolic process",636,33,2.6,"1.0e-26"
"7","GO:0006364","rRNA processing",237,21,0.97,"4.9e-22"
"8","GO:0016072","rRNA metabolic process",239,21,0.98,"5.8e-22"
"9","GO:0042273","ribosomal large subunit biogenesis",86,15,0.35,"1.3e-20"
"10","GO:0071840","cellular component organization or bioge...",3994,55,16.35,"1.2e-16"
"11","GO:0009451","RNA modification",320,17,1.31,"2.6e-14"
"12","GO:0016070","RNA metabolic process",5068,58,20.74,"4.9e-14"
"13","GO:0010467","gene expression",6173,63,25.27,"4.5e-13"
"14","GO:0008033","tRNA processing",212,12,0.87,"8.9e-11"
"15","GO:0006400","tRNA modification",133,9,0.54,"4.5e-09"
"16","GO:0006399","tRNA metabolic process",390,13,1.6,"9.2e-09"
"17","GO:0000491","small nucleolar ribonucleoprotein comple...",7,4,0.03,"9.4e-09"
"18","GO:0001510","RNA methylation",121,7,0.5,"7.2e-07"
"19","GO:0090304","nucleic acid metabolic process",9322,65,38.15,"1.6e-06"
"20","GO:0000460","maturation of 5.8S rRNA",22,4,0.09,"1.9e-06"
"21","GO:0006139","nucleobase-containing compound metabolic...",10147,68,41.53,"3.5e-06"
"22","GO:0034641","cellular nitrogen compound metabolic pro...",11920,76,48.79,"4.0e-06"
"23","GO:0043414","macromolecule methylation",381,10,1.56,"4.3e-06"
"24","GO:0010305","leaf vascular tissue pattern formation",12,3,0.05,"1.4e-05"
"25","GO:0046483","heterocycle metabolic process",10552,68,43.19,"1.4e-05"
"26","GO:1901360","organic cyclic compound metabolic proces...",10778,69,44.11,"1.5e-05"
"27","GO:0031590","wybutosine metabolic process",2,2,0.01,"1.7e-05"
"28","GO:0031591","wybutosine biosynthetic process",2,2,0.01,"1.7e-05"
"29","GO:0000466","maturation of 5.8S rRNA from tricistroni...",13,3,0.05,"1.9e-05"
"30","GO:0006725","cellular aromatic compound metabolic pro...",10679,68,43.71,"2.2e-05"
"31","GO:0000055","ribosomal large subunit export from nucl...",14,3,0.06,"2.4e-05"
"32","GO:0032259","methylation",1054,15,4.31,"3.1e-05"
"33","GO:0000054","ribosomal subunit export from nucleus",16,3,0.07,"3.6e-05"
"34","GO:0033750","ribosome localization",16,3,0.07,"3.6e-05"
"35","GO:0071428","rRNA-containing ribonucleoprotein comple...",16,3,0.07,"3.6e-05"
"36","GO:0007389","pattern specification process",92,5,0.38,"4.0e-05"
"37","GO:0000492","box C/D snoRNP assembly",3,2,0.01,"5.0e-05"
"38","GO:0080186","developmental vegetative growth",3,2,0.01,"5.0e-05"
"39","GO:0071166","ribonucleoprotein complex localization",54,4,0.22,"7.3e-05"
"40","GO:0071426","ribonucleoprotein complex export from nu...",54,4,0.22,"7.3e-05"
