"","GO.ID","Term","Annotated","Significant","Expected","classic"
"1","GO:0006368","transcription elongation from RNA polyme...",29,3,0.07,"5.1e-05"
"2","GO:0042752","regulation of circadian rhythm",36,3,0.09,"9.8e-05"
"3","GO:0006325","chromatin organization",487,7,1.2,"0.00021"
"4","GO:0006354","DNA-templated transcription, elongation",47,3,0.12,"0.00022"
"5","GO:0032968","positive regulation of transcription elo...",10,2,0.02,"0.00027"
"6","GO:0051276","chromosome organization",931,9,2.3,"0.00050"
"7","GO:0007623","circadian rhythm",63,3,0.16,"0.00052"
"8","GO:0034243","regulation of transcription elongation f...",14,2,0.03,"0.00054"
"9","GO:0048511","rhythmic process",66,3,0.16,"0.00059"
"10","GO:0009835","fruit ripening",16,2,0.04,"0.00071"
"11","GO:0032786","positive regulation of DNA-templated tra...",18,2,0.04,"0.00090"
"12","GO:0008380","RNA splicing",325,5,0.8,"0.00129"
"13","GO:0010558","negative regulation of macromolecule bio...",196,4,0.48,"0.00144"
"14","GO:0010467","gene expression",6173,27,15.22,"0.00159"
"15","GO:0051172","negative regulation of nitrogen compound...",356,5,0.88,"0.00192"
"16","GO:0031327","negative regulation of cellular biosynth...",215,4,0.53,"0.00202"
"17","GO:0043044","ATP-dependent chromatin remodeling",27,2,0.07,"0.00203"
"18","GO:0000398","mRNA splicing, via spliceosome",218,4,0.54,"0.00212"
"19","GO:0009890","negative regulation of biosynthetic proc...",220,4,0.54,"0.00220"
"20","GO:0048518","positive regulation of biological proces...",951,8,2.35,"0.00246"
"21","GO:0031324","negative regulation of cellular metaboli...",379,5,0.93,"0.00252"
"22","GO:0051171","regulation of nitrogen compound metaboli...",3572,18,8.81,"0.00260"
"23","GO:0044267","cellular protein metabolic process",7729,31,19.06,"0.00264"
"24","GO:0034645","cellular macromolecule biosynthetic proc...",5739,25,14.15,"0.00264"
"25","GO:0000375","RNA splicing, via transesterification re...",240,4,0.59,"0.00300"
"26","GO:0000377","RNA splicing, via transesterification re...",240,4,0.59,"0.00300"
"27","GO:0032784","regulation of DNA-templated transcriptio...",33,2,0.08,"0.00302"
"28","GO:0080090","regulation of primary metabolic process",3633,18,8.96,"0.00312"
"29","GO:0048522","positive regulation of cellular process",783,7,1.93,"0.00329"
"30","GO:0031323","regulation of cellular metabolic process",3670,18,9.05,"0.00348"
"31","GO:0006511","ubiquitin-dependent protein catabolic pr...",421,5,1.04,"0.00394"
"32","GO:0019941","modification-dependent protein catabolic...",429,5,1.06,"0.00427"
"33","GO:0009059","macromolecule biosynthetic process",5951,25,14.68,"0.00431"
"34","GO:0006366","transcription by RNA polymerase II",432,5,1.07,"0.00440"
"35","GO:0006397","mRNA processing",437,5,1.08,"0.00461"
"36","GO:0043632","modification-dependent macromolecule cat...",437,5,1.08,"0.00461"
"37","GO:0044265","cellular macromolecule catabolic process",630,6,1.55,"0.00475"
"38","GO:0006422","aspartyl-tRNA aminoacylation",2,1,0,"0.00493"
"39","GO:0009836","fruit ripening, climacteric",2,1,0,"0.00493"
"40","GO:0048281","inflorescence morphogenesis",2,1,0,"0.00493"
