"","GO.ID","Term","Annotated","Significant","Expected","classic"
"1","GO:0045944","positive regulation of transcription by ...",189,23,0.49,"< 1e-30"
"2","GO:0045893","positive regulation of transcription, DN...",316,23,0.81,"5.0e-27"
"3","GO:1902680","positive regulation of RNA biosynthetic ...",340,23,0.87,"2.7e-26"
"4","GO:1903508","positive regulation of nucleic acid-temp...",340,23,0.87,"2.7e-26"
"5","GO:0051254","positive regulation of RNA metabolic pro...",341,23,0.88,"2.9e-26"
"6","GO:0006357","regulation of transcription by RNA polym...",362,23,0.93,"1.2e-25"
"7","GO:0010557","positive regulation of macromolecule bio...",362,23,0.93,"1.2e-25"
"8","GO:0045935","positive regulation of nucleobase-contai...",363,23,0.93,"1.2e-25"
"9","GO:0010628","positive regulation of gene expression",368,23,0.95,"1.7e-25"
"10","GO:0031328","positive regulation of cellular biosynth...",378,23,0.97,"3.2e-25"
"11","GO:0009891","positive regulation of biosynthetic proc...",389,23,1,"6.1e-25"
"12","GO:0006366","transcription by RNA polymerase II",432,23,1.11,"6.7e-24"
"13","GO:0051173","positive regulation of nitrogen compound...",566,23,1.46,"3.0e-21"
"14","GO:0031325","positive regulation of cellular metaboli...",583,23,1.5,"5.8e-21"
"15","GO:0010604","positive regulation of macromolecule met...",588,23,1.51,"7.0e-21"
"16","GO:0048522","positive regulation of cellular process",783,25,2.01,"1.5e-20"
"17","GO:0009893","positive regulation of metabolic process",629,23,1.62,"3.1e-20"
"18","GO:0048518","positive regulation of biological proces...",951,25,2.45,"1.5e-18"
"19","GO:0006355","regulation of transcription, DNA-templat...",2885,29,7.42,"9.6e-11"
"20","GO:1903506","regulation of nucleic acid-templated tra...",2930,29,7.53,"1.4e-10"
"21","GO:2001141","regulation of RNA biosynthetic process",2930,29,7.53,"1.4e-10"
"22","GO:0051171","regulation of nitrogen compound metaboli...",3572,32,9.18,"1.5e-10"
"23","GO:0051252","regulation of RNA metabolic process",2961,29,7.61,"1.8e-10"
"24","GO:0060255","regulation of macromolecule metabolic pr...",3847,33,9.89,"2.1e-10"
"25","GO:0080090","regulation of primary metabolic process",3633,32,9.34,"2.2e-10"
"26","GO:2000112","regulation of cellular macromolecule bio...",3018,29,7.76,"2.8e-10"
"27","GO:0031323","regulation of cellular metabolic process",3670,32,9.44,"2.9e-10"
"28","GO:0019219","regulation of nucleobase-containing comp...",3043,29,7.82,"3.4e-10"
"29","GO:0010556","regulation of macromolecule biosynthetic...",3063,29,7.88,"3.9e-10"
"30","GO:0010468","regulation of gene expression",3306,30,8.5,"4.9e-10"
"31","GO:0031326","regulation of cellular biosynthetic proc...",3117,29,8.01,"5.9e-10"
"32","GO:0019222","regulation of metabolic process",4004,33,10.3,"5.9e-10"
"33","GO:0009889","regulation of biosynthetic process",3134,29,8.06,"6.7e-10"
"34","GO:0006351","transcription, DNA-templated",3199,29,8.23,"1.1e-09"
"35","GO:0097659","nucleic acid-templated transcription",3270,29,8.41,"1.8e-09"
"36","GO:0019438","aromatic compound biosynthetic process",4509,34,11.59,"3.0e-09"
"37","GO:0018130","heterocycle biosynthetic process",4527,34,11.64,"3.3e-09"
"38","GO:0032774","RNA biosynthetic process",3368,29,8.66,"3.5e-09"
"39","GO:1901362","organic cyclic compound biosynthetic pro...",4672,34,12.01,"7.5e-09"
"40","GO:0034654","nucleobase-containing compound biosynthe...",4220,32,10.85,"9.3e-09"
