"","GO.ID","Term","Annotated","Significant","Expected","classic"
"1","GO:0042254","ribosome biogenesis",366,22,0.92,"3.0e-24"
"2","GO:0022613","ribonucleoprotein complex biogenesis",518,23,1.3,"2.4e-22"
"3","GO:0006364","rRNA processing",237,17,0.6,"3.5e-20"
"4","GO:0016072","rRNA metabolic process",239,17,0.6,"4.0e-20"
"5","GO:0034660","ncRNA metabolic process",636,22,1.6,"4.6e-19"
"6","GO:0034470","ncRNA processing",451,19,1.14,"4.1e-18"
"7","GO:0006396","RNA processing",1149,26,2.89,"6.0e-18"
"8","GO:0016070","RNA metabolic process",5068,43,12.77,"4.6e-14"
"9","GO:0044085","cellular component biogenesis",1383,24,3.48,"4.8e-14"
"10","GO:0010467","gene expression",6173,45,15.55,"2.0e-12"
"11","GO:0071840","cellular component organization or bioge...",3994,35,10.06,"1.3e-11"
"12","GO:0006913","nucleocytoplasmic transport",248,9,0.62,"1.4e-08"
"13","GO:0051169","nuclear transport",248,9,0.62,"1.4e-08"
"14","GO:0090304","nucleic acid metabolic process",9322,47,23.48,"1.7e-07"
"15","GO:0006139","nucleobase-containing compound metabolic...",10147,47,25.56,"2.4e-06"
"16","GO:0042273","ribosomal large subunit biogenesis",86,5,0.22,"2.7e-06"
"17","GO:0046907","intracellular transport",923,12,2.32,"3.7e-06"
"18","GO:0051649","establishment of localization in cell",984,12,2.48,"7.0e-06"
"19","GO:0034641","cellular nitrogen compound metabolic pro...",11920,51,30.02,"7.1e-06"
"20","GO:0046483","heterocycle metabolic process",10552,47,26.58,"7.7e-06"
"21","GO:0006725","cellular aromatic compound metabolic pro...",10679,47,26.9,"1.1e-05"
"22","GO:0042274","ribosomal small subunit biogenesis",55,4,0.14,"1.2e-05"
"23","GO:1901360","organic cyclic compound metabolic proces...",10778,47,27.15,"1.4e-05"
"24","GO:0051641","cellular localization",1103,12,2.78,"2.2e-05"
"25","GO:0006399","tRNA metabolic process",390,7,0.98,"6.1e-05"
"26","GO:0048316","seed development",280,6,0.71,"7.9e-05"
"27","GO:0010154","fruit development",301,6,0.76,"0.00012"
"28","GO:0009451","RNA modification",320,6,0.81,"0.00016"
"29","GO:0001510","RNA methylation",121,4,0.3,"0.00026"
"30","GO:0017038","protein import",224,5,0.56,"0.00027"
"31","GO:0006606","protein import into nucleus",123,4,0.31,"0.00027"
"32","GO:0000469","cleavage involved in rRNA processing",10,2,0.03,"0.00028"
"33","GO:0006433","prolyl-tRNA aminoacylation",10,2,0.03,"0.00028"
"34","GO:0034504","protein localization to nucleus",124,4,0.31,"0.00028"
"35","GO:0051170","import into nucleus",126,4,0.32,"0.00030"
"36","GO:0000466","maturation of 5.8S rRNA from tricistroni...",13,2,0.03,"0.00048"
"37","GO:0009944","polarity specification of adaxial/abaxia...",13,2,0.03,"0.00048"
"38","GO:0006886","intracellular protein transport",722,8,1.82,"0.00049"
"39","GO:0009791","post-embryonic development",724,8,1.82,"0.00050"
"40","GO:0009943","adaxial/abaxial axis specification",14,2,0.04,"0.00056"
