"","total","S subgenome","T subgenome","ambiguous"
"1",148,73,62,13
"2",6906,3103,3152,651
"3",6213,2708,2910,595
"4",3567,1475,1497,595
"5",3192,1467,1468,257
"6",2805,1333,1172,300
"7",2694,1211,1189,294
"8",2339,1031,1087,221
"9",1945,873,882,190
"10",1705,749,821,135
"11",711,316,318,77
"12",574,270,249,55
"13",563,257,252,54
"14",505,228,239,38
"15",464,203,216,45
"16",459,206,214,39
"17",440,181,186,73
"18",420,182,203,35
"19",409,182,201,26
"20",377,187,161,29
"21",354,146,177,31
"22",329,134,162,33
"23",300,129,139,32
"24",298,137,135,26
"25",271,113,129,29
"26",243,101,120,22
"27",218,106,95,17
"28",215,100,104,11
"29",204,96,94,14
"30",202,78,109,15
"31",200,87,96,17
"32",188,77,94,17
"33",171,80,73,18
"34",136,70,53,13
"35",105,15,15,75
"36",55,29,22,4
"37",44,19,23,2
"38",34,14,16,4
"39",27,5,17,5
"40",26,6,17,3
