"","GO.ID","Term","Annotated","Significant","Expected","classic"
"1","GO:1902600","proton transmembrane transport",192,13,1.52,"4.2e-09"
"2","GO:0034220","ion transmembrane transport",350,15,2.77,"1.2e-07"
"3","GO:0051276","chromosome organization",209,11,1.65,"8.6e-07"
"4","GO:0098662","inorganic cation transmembrane transport",303,13,2.39,"8.7e-07"
"5","GO:0098660","inorganic ion transmembrane transport",305,13,2.41,"9.3e-07"
"6","GO:0015672","monovalent inorganic cation transport",307,13,2.43,"1.0e-06"
"7","GO:0098655","cation transmembrane transport",323,13,2.55,"1.8e-06"
"8","GO:0006996","organelle organization",378,13,2.99,"9.8e-06"
"9","GO:0044265","cellular macromolecule catabolic process",280,11,2.21,"1.4e-05"
"10","GO:0006281","DNA repair",246,9,1.94,"0.00015"
"11","GO:0009057","macromolecule catabolic process",367,11,2.9,"0.00016"
"12","GO:0006974","cellular response to DNA damage stimulus",252,9,1.99,"0.00018"
"13","GO:0006139","nucleobase-containing compound metabolic...",3641,47,28.78,"0.00023"
"14","GO:0033554","cellular response to stress",262,9,2.07,"0.00024"
"15","GO:0046483","heterocycle metabolic process",3889,49,30.74,"0.00029"
"16","GO:0006401","RNA catabolic process",42,4,0.33,"0.00033"
"17","GO:0034641","cellular nitrogen compound metabolic pro...",4809,57,38.01,"0.00037"
"18","GO:0016075","rRNA catabolic process",4,2,0.03,"0.00037"
"19","GO:0034661","ncRNA catabolic process",4,2,0.03,"0.00037"
"20","GO:1901360","organic cyclic compound metabolic proces...",4015,49,31.73,"0.00062"
"21","GO:0006725","cellular aromatic compound metabolic pro...",3944,48,31.17,"0.00078"
"22","GO:0016043","cellular component organization",828,16,6.54,"0.00086"
"23","GO:0006511","ubiquitin-dependent protein catabolic pr...",195,7,1.54,"0.00092"
"24","GO:0019941","modification-dependent protein catabolic...",195,7,1.54,"0.00092"
"25","GO:0043632","modification-dependent macromolecule cat...",195,7,1.54,"0.00092"
"26","GO:0090304","nucleic acid metabolic process",3078,39,24.33,"0.00139"
"27","GO:0044257","cellular protein catabolic process",225,7,1.78,"0.00210"
"28","GO:0051603","proteolysis involved in cellular protein...",225,7,1.78,"0.00210"
"29","GO:0006370","7-methylguanosine mRNA capping",9,2,0.07,"0.00215"
"30","GO:0006812","cation transport",668,13,5.28,"0.00249"
"31","GO:0016579","protein deubiquitination",73,4,0.58,"0.00267"
"32","GO:0006807","nitrogen compound metabolic process",8977,88,70.95,"0.00283"
"33","GO:0070646","protein modification by small protein re...",77,4,0.61,"0.00324"
"34","GO:0006396","RNA processing",530,11,4.19,"0.00329"
"35","GO:0015985","energy coupled proton transport, down el...",82,4,0.65,"0.00406"
"36","GO:0015986","ATP synthesis coupled proton transport",82,4,0.65,"0.00406"
"37","GO:0009452","7-methylguanosine RNA capping",13,2,0.1,"0.00457"
"38","GO:0036260","RNA capping",13,2,0.1,"0.00457"
"39","GO:0030163","protein catabolic process",260,7,2.05,"0.00467"
"40","GO:0006811","ion transport",894,15,7.07,"0.00480"
