"","GO.ID","Term","Annotated","Significant","Expected","classic"
"1","GO:0015977","carbon fixation",18,2,0.07,"0.0022"
"2","GO:0030001","metal ion transport",364,6,1.43,"0.0030"
"3","GO:0006816","calcium ion transport",27,2,0.11,"0.0050"
"4","GO:0015914","phospholipid transport",30,2,0.12,"0.0062"
"5","GO:0006508","proteolysis",1038,10,4.07,"0.0071"
"6","GO:0006481","C-terminal protein methylation",2,1,0.01,"0.0078"
"7","GO:0018410","C-terminal protein amino acid modificati...",2,1,0.01,"0.0078"
"8","GO:0043687","post-translational protein modification",2,1,0.01,"0.0078"
"9","GO:0006811","ion transport",894,9,3.51,"0.0081"
"10","GO:0006629","lipid metabolic process",895,9,3.51,"0.0081"
"11","GO:0015748","organophosphate ester transport",36,2,0.14,"0.0088"
"12","GO:0006099","tricarboxylic acid cycle",48,2,0.19,"0.0152"
"13","GO:0006101","citrate metabolic process",48,2,0.19,"0.0152"
"14","GO:0009060","aerobic respiration",51,2,0.2,"0.0171"
"15","GO:0000288","nuclear-transcribed mRNA catabolic proce...",5,1,0.02,"0.0195"
"16","GO:0000290","deadenylation-dependent decapping of nuc...",5,1,0.02,"0.0195"
"17","GO:0072350","tricarboxylic acid metabolic process",59,2,0.23,"0.0225"
"18","GO:0006436","tryptophanyl-tRNA aminoacylation",6,1,0.02,"0.0233"
"19","GO:0070838","divalent metal ion transport",69,2,0.27,"0.0301"
"20","GO:0072511","divalent inorganic cation transport",69,2,0.27,"0.0301"
"21","GO:0016579","protein deubiquitination",73,2,0.29,"0.0334"
"22","GO:0006370","7-methylguanosine mRNA capping",9,1,0.04,"0.0348"
"23","GO:0006777","Mo-molybdopterin cofactor biosynthetic p...",9,1,0.04,"0.0348"
"24","GO:0007029","endoplasmic reticulum organization",9,1,0.04,"0.0348"
"25","GO:0019720","Mo-molybdopterin cofactor metabolic proc...",9,1,0.04,"0.0348"
"26","GO:0043545","molybdopterin cofactor metabolic process",9,1,0.04,"0.0348"
"27","GO:0051189","prosthetic group metabolic process",9,1,0.04,"0.0348"
"28","GO:0045944","positive regulation of transcription by ...",76,2,0.3,"0.0359"
"29","GO:0070646","protein modification by small protein re...",77,2,0.3,"0.0368"
"30","GO:0006820","anion transport",188,3,0.74,"0.0377"
"31","GO:0015711","organic anion transport",83,2,0.33,"0.0421"
"32","GO:0045333","cellular respiration",84,2,0.33,"0.0431"
"33","GO:0006814","sodium ion transport",12,1,0.05,"0.0461"
"34","GO:0006885","regulation of pH",12,1,0.05,"0.0461"
"35","GO:0043085","positive regulation of catalytic activit...",12,1,0.05,"0.0461"
"36","GO:0044093","positive regulation of molecular functio...",12,1,0.05,"0.0461"
"37","GO:0055067","monovalent inorganic cation homeostasis",12,1,0.05,"0.0461"
"38","GO:0006812","cation transport",668,6,2.62,"0.0470"
"39","GO:0009452","7-methylguanosine RNA capping",13,1,0.05,"0.0498"
"40","GO:0036260","RNA capping",13,1,0.05,"0.0498"
