"","GO.ID","Term","Annotated","Significant","Expected","classic"
"1","GO:0006862","nucleotide transport",6,2,0,"6.9e-06"
"2","GO:0015748","organophosphate ester transport",36,2,0.03,"0.00029"
"3","GO:0015931","nucleobase-containing compound transport",40,2,0.03,"0.00036"
"4","GO:0034470","ncRNA processing",224,3,0.16,"0.00047"
"5","GO:0006364","rRNA processing",91,2,0.06,"0.00183"
"6","GO:0034660","ncRNA metabolic process",366,3,0.26,"0.00194"
"7","GO:0016072","rRNA metabolic process",99,2,0.07,"0.00216"
"8","GO:0009451","RNA modification",131,2,0.09,"0.00375"
"9","GO:0042254","ribosome biogenesis",140,2,0.1,"0.00427"
"10","GO:0006396","RNA processing",530,3,0.38,"0.00552"
"11","GO:0022613","ribonucleoprotein complex biogenesis",171,2,0.12,"0.00630"
"12","GO:0071705","nitrogen compound transport",565,3,0.4,"0.00660"
"13","GO:0000154","rRNA modification",15,1,0.01,"0.01058"
"14","GO:0002098","tRNA wobble uridine modification",16,1,0.01,"0.01128"
"15","GO:0006183","GTP biosynthetic process",16,1,0.01,"0.01128"
"16","GO:0006228","UTP biosynthetic process",16,1,0.01,"0.01128"
"17","GO:0046051","UTP metabolic process",16,1,0.01,"0.01128"
"18","GO:0071702","organic substance transport",697,3,0.49,"0.01174"
"19","GO:0046039","GTP metabolic process",18,1,0.01,"0.01268"
"20","GO:1901070","guanosine-containing compound biosynthet...",18,1,0.01,"0.01268"
"21","GO:0002097","tRNA wobble base modification",20,1,0.01,"0.01408"
"22","GO:0006241","CTP biosynthetic process",23,1,0.02,"0.01618"
"23","GO:0009148","pyrimidine nucleoside triphosphate biosy...",23,1,0.02,"0.01618"
"24","GO:0009208","pyrimidine ribonucleoside triphosphate m...",23,1,0.02,"0.01618"
"25","GO:0009209","pyrimidine ribonucleoside triphosphate b...",23,1,0.02,"0.01618"
"26","GO:0046036","CTP metabolic process",23,1,0.02,"0.01618"
"27","GO:0042451","purine nucleoside biosynthetic process",24,1,0.02,"0.01688"
"28","GO:0046129","purine ribonucleoside biosynthetic proce...",24,1,0.02,"0.01688"
"29","GO:0006213","pyrimidine nucleoside metabolic process",25,1,0.02,"0.01758"
"30","GO:0009218","pyrimidine ribonucleotide metabolic proc...",25,1,0.02,"0.01758"
"31","GO:0009220","pyrimidine ribonucleotide biosynthetic p...",25,1,0.02,"0.01758"
"32","GO:0046131","pyrimidine ribonucleoside metabolic proc...",25,1,0.02,"0.01758"
"33","GO:0046132","pyrimidine ribonucleoside biosynthetic p...",25,1,0.02,"0.01758"
"34","GO:0046134","pyrimidine nucleoside biosynthetic proce...",25,1,0.02,"0.01758"
"35","GO:0009147","pyrimidine nucleoside triphosphate metab...",28,1,0.02,"0.01967"
"36","GO:1901068","guanosine-containing compound metabolic ...",28,1,0.02,"0.01967"
"37","GO:0009163","nucleoside biosynthetic process",33,1,0.02,"0.02314"
"38","GO:0042455","ribonucleoside biosynthetic process",33,1,0.02,"0.02314"
"39","GO:1901659","glycosyl compound biosynthetic process",33,1,0.02,"0.02314"
"40","GO:0042278","purine nucleoside metabolic process",34,1,0.02,"0.02383"
