"","GO.ID","Term","Annotated","Significant","Expected","classic"
"1","GO:0006597","spermine biosynthetic process",13,3,0.06,"2.9e-05"
"2","GO:0008215","spermine metabolic process",13,3,0.06,"2.9e-05"
"3","GO:0050794","regulation of cellular process",2378,26,11.41,"3.2e-05"
"4","GO:0050789","regulation of biological process",2453,26,11.77,"5.5e-05"
"5","GO:0009309","amine biosynthetic process",45,4,0.22,"6.3e-05"
"6","GO:0042401","cellular biogenic amine biosynthetic pro...",45,4,0.22,"6.3e-05"
"7","GO:0008216","spermidine metabolic process",17,3,0.08,"6.9e-05"
"8","GO:0008295","spermidine biosynthetic process",17,3,0.08,"6.9e-05"
"9","GO:0065007","biological regulation",2628,26,12.61,"0.00018"
"10","GO:0006596","polyamine biosynthetic process",26,3,0.12,"0.00026"
"11","GO:0006576","cellular biogenic amine metabolic proces...",70,4,0.34,"0.00036"
"12","GO:0044106","cellular amine metabolic process",70,4,0.34,"0.00036"
"13","GO:0006595","polyamine metabolic process",32,3,0.15,"0.00048"
"14","GO:0009308","amine metabolic process",102,4,0.49,"0.00147"
"15","GO:0000160","phosphorelay signal transduction system",104,4,0.5,"0.00158"
"16","GO:0097164","ammonium ion metabolic process",48,3,0.23,"0.00158"
"17","GO:0035556","intracellular signal transduction",179,5,0.86,"0.00170"
"18","GO:0006355","regulation of transcription, DNA-templat...",1590,16,7.63,"0.00342"
"19","GO:1903506","regulation of nucleic acid-templated tra...",1590,16,7.63,"0.00342"
"20","GO:2001141","regulation of RNA biosynthetic process",1590,16,7.63,"0.00342"
"21","GO:0051252","regulation of RNA metabolic process",1595,16,7.65,"0.00352"
"22","GO:0019219","regulation of nucleobase-containing comp...",1608,16,7.71,"0.00382"
"23","GO:0009889","regulation of biosynthetic process",1611,16,7.73,"0.00389"
"24","GO:0010556","regulation of macromolecule biosynthetic...",1611,16,7.73,"0.00389"
"25","GO:0031326","regulation of cellular biosynthetic proc...",1611,16,7.73,"0.00389"
"26","GO:2000112","regulation of cellular macromolecule bio...",1611,16,7.73,"0.00389"
"27","GO:0051171","regulation of nitrogen compound metaboli...",1661,16,7.97,"0.00523"
"28","GO:0080090","regulation of primary metabolic process",1661,16,7.97,"0.00523"
"29","GO:0031323","regulation of cellular metabolic process",1663,16,7.98,"0.00529"
"30","GO:0010468","regulation of gene expression",1665,16,7.99,"0.00535"
"31","GO:0007165","signal transduction",451,7,2.16,"0.00594"
"32","GO:0023052","signaling",451,7,2.16,"0.00594"
"33","GO:0060255","regulation of macromolecule metabolic pr...",1717,16,8.24,"0.00716"
"34","GO:0019222","regulation of metabolic process",1728,16,8.29,"0.00760"
"35","GO:0006351","transcription, DNA-templated",1823,16,8.74,"0.01238"
"36","GO:0097659","nucleic acid-templated transcription",1823,16,8.74,"0.01238"
"37","GO:0032774","RNA biosynthetic process",1827,16,8.76,"0.01262"
"38","GO:0018130","heterocycle biosynthetic process",2398,19,11.5,"0.01780"
"39","GO:0007154","cell communication",573,7,2.75,"0.02014"
"40","GO:1901362","organic cyclic compound biosynthetic pro...",2466,19,11.83,"0.02325"
