"","GO.ID","Term","Annotated","Significant","Expected","classic"
"1","GO:0009445","putrescine metabolic process",3,2,0.02,"0.00012"
"2","GO:0009446","putrescine biosynthetic process",3,2,0.02,"0.00012"
"3","GO:0006355","regulation of transcription, DNA-templat...",1590,22,10.23,"0.00046"
"4","GO:1903506","regulation of nucleic acid-templated tra...",1590,22,10.23,"0.00046"
"5","GO:2001141","regulation of RNA biosynthetic process",1590,22,10.23,"0.00046"
"6","GO:0051252","regulation of RNA metabolic process",1595,22,10.26,"0.00048"
"7","GO:0019219","regulation of nucleobase-containing comp...",1608,22,10.34,"0.00054"
"8","GO:0009889","regulation of biosynthetic process",1611,22,10.36,"0.00056"
"9","GO:0010556","regulation of macromolecule biosynthetic...",1611,22,10.36,"0.00056"
"10","GO:0031326","regulation of cellular biosynthetic proc...",1611,22,10.36,"0.00056"
"11","GO:2000112","regulation of cellular macromolecule bio...",1611,22,10.36,"0.00056"
"12","GO:0006560","proline metabolic process",6,2,0.04,"0.00060"
"13","GO:0006561","proline biosynthetic process",6,2,0.04,"0.00060"
"14","GO:0051171","regulation of nitrogen compound metaboli...",1661,22,10.68,"0.00084"
"15","GO:0080090","regulation of primary metabolic process",1661,22,10.68,"0.00084"
"16","GO:0031323","regulation of cellular metabolic process",1663,22,10.7,"0.00085"
"17","GO:0010468","regulation of gene expression",1665,22,10.71,"0.00086"
"18","GO:0060255","regulation of macromolecule metabolic pr...",1717,22,11.04,"0.00129"
"19","GO:0019222","regulation of metabolic process",1728,22,11.11,"0.00140"
"20","GO:1901362","organic cyclic compound biosynthetic pro...",2466,28,15.86,"0.00168"
"21","GO:0050794","regulation of cellular process",2378,27,15.29,"0.00207"
"22","GO:0018130","heterocycle biosynthetic process",2398,27,15.42,"0.00234"
"23","GO:0006351","transcription, DNA-templated",1823,22,11.72,"0.00275"
"24","GO:0097659","nucleic acid-templated transcription",1823,22,11.72,"0.00275"
"25","GO:0032774","RNA biosynthetic process",1827,22,11.75,"0.00283"
"26","GO:0050789","regulation of biological process",2453,27,15.78,"0.00323"
"27","GO:0019438","aromatic compound biosynthetic process",2373,26,15.26,"0.00416"
"28","GO:0065007","biological regulation",2628,28,16.9,"0.00426"
"29","GO:0006357","regulation of transcription by RNA polym...",110,4,0.71,"0.00556"
"30","GO:0034654","nucleobase-containing compound biosynthe...",2195,24,14.12,"0.00617"
"31","GO:0006576","cellular biogenic amine metabolic proces...",70,3,0.45,"0.01038"
"32","GO:0044106","cellular amine metabolic process",70,3,0.45,"0.01038"
"33","GO:0042180","cellular ketone metabolic process",25,2,0.16,"0.01117"
"34","GO:0006596","polyamine biosynthetic process",26,2,0.17,"0.01205"
"35","GO:0007093","mitotic cell cycle checkpoint",2,1,0.01,"0.01282"
"36","GO:0007094","mitotic spindle assembly checkpoint",2,1,0.01,"0.01282"
"37","GO:0010948","negative regulation of cell cycle proces...",2,1,0.01,"0.01282"
"38","GO:0031577","spindle checkpoint",2,1,0.01,"0.01282"
"39","GO:0033046","negative regulation of sister chromatid ...",2,1,0.01,"0.01282"
"40","GO:0033048","negative regulation of mitotic sister ch...",2,1,0.01,"0.01282"
