"","GO.ID","Term","Annotated","Significant","Expected","classic"
"1","GO:0006952","defense response",114,9,0.73,"4.7e-08"
"2","GO:0009690","cytokinin metabolic process",16,2,0.1,"0.0046"
"3","GO:0034754","cellular hormone metabolic process",16,2,0.1,"0.0046"
"4","GO:0010817","regulation of hormone levels",18,2,0.11,"0.0058"
"5","GO:0042445","hormone metabolic process",18,2,0.11,"0.0058"
"6","GO:0009737","response to abscisic acid",19,2,0.12,"0.0064"
"7","GO:0009738","abscisic acid-activated signaling pathwa...",19,2,0.12,"0.0064"
"8","GO:0071215","cellular response to abscisic acid stimu...",19,2,0.12,"0.0064"
"9","GO:0071229","cellular response to acid chemical",19,2,0.12,"0.0064"
"10","GO:0097305","response to alcohol",19,2,0.12,"0.0064"
"11","GO:0097306","cellular response to alcohol",19,2,0.12,"0.0064"
"12","GO:0033993","response to lipid",21,2,0.13,"0.0078"
"13","GO:0071396","cellular response to lipid",21,2,0.13,"0.0078"
"14","GO:0009755","hormone-mediated signaling pathway",22,2,0.14,"0.0086"
"15","GO:0032870","cellular response to hormone stimulus",22,2,0.14,"0.0086"
"16","GO:0071310","cellular response to organic substance",22,2,0.14,"0.0086"
"17","GO:0071495","cellular response to endogenous stimulus",22,2,0.14,"0.0086"
"18","GO:0006633","fatty acid biosynthetic process",133,4,0.85,"0.0104"
"19","GO:0006629","lipid metabolic process",895,12,5.71,"0.0118"
"20","GO:0007009","plasma membrane organization",2,1,0.01,"0.0127"
"21","GO:0017121","phospholipid scrambling",2,1,0.01,"0.0127"
"22","GO:0097035","regulation of membrane lipid distributio...",2,1,0.01,"0.0127"
"23","GO:0006950","response to stress",705,10,4.5,"0.0147"
"24","GO:0044255","cellular lipid metabolic process",522,8,3.33,"0.0187"
"25","GO:0006631","fatty acid metabolic process",159,4,1.01,"0.0189"
"26","GO:1901701","cellular response to oxygen-containing c...",34,2,0.22,"0.0198"
"27","GO:0070887","cellular response to chemical stimulus",35,2,0.22,"0.0209"
"28","GO:0001101","response to acid chemical",37,2,0.24,"0.0232"
"29","GO:0016093","polyprenol metabolic process",4,1,0.03,"0.0253"
"30","GO:0019348","dolichol metabolic process",4,1,0.03,"0.0253"
"31","GO:0009308","amine metabolic process",102,3,0.65,"0.0275"
"32","GO:0006869","lipid transport",119,3,0.76,"0.0406"
"33","GO:1901700","response to oxygen-containing compound",52,2,0.33,"0.0435"
"34","GO:0010876","lipid localization",126,3,0.8,"0.0468"
"35","GO:0050896","response to stimulus",1373,14,8.76,"0.0543"
"36","GO:0006370","7-methylguanosine mRNA capping",9,1,0.06,"0.0560"
"37","GO:0009719","response to endogenous stimulus",235,4,1.5,"0.0637"
"38","GO:0009725","response to hormone",235,4,1.5,"0.0637"
"39","GO:0010033","response to organic substance",238,4,1.52,"0.0660"
"40","GO:0030258","lipid modification",70,2,0.45,"0.0736"
