"","GO.ID","Term","Annotated","Significant","Expected","classic"
"1","GO:0006396","RNA processing",530,25,1.94,"1.0e-21"
"2","GO:0042254","ribosome biogenesis",140,16,0.51,"4.4e-20"
"3","GO:0034470","ncRNA processing",224,18,0.82,"1.0e-19"
"4","GO:0022613","ribonucleoprotein complex biogenesis",171,16,0.62,"1.2e-18"
"5","GO:0034660","ncRNA metabolic process",366,18,1.34,"6.4e-16"
"6","GO:0044085","cellular component biogenesis",501,19,1.83,"1.0e-14"
"7","GO:0016072","rRNA metabolic process",99,11,0.36,"6.4e-14"
"8","GO:0016070","RNA metabolic process",2570,34,9.39,"9.6e-13"
"9","GO:0006364","rRNA processing",91,10,0.33,"1.1e-12"
"10","GO:0090304","nucleic acid metabolic process",3078,36,11.24,"5.3e-12"
"11","GO:0006139","nucleobase-containing compound metabolic...",3641,38,13.3,"2.9e-11"
"12","GO:0071840","cellular component organization or bioge...",1032,21,3.77,"5.0e-11"
"13","GO:0046483","heterocycle metabolic process",3889,38,14.2,"2.2e-10"
"14","GO:0006725","cellular aromatic compound metabolic pro...",3944,38,14.4,"3.4e-10"
"15","GO:1901360","organic cyclic compound metabolic proces...",4015,38,14.66,"5.9e-10"
"16","GO:0034641","cellular nitrogen compound metabolic pro...",4809,41,17.56,"1.7e-09"
"17","GO:0010467","gene expression",3456,33,12.62,"1.7e-08"
"18","GO:0009451","RNA modification",131,8,0.48,"2.5e-08"
"19","GO:0008033","tRNA processing",131,7,0.48,"4.9e-07"
"20","GO:0006807","nitrogen compound metabolic process",8977,51,32.78,"4.8e-06"
"21","GO:0032259","methylation",125,6,0.46,"6.3e-06"
"22","GO:0006177","GMP biosynthetic process",2,2,0.01,"1.3e-05"
"23","GO:0046037","GMP metabolic process",2,2,0.01,"1.3e-05"
"24","GO:0043170","macromolecule metabolic process",7921,46,28.93,"2.2e-05"
"25","GO:0002098","tRNA wobble uridine modification",16,3,0.06,"2.5e-05"
"26","GO:0002097","tRNA wobble base modification",20,3,0.07,"5.1e-05"
"27","GO:0006399","tRNA metabolic process",269,7,0.98,"5.5e-05"
"28","GO:0006400","tRNA modification",65,4,0.24,"9.3e-05"
"29","GO:0009987","cellular process",11364,56,41.5,"9.7e-05"
"30","GO:0051726","regulation of cell cycle",37,3,0.14,"0.00033"
"31","GO:0044237","cellular metabolic process",9563,49,34.92,"0.00035"
"32","GO:0048519","negative regulation of biological proces...",92,4,0.34,"0.00036"
"33","GO:0043414","macromolecule methylation",94,4,0.34,"0.00039"
"34","GO:0001522","pseudouridine synthesis",43,3,0.16,"0.00052"
"35","GO:0090501","RNA phosphodiester bond hydrolysis",13,2,0.05,"0.00100"
"36","GO:0006334","nucleosome assembly",54,3,0.2,"0.00101"
"37","GO:0031497","chromatin assembly",54,3,0.2,"0.00101"
"38","GO:0034728","nucleosome organization",56,3,0.2,"0.00112"
"39","GO:0006323","DNA packaging",58,3,0.21,"0.00124"
"40","GO:0006333","chromatin assembly or disassembly",59,3,0.22,"0.00131"
