"","GO.ID","Term","Annotated","Significant","Expected","classic"
"1","GO:0009790","embryo development",15,3,0.04,"9.0e-06"
"2","GO:0009793","embryo development ending in seed dorman...",15,3,0.04,"9.0e-06"
"3","GO:0010154","fruit development",15,3,0.04,"9.0e-06"
"4","GO:0048316","seed development",15,3,0.04,"9.0e-06"
"5","GO:0003006","developmental process involved in reprod...",21,3,0.06,"2.6e-05"
"6","GO:0048608","reproductive structure development",21,3,0.06,"2.6e-05"
"7","GO:0048731","system development",21,3,0.06,"2.6e-05"
"8","GO:0061458","reproductive system development",21,3,0.06,"2.6e-05"
"9","GO:0009791","post-embryonic development",22,3,0.06,"3.0e-05"
"10","GO:0006777","Mo-molybdopterin cofactor biosynthetic p...",9,2,0.03,"0.00027"
"11","GO:0019720","Mo-molybdopterin cofactor metabolic proc...",9,2,0.03,"0.00027"
"12","GO:0043545","molybdopterin cofactor metabolic process",9,2,0.03,"0.00027"
"13","GO:0051189","prosthetic group metabolic process",9,2,0.03,"0.00027"
"14","GO:0007275","multicellular organism development",63,3,0.18,"0.00071"
"15","GO:0032502","developmental process",77,3,0.21,"0.00128"
"16","GO:0048856","anatomical structure development",77,3,0.21,"0.00128"
"17","GO:0101030","tRNA-guanine transglycosylation",2,1,0.01,"0.00555"
"18","GO:0006021","inositol biosynthetic process",4,1,0.01,"0.01107"
"19","GO:0000003","reproduction",175,3,0.49,"0.01271"
"20","GO:0022414","reproductive process",175,3,0.49,"0.01271"
"21","GO:0032501","multicellular organismal process",185,3,0.51,"0.01474"
"22","GO:0006471","protein ADP-ribosylation",8,1,0.02,"0.02203"
"23","GO:0005975","carbohydrate metabolic process",1299,8,3.61,"0.02589"
"24","GO:0009108","coenzyme biosynthetic process",239,3,0.66,"0.02875"
"25","GO:0046173","polyol biosynthetic process",12,1,0.03,"0.03286"
"26","GO:0090407","organophosphate biosynthetic process",439,4,1.22,"0.03342"
"27","GO:0006020","inositol metabolic process",13,1,0.04,"0.03555"
"28","GO:0009435","NAD biosynthetic process",14,1,0.04,"0.03823"
"29","GO:0006012","galactose metabolic process",17,1,0.05,"0.04624"
"30","GO:0006914","autophagy",17,1,0.05,"0.04624"
"31","GO:0061919","process utilizing autophagic mechanism",17,1,0.05,"0.04624"
"32","GO:0051188","cofactor biosynthetic process",289,3,0.8,"0.04629"
"33","GO:0006732","coenzyme metabolic process",308,3,0.86,"0.05407"
"34","GO:0019674","NAD metabolic process",25,1,0.07,"0.06727"
"35","GO:0046165","alcohol biosynthetic process",26,1,0.07,"0.06986"
"36","GO:1901617","organic hydroxy compound biosynthetic pr...",37,1,0.1,"0.09796"
"37","GO:0019751","polyol metabolic process",40,1,0.11,"0.10548"
"38","GO:0019637","organophosphate metabolic process",689,4,1.92,"0.12401"
"39","GO:0006099","tricarboxylic acid cycle",48,1,0.13,"0.12522"
"40","GO:0006101","citrate metabolic process",48,1,0.13,"0.12522"
