"","GO.ID","Term","Annotated","Significant","Expected","classic"
"1","GO:0006457","protein folding",210,9,0.46,"5.7e-10"
"2","GO:0009266","response to temperature stimulus",19,2,0.04,"0.00077"
"3","GO:0009408","response to heat",19,2,0.04,"0.00077"
"4","GO:0000375","RNA splicing, via transesterification re...",86,3,0.19,"0.00087"
"5","GO:0000377","RNA splicing, via transesterification re...",86,3,0.19,"0.00087"
"6","GO:0000398","mRNA splicing, via spliceosome",86,3,0.19,"0.00087"
"7","GO:0008380","RNA splicing",106,3,0.23,"0.00159"
"8","GO:0017003","protein-heme linkage",1,1,0,"0.00218"
"9","GO:0015931","nucleobase-containing compound transport",40,2,0.09,"0.00343"
"10","GO:0006397","mRNA processing",156,3,0.34,"0.00473"
"11","GO:0009628","response to abiotic stimulus",56,2,0.12,"0.00663"
"12","GO:0016071","mRNA metabolic process",184,3,0.4,"0.00747"
"13","GO:0036265","RNA (guanine-N7)-methylation",4,1,0.01,"0.00869"
"14","GO:0070476","rRNA (guanine-N7)-methylation",4,1,0.01,"0.00869"
"15","GO:0042256","mature ribosome assembly",5,1,0.01,"0.01085"
"16","GO:0006413","translational initiation",75,2,0.16,"0.01163"
"17","GO:0006403","RNA localization",6,1,0.01,"0.01301"
"18","GO:0006405","RNA export from nucleus",6,1,0.01,"0.01301"
"19","GO:0006406","mRNA export from nucleus",6,1,0.01,"0.01301"
"20","GO:0006611","protein export from nucleus",6,1,0.01,"0.01301"
"21","GO:0050657","nucleic acid transport",6,1,0.01,"0.01301"
"22","GO:0050658","RNA transport",6,1,0.01,"0.01301"
"23","GO:0051028","mRNA transport",6,1,0.01,"0.01301"
"24","GO:0051168","nuclear export",6,1,0.01,"0.01301"
"25","GO:0051236","establishment of RNA localization",6,1,0.01,"0.01301"
"26","GO:0071166","ribonucleoprotein complex localization",6,1,0.01,"0.01301"
"27","GO:0071426","ribonucleoprotein complex export from nu...",6,1,0.01,"0.01301"
"28","GO:0071427","mRNA-containing ribonucleoprotein comple...",6,1,0.01,"0.01301"
"29","GO:0031503","protein-containing complex localization",7,1,0.02,"0.01516"
"30","GO:0017006","protein-tetrapyrrole linkage",8,1,0.02,"0.01731"
"31","GO:0070475","rRNA base methylation",8,1,0.02,"0.01731"
"32","GO:0016070","RNA metabolic process",2570,11,5.6,"0.01873"
"33","GO:0006426","glycyl-tRNA aminoacylation",9,1,0.02,"0.01946"
"34","GO:0031167","rRNA methylation",9,1,0.02,"0.01946"
"35","GO:0042255","ribosome assembly",9,1,0.02,"0.01946"
"36","GO:0015858","nucleoside transport",12,1,0.03,"0.02586"
"37","GO:1901642","nucleoside transmembrane transport",12,1,0.03,"0.02586"
"38","GO:0010467","gene expression",3456,13,7.53,"0.02768"
"39","GO:0006396","RNA processing",530,4,1.16,"0.02770"
"40","GO:0000154","rRNA modification",15,1,0.03,"0.03222"
