"","GO.ID","Term","Annotated","Significant","Expected","classic"
"1","GO:0043043","peptide biosynthetic process",1585,503,193.25,"< 1e-30"
"2","GO:0006412","translation",1578,501,192.4,"< 1e-30"
"3","GO:0043604","amide biosynthetic process",1687,522,205.69,"< 1e-30"
"4","GO:0006518","peptide metabolic process",1636,505,199.47,"< 1e-30"
"5","GO:0043603","cellular amide metabolic process",1803,533,219.83,"< 1e-30"
"6","GO:1901566","organonitrogen compound biosynthetic pro...",3117,705,380.04,"< 1e-30"
"7","GO:0009059","macromolecule biosynthetic process",5951,1121,725.57,"< 1e-30"
"8","GO:0034645","cellular macromolecule biosynthetic proc...",5739,1086,699.72,"< 1e-30"
"9","GO:0007017","microtubule-based process",557,196,67.91,"< 1e-30"
"10","GO:0006996","organelle organization",2183,493,266.16,"< 1e-30"
"11","GO:0044249","cellular biosynthetic process",7955,1340,969.9,"< 1e-30"
"12","GO:1901576","organic substance biosynthetic process",8134,1359,991.73,"< 1e-30"
"13","GO:0009058","biosynthetic process",8350,1380,1018.06,"< 1e-30"
"14","GO:0044267","cellular protein metabolic process",7729,1294,942.35,"< 1e-30"
"15","GO:0071840","cellular component organization or bioge...",3994,756,486.96,"< 1e-30"
"16","GO:0016043","cellular component organization",3671,701,447.58,"< 1e-30"
"17","GO:0044271","cellular nitrogen compound biosynthetic ...",6040,1032,736.42,"< 1e-30"
"18","GO:0007049","cell cycle",563,177,68.64,"< 1e-30"
"19","GO:0006260","DNA replication",307,117,37.43,"< 1e-30"
"20","GO:0010467","gene expression",6173,1035,752.64,"< 1e-30"
"21","GO:0007018","microtubule-based movement",169,82,20.61,"< 1e-30"
"22","GO:0006928","movement of cell or subcellular componen...",177,82,21.58,"2.7e-29"
"23","GO:0019538","protein metabolic process",9267,1442,1129.87,"5.7e-29"
"24","GO:0022402","cell cycle process",419,137,51.09,"1.7e-28"
"25","GO:0051276","chromosome organization",931,232,113.51,"2.8e-27"
"26","GO:0000278","mitotic cell cycle",242,95,29.51,"7.5e-27"
"27","GO:0000280","nuclear division",201,85,24.51,"7.6e-27"
"28","GO:1903047","mitotic cell cycle process",211,83,25.73,"1.0e-23"
"29","GO:0048285","organelle fission",238,86,29.02,"1.3e-21"
"30","GO:1901564","organonitrogen compound metabolic proces...",11095,1632,1352.74,"1.5e-21"
"31","GO:0051726","regulation of cell cycle",202,77,24.63,"4.0e-21"
"32","GO:0007059","chromosome segregation",169,68,20.61,"2.5e-20"
"33","GO:0007010","cytoskeleton organization",522,140,63.64,"6.1e-20"
"34","GO:0006270","DNA replication initiation",45,32,5.49,"7.4e-20"
"35","GO:0006261","DNA-dependent DNA replication",137,59,16.7,"1.5e-19"
"36","GO:0140014","mitotic nuclear division",98,46,11.95,"2.3e-17"
"37","GO:0006323","DNA packaging",94,43,11.46,"8.1e-16"
"38","GO:0000075","cell cycle checkpoint",43,27,5.24,"7.2e-15"
"39","GO:0000819","sister chromatid segregation",107,45,13.05,"8.3e-15"
"40","GO:0000070","mitotic sister chromatid segregation",81,38,9.88,"1.4e-14"
