"","GO.ID","Term","Annotated","Significant","Expected","classic"
"1","GO:0022900","electron transport chain",506,16,1.82,"5.0e-11"
"2","GO:0006120","mitochondrial electron transport, NADH t...",9,5,0.03,"6.9e-11"
"3","GO:0006091","generation of precursor metabolites and ...",922,20,3.31,"1.4e-10"
"4","GO:0042775","mitochondrial ATP synthesis coupled elec...",32,6,0.12,"1.6e-09"
"5","GO:0046034","ATP metabolic process",332,11,1.19,"3.7e-08"
"6","GO:0022904","respiratory electron transport chain",91,7,0.33,"4.2e-08"
"7","GO:1902600","proton transmembrane transport",354,11,1.27,"7.1e-08"
"8","GO:0009205","purine ribonucleoside triphosphate metab...",360,11,1.29,"8.4e-08"
"9","GO:0009144","purine nucleoside triphosphate metabolic...",361,11,1.3,"8.6e-08"
"10","GO:0009199","ribonucleoside triphosphate metabolic pr...",377,11,1.36,"1.3e-07"
"11","GO:0009123","nucleoside monophosphate metabolic proce...",475,12,1.71,"1.7e-07"
"12","GO:0009126","purine nucleoside monophosphate metaboli...",386,11,1.39,"1.7e-07"
"13","GO:0009167","purine ribonucleoside monophosphate meta...",386,11,1.39,"1.7e-07"
"14","GO:0009141","nucleoside triphosphate metabolic proces...",397,11,1.43,"2.2e-07"
"15","GO:0042773","ATP synthesis coupled electron transport",71,6,0.26,"2.3e-07"
"16","GO:0006119","oxidative phosphorylation",74,6,0.27,"2.9e-07"
"17","GO:0009161","ribonucleoside monophosphate metabolic p...",411,11,1.48,"3.2e-07"
"18","GO:0045333","cellular respiration",203,8,0.73,"7.8e-07"
"19","GO:0015672","monovalent inorganic cation transport",487,11,1.75,"1.7e-06"
"20","GO:0015980","energy derivation by oxidation of organi...",232,8,0.83,"2.1e-06"
"21","GO:0009150","purine ribonucleotide metabolic process",513,11,1.84,"2.7e-06"
"22","GO:0006163","purine nucleotide metabolic process",518,11,1.86,"3.0e-06"
"23","GO:0009259","ribonucleotide metabolic process",541,11,1.94,"4.5e-06"
"24","GO:0072521","purine-containing compound metabolic pro...",566,11,2.03,"6.9e-06"
"25","GO:0019693","ribose phosphate metabolic process",587,11,2.11,"9.7e-06"
"26","GO:0009117","nucleotide metabolic process",725,12,2.61,"1.3e-05"
"27","GO:0006753","nucleoside phosphate metabolic process",736,12,2.65,"1.5e-05"
"28","GO:1901135","carbohydrate derivative metabolic proces...",1146,15,4.12,"1.7e-05"
"29","GO:0098662","inorganic cation transmembrane transport",638,11,2.29,"2.1e-05"
"30","GO:0045184","establishment of protein localization",1109,14,3.99,"4.9e-05"
"31","GO:0098660","inorganic ion transmembrane transport",709,11,2.55,"5.4e-05"
"32","GO:0055086","nucleobase-containing small molecule met...",840,12,3.02,"5.5e-05"
"33","GO:0055114","oxidation-reduction process",4781,34,17.19,"6.3e-05"
"34","GO:0098655","cation transmembrane transport",745,11,2.68,"8.4e-05"
"35","GO:0008104","protein localization",1172,14,4.21,"8.8e-05"
"36","GO:0000413","protein peptidyl-prolyl isomerization",126,5,0.45,"9.6e-05"
"37","GO:0015031","protein transport",1076,13,3.87,"0.00014"
"38","GO:0018208","peptidyl-proline modification",147,5,0.53,"0.00020"
"39","GO:0015833","peptide transport",1134,13,4.08,"0.00024"
"40","GO:0042886","amide transport",1145,13,4.12,"0.00026"
