"","GO.ID","Term","Annotated","Significant","Expected","classic"
"1","GO:0010224","response to UV-B",51,3,0.09,"9.7e-05"
"2","GO:0009411","response to UV",72,3,0.12,"0.00027"
"3","GO:0042440","pigment metabolic process",169,3,0.29,"0.00319"
"4","GO:0016134","saponin metabolic process",2,1,0,"0.00346"
"5","GO:0016135","saponin biosynthetic process",2,1,0,"0.00346"
"6","GO:0016138","glycoside biosynthetic process",2,1,0,"0.00346"
"7","GO:0031848","protection from non-homologous end joini...",3,1,0.01,"0.00519"
"8","GO:0043247","telomere maintenance in response to DNA ...",3,1,0.01,"0.00519"
"9","GO:0015994","chlorophyll metabolic process",67,2,0.12,"0.00607"
"10","GO:0070647","protein modification by small protein co...",963,6,1.67,"0.00643"
"11","GO:0009416","response to light stimulus",431,4,0.75,"0.00669"
"12","GO:0016137","glycoside metabolic process",4,1,0.01,"0.00691"
"13","GO:1901564","organonitrogen compound metabolic proces...",11095,29,19.21,"0.00729"
"14","GO:0009314","response to radiation",448,4,0.78,"0.00765"
"15","GO:0001523","retinoid metabolic process",5,1,0.01,"0.00863"
"16","GO:0042572","retinol metabolic process",5,1,0.01,"0.00863"
"17","GO:0009073","aromatic amino acid family biosynthetic ...",84,2,0.15,"0.00940"
"18","GO:0009309","amine biosynthetic process",89,2,0.15,"0.01050"
"19","GO:0042401","cellular biogenic amine biosynthetic pro...",89,2,0.15,"0.01050"
"20","GO:0009052","pentose-phosphate shunt, non-oxidative b...",7,1,0.01,"0.01206"
"21","GO:0016233","telomere capping",7,1,0.01,"0.01206"
"22","GO:0016567","protein ubiquitination",799,5,1.38,"0.01249"
"23","GO:0032446","protein modification by small protein co...",829,5,1.44,"0.01444"
"24","GO:0006576","cellular biogenic amine metabolic proces...",106,2,0.18,"0.01464"
"25","GO:0006778","porphyrin-containing compound metabolic ...",107,2,0.19,"0.01490"
"26","GO:0009094","L-phenylalanine biosynthetic process",10,1,0.02,"0.01718"
"27","GO:0034308","primary alcohol metabolic process",10,1,0.02,"0.01718"
"28","GO:0045736","negative regulation of cyclin-dependent ...",10,1,0.02,"0.01718"
"29","GO:0071901","negative regulation of protein serine/th...",10,1,0.02,"0.01718"
"30","GO:1902223","erythrose 4-phosphate/phosphoenolpyruvat...",10,1,0.02,"0.01718"
"31","GO:1904030","negative regulation of cyclin-dependent ...",10,1,0.02,"0.01718"
"32","GO:0009072","aromatic amino acid family metabolic pro...",121,2,0.21,"0.01878"
"33","GO:0033013","tetrapyrrole metabolic process",121,2,0.21,"0.01878"
"34","GO:0007050","cell cycle arrest",11,1,0.02,"0.01889"
"35","GO:0044106","cellular amine metabolic process",124,2,0.21,"0.01966"
"36","GO:0045116","protein neddylation",12,1,0.02,"0.02059"
"37","GO:0006303","double-strand break repair via nonhomolo...",13,1,0.02,"0.02228"
"38","GO:0046148","pigment biosynthetic process",137,2,0.24,"0.02368"
"39","GO:0000726","non-recombinational repair",15,1,0.03,"0.02567"
"40","GO:0006469","negative regulation of protein kinase ac...",15,1,0.03,"0.02567"
