"","GO.ID","Term","Annotated","Significant","Expected","classic"
"1","GO:0071554","cell wall organization or biogenesis",965,27,2.46,"7.5e-21"
"2","GO:0071555","cell wall organization",778,24,1.98,"1.6e-19"
"3","GO:0045229","external encapsulating structure organiz...",786,24,2,"2.1e-19"
"4","GO:0045944","positive regulation of transcription by ...",189,7,0.48,"5.8e-07"
"5","GO:0016043","cellular component organization",3671,25,9.34,"3.7e-06"
"6","GO:0071840","cellular component organization or bioge...",3994,26,10.16,"5.1e-06"
"7","GO:0009891","positive regulation of biosynthetic proc...",389,8,0.99,"7.2e-06"
"8","GO:0045893","positive regulation of transcription, DN...",316,7,0.8,"1.7e-05"
"9","GO:1902680","positive regulation of RNA biosynthetic ...",340,7,0.87,"2.7e-05"
"10","GO:1903508","positive regulation of nucleic acid-temp...",340,7,0.87,"2.7e-05"
"11","GO:0051254","positive regulation of RNA metabolic pro...",341,7,0.87,"2.8e-05"
"12","GO:0006357","regulation of transcription by RNA polym...",362,7,0.92,"4.1e-05"
"13","GO:0010557","positive regulation of macromolecule bio...",362,7,0.92,"4.1e-05"
"14","GO:0045935","positive regulation of nucleobase-contai...",363,7,0.92,"4.1e-05"
"15","GO:0010628","positive regulation of gene expression",368,7,0.94,"4.5e-05"
"16","GO:0031328","positive regulation of cellular biosynth...",378,7,0.96,"5.3e-05"
"17","GO:0006366","transcription by RNA polymerase II",432,7,1.1,"0.00012"
"18","GO:0009893","positive regulation of metabolic process",629,8,1.6,"0.00021"
"19","GO:0051173","positive regulation of nitrogen compound...",566,7,1.44,"0.00062"
"20","GO:0005975","carbohydrate metabolic process",2036,14,5.18,"0.00064"
"21","GO:0048518","positive regulation of biological proces...",951,9,2.42,"0.00073"
"22","GO:0031325","positive regulation of cellular metaboli...",583,7,1.48,"0.00074"
"23","GO:0010604","positive regulation of macromolecule met...",588,7,1.5,"0.00078"
"24","GO:0048522","positive regulation of cellular process",783,8,1.99,"0.00089"
"25","GO:0006355","regulation of transcription, DNA-templat...",2885,17,7.34,"0.00093"
"26","GO:1903506","regulation of nucleic acid-templated tra...",2930,17,7.46,"0.00110"
"27","GO:2001141","regulation of RNA biosynthetic process",2930,17,7.46,"0.00110"
"28","GO:0044247","cellular polysaccharide catabolic proces...",80,3,0.2,"0.00114"
"29","GO:0051252","regulation of RNA metabolic process",2961,17,7.54,"0.00124"
"30","GO:2000112","regulation of cellular macromolecule bio...",3018,17,7.68,"0.00152"
"31","GO:0019219","regulation of nucleobase-containing comp...",3043,17,7.74,"0.00166"
"32","GO:0044275","cellular carbohydrate catabolic process",93,3,0.24,"0.00176"
"33","GO:0010556","regulation of macromolecule biosynthetic...",3063,17,7.8,"0.00178"
"34","GO:0034654","nucleobase-containing compound biosynthe...",4220,21,10.74,"0.00191"
"35","GO:0016052","carbohydrate catabolic process",509,6,1.3,"0.00195"
"36","GO:0032774","RNA biosynthetic process",3368,18,8.57,"0.00196"
"37","GO:0031326","regulation of cellular biosynthetic proc...",3117,17,7.93,"0.00214"
"38","GO:0000272","polysaccharide catabolic process",356,5,0.91,"0.00221"
"39","GO:0009889","regulation of biosynthetic process",3134,17,7.98,"0.00227"
"40","GO:1900384","regulation of flavonol biosynthetic proc...",1,1,0,"0.00254"
