"","GO.ID","Term","Annotated","Significant","Expected","classic"
"1","GO:0006457","protein folding",358,20,0.68,"3.4e-24"
"2","GO:0009408","response to heat",169,15,0.32,"2.5e-21"
"3","GO:0042542","response to hydrogen peroxide",45,10,0.09,"9.1e-19"
"4","GO:0009266","response to temperature stimulus",286,15,0.54,"7.3e-18"
"5","GO:0051259","protein complex oligomerization",69,10,0.13,"9.4e-17"
"6","GO:0046677","response to antibiotic",125,11,0.24,"7.7e-16"
"7","GO:0000302","response to reactive oxygen species",125,10,0.24,"4.5e-14"
"8","GO:0009651","response to salt stress",276,12,0.52,"1.7e-13"
"9","GO:0042493","response to drug",216,11,0.41,"3.3e-13"
"10","GO:0006970","response to osmotic stress",311,12,0.59,"7.0e-13"
"11","GO:0009644","response to high light intensity",31,6,0.06,"2.6e-11"
"12","GO:0009628","response to abiotic stimulus",1163,17,2.2,"4.3e-11"
"13","GO:0065003","protein-containing complex assembly",711,13,1.34,"7.7e-10"
"14","GO:0006979","response to oxidative stress",488,11,0.92,"2.0e-09"
"15","GO:0009642","response to light intensity",65,6,0.12,"2.8e-09"
"16","GO:0043933","protein-containing complex subunit organ...",836,13,1.58,"5.3e-09"
"17","GO:0010035","response to inorganic substance",450,10,0.85,"1.3e-08"
"18","GO:0022607","cellular component assembly",924,13,1.75,"1.7e-08"
"19","GO:0009636","response to toxic substance",489,10,0.92,"2.9e-08"
"20","GO:0006950","response to stress",2442,19,4.61,"8.7e-08"
"21","GO:1901700","response to oxygen-containing compound",903,12,1.71,"1.2e-07"
"22","GO:0044085","cellular component biogenesis",1383,13,2.61,"1.7e-06"
"23","GO:0050896","response to stimulus",4804,21,9.08,"0.00015"
"24","GO:0009416","response to light stimulus",431,6,0.81,"0.00017"
"25","GO:0009314","response to radiation",448,6,0.85,"0.00021"
"26","GO:0016043","cellular component organization",3671,17,6.93,"0.00039"
"27","GO:0042221","response to chemical",2060,12,3.89,"0.00045"
"28","GO:0000398","mRNA splicing, via spliceosome",218,4,0.41,"0.00079"
"29","GO:0071840","cellular component organization or bioge...",3994,17,7.54,"0.00103"
"30","GO:0000375","RNA splicing, via transesterification re...",240,4,0.45,"0.00113"
"31","GO:0000377","RNA splicing, via transesterification re...",240,4,0.45,"0.00113"
"32","GO:0032781","positive regulation of ATPase activity",27,2,0.05,"0.00120"
"33","GO:0043462","regulation of ATPase activity",28,2,0.05,"0.00129"
"34","GO:0006368","transcription elongation from RNA polyme...",29,2,0.05,"0.00138"
"35","GO:0034605","cellular response to heat",30,2,0.06,"0.00148"
"36","GO:0017003","protein-heme linkage",1,1,0,"0.00189"
"37","GO:0008380","RNA splicing",325,4,0.61,"0.00339"
"38","GO:0006354","DNA-templated transcription, elongation",47,2,0.09,"0.00360"
"39","GO:0016578","histone deubiquitination",2,1,0,"0.00377"
"40","GO:0009860","pollen tube growth",58,2,0.11,"0.00543"
