"","GO.ID","Term","Annotated","Significant","Expected","classic"
"1","GO:0006396","RNA processing",1149,58,11.85,"1.5e-23"
"2","GO:0034660","ncRNA metabolic process",636,41,6.56,"1.3e-20"
"3","GO:0010467","gene expression",6173,132,63.65,"1.5e-17"
"4","GO:0022613","ribonucleoprotein complex biogenesis",518,34,5.34,"1.6e-17"
"5","GO:0034470","ncRNA processing",451,31,4.65,"1.3e-16"
"6","GO:0042254","ribosome biogenesis",366,28,3.77,"2.6e-16"
"7","GO:0006364","rRNA processing",237,23,2.44,"7.6e-16"
"8","GO:0016072","rRNA metabolic process",239,23,2.46,"9.2e-16"
"9","GO:0016070","RNA metabolic process",5068,97,52.26,"7.5e-10"
"10","GO:0043603","cellular amide metabolic process",1803,48,18.59,"2.2e-09"
"11","GO:0043604","amide biosynthetic process",1687,46,17.39,"2.4e-09"
"12","GO:0006518","peptide metabolic process",1636,45,16.87,"2.8e-09"
"13","GO:0006412","translation",1578,44,16.27,"2.8e-09"
"14","GO:0043043","peptide biosynthetic process",1585,44,16.34,"3.2e-09"
"15","GO:0044085","cellular component biogenesis",1383,40,14.26,"5.7e-09"
"16","GO:1901566","organonitrogen compound biosynthetic pro...",3117,65,32.14,"4.2e-08"
"17","GO:0006413","translational initiation",342,17,3.53,"1.3e-07"
"18","GO:0006399","tRNA metabolic process",390,18,4.02,"1.6e-07"
"19","GO:0042273","ribosomal large subunit biogenesis",86,9,0.89,"2.7e-07"
"20","GO:0006397","mRNA processing",437,18,4.51,"8.6e-07"
"21","GO:0006414","translational elongation",196,12,2.02,"1.1e-06"
"22","GO:0034641","cellular nitrogen compound metabolic pro...",11920,166,122.91,"2.7e-06"
"23","GO:0043414","macromolecule methylation",381,16,3.93,"2.7e-06"
"24","GO:0051028","mRNA transport",63,7,0.65,"4.0e-06"
"25","GO:0006403","RNA localization",89,8,0.92,"4.1e-06"
"26","GO:0050657","nucleic acid transport",89,8,0.92,"4.1e-06"
"27","GO:0050658","RNA transport",89,8,0.92,"4.1e-06"
"28","GO:0051236","establishment of RNA localization",89,8,0.92,"4.1e-06"
"29","GO:0016071","mRNA metabolic process",542,19,5.59,"4.6e-06"
"30","GO:0002943","tRNA dihydrouridine synthesis",13,4,0.13,"7.4e-06"
"31","GO:0015931","nucleobase-containing compound transport",204,11,2.1,"1.0e-05"
"32","GO:0000463","maturation of LSU-rRNA from tricistronic...",19,4,0.2,"3.8e-05"
"33","GO:0000460","maturation of 5.8S rRNA",22,4,0.23,"7.0e-05"
"34","GO:0071840","cellular component organization or bioge...",3994,66,41.18,"8.3e-05"
"35","GO:0000470","maturation of LSU-rRNA",23,4,0.24,"8.4e-05"
"36","GO:0035246","peptidyl-arginine N-methylation",9,3,0.09,"8.7e-05"
"37","GO:0043484","regulation of RNA splicing",10,3,0.1,"0.00012"
"38","GO:0009451","RNA modification",320,12,3.3,"0.00014"
"39","GO:0018195","peptidyl-arginine modification",11,3,0.11,"0.00017"
"40","GO:0018216","peptidyl-arginine methylation",11,3,0.11,"0.00017"
