"","GO.ID","Term","Annotated","Significant","Expected","classic"
"1","GO:0045944","positive regulation of transcription by ...",189,21,0.93,"2.2e-22"
"2","GO:0045893","positive regulation of transcription, DN...",316,21,1.56,"1.0e-17"
"3","GO:1902680","positive regulation of RNA biosynthetic ...",340,21,1.68,"4.5e-17"
"4","GO:1903508","positive regulation of nucleic acid-temp...",340,21,1.68,"4.5e-17"
"5","GO:0051254","positive regulation of RNA metabolic pro...",341,21,1.68,"4.7e-17"
"6","GO:0006357","regulation of transcription by RNA polym...",362,21,1.79,"1.6e-16"
"7","GO:0010557","positive regulation of macromolecule bio...",362,21,1.79,"1.6e-16"
"8","GO:0045935","positive regulation of nucleobase-contai...",363,21,1.79,"1.7e-16"
"9","GO:0010628","positive regulation of gene expression",368,21,1.82,"2.2e-16"
"10","GO:0031328","positive regulation of cellular biosynth...",378,21,1.86,"3.8e-16"
"11","GO:0009891","positive regulation of biosynthetic proc...",389,21,1.92,"6.7e-16"
"12","GO:0006366","transcription by RNA polymerase II",432,21,2.13,"5.3e-15"
"13","GO:0051173","positive regulation of nitrogen compound...",566,22,2.79,"1.1e-13"
"14","GO:0031325","positive regulation of cellular metaboli...",583,22,2.88,"2.0e-13"
"15","GO:0010604","positive regulation of macromolecule met...",588,22,2.9,"2.3e-13"
"16","GO:0009893","positive regulation of metabolic process",629,22,3.1,"8.8e-13"
"17","GO:0048522","positive regulation of cellular process",783,23,3.86,"9.0e-12"
"18","GO:0048518","positive regulation of biological proces...",951,23,4.69,"4.1e-10"
"19","GO:0006355","regulation of transcription, DNA-templat...",2885,34,14.23,"1.8e-06"
"20","GO:1903506","regulation of nucleic acid-templated tra...",2930,34,14.45,"2.5e-06"
"21","GO:2001141","regulation of RNA biosynthetic process",2930,34,14.45,"2.5e-06"
"22","GO:0051252","regulation of RNA metabolic process",2961,34,14.61,"3.2e-06"
"23","GO:0006552","leucine catabolic process",7,3,0.03,"4.1e-06"
"24","GO:0051171","regulation of nitrogen compound metaboli...",3572,38,17.62,"4.6e-06"
"25","GO:2000112","regulation of cellular macromolecule bio...",3018,34,14.89,"4.8e-06"
"26","GO:0019219","regulation of nucleobase-containing comp...",3043,34,15.01,"5.7e-06"
"27","GO:0010556","regulation of macromolecule biosynthetic...",3063,34,15.11,"6.6e-06"
"28","GO:0080090","regulation of primary metabolic process",3633,38,17.92,"6.8e-06"
"29","GO:0031323","regulation of cellular metabolic process",3670,38,18.1,"8.6e-06"
"30","GO:0031326","regulation of cellular biosynthetic proc...",3117,34,15.37,"9.5e-06"
"31","GO:0009889","regulation of biosynthetic process",3134,34,15.46,"1.1e-05"
"32","GO:0009083","branched-chain amino acid catabolic proc...",10,3,0.05,"1.4e-05"
"33","GO:1901362","organic cyclic compound biosynthetic pro...",4672,44,23.04,"1.6e-05"
"34","GO:0006351","transcription, DNA-templated",3199,34,15.78,"1.6e-05"
"35","GO:0018130","heterocycle biosynthetic process",4527,43,22.33,"1.7e-05"
"36","GO:0032774","RNA biosynthetic process",3368,35,16.61,"1.9e-05"
"37","GO:0010023","proanthocyanidin biosynthetic process",2,2,0.01,"2.4e-05"
"38","GO:0060255","regulation of macromolecule metabolic pr...",3847,38,18.98,"2.5e-05"
"39","GO:0097659","nucleic acid-templated transcription",3270,34,16.13,"2.6e-05"
"40","GO:0010468","regulation of gene expression",3306,34,16.31,"3.2e-05"
