"","GO.ID","Term","Annotated","Significant","Expected","classic"
"1","GO:0045333","cellular respiration",203,15,1.39,"1.3e-11"
"2","GO:0015980","energy derivation by oxidation of organi...",232,15,1.59,"8.9e-11"
"3","GO:0006099","tricarboxylic acid cycle",101,10,0.69,"2.1e-09"
"4","GO:0006101","citrate metabolic process",101,10,0.69,"2.1e-09"
"5","GO:0072350","tricarboxylic acid metabolic process",104,10,0.71,"2.8e-09"
"6","GO:0009060","aerobic respiration",121,10,0.83,"1.2e-08"
"7","GO:0006122","mitochondrial electron transport, ubiqui...",18,5,0.12,"1.2e-07"
"8","GO:0006457","protein folding",358,14,2.45,"2.2e-07"
"9","GO:0006091","generation of precursor metabolites and ...",922,22,6.31,"4.9e-07"
"10","GO:0042775","mitochondrial ATP synthesis coupled elec...",32,5,0.22,"2.5e-06"
"11","GO:0045184","establishment of protein localization",1109,23,7.59,"2.9e-06"
"12","GO:0008104","protein localization",1172,23,8.03,"7.0e-06"
"13","GO:0009150","purine ribonucleotide metabolic process",513,14,3.51,"1.4e-05"
"14","GO:1901135","carbohydrate derivative metabolic proces...",1146,22,7.85,"1.6e-05"
"15","GO:0006163","purine nucleotide metabolic process",518,14,3.55,"1.6e-05"
"16","GO:0046034","ATP metabolic process",332,11,2.27,"2.1e-05"
"17","GO:0009259","ribonucleotide metabolic process",541,14,3.7,"2.6e-05"
"18","GO:0009123","nucleoside monophosphate metabolic proce...",475,13,3.25,"2.8e-05"
"19","GO:0017144","drug metabolic process",1283,23,8.79,"2.9e-05"
"20","GO:0072521","purine-containing compound metabolic pro...",566,14,3.88,"4.2e-05"
"21","GO:0009205","purine ribonucleoside triphosphate metab...",360,11,2.47,"4.4e-05"
"22","GO:0009144","purine nucleoside triphosphate metabolic...",361,11,2.47,"4.5e-05"
"23","GO:0009117","nucleotide metabolic process",725,16,4.96,"4.7e-05"
"24","GO:0019752","carboxylic acid metabolic process",1516,25,10.38,"5.1e-05"
"25","GO:0034613","cellular protein localization",815,17,5.58,"5.4e-05"
"26","GO:0070727","cellular macromolecule localization",815,17,5.58,"5.4e-05"
"27","GO:0033036","macromolecule localization",1430,24,9.79,"5.5e-05"
"28","GO:0006753","nucleoside phosphate metabolic process",736,16,5.04,"5.6e-05"
"29","GO:0015031","protein transport",1076,20,7.37,"6.0e-05"
"30","GO:0019693","ribose phosphate metabolic process",587,14,4.02,"6.2e-05"
"31","GO:0009199","ribonucleoside triphosphate metabolic pr...",377,11,2.58,"6.6e-05"
"32","GO:0055086","nucleobase-containing small molecule met...",840,17,5.75,"7.9e-05"
"33","GO:0043436","oxoacid metabolic process",1560,25,10.68,"8.0e-05"
"34","GO:0009126","purine nucleoside monophosphate metaboli...",386,11,2.64,"8.1e-05"
"35","GO:0009167","purine ribonucleoside monophosphate meta...",386,11,2.64,"8.1e-05"
"36","GO:0006082","organic acid metabolic process",1564,25,10.71,"8.4e-05"
"37","GO:0009141","nucleoside triphosphate metabolic proces...",397,11,2.72,"0.00010"
"38","GO:0044281","small molecule metabolic process",2614,35,17.9,"0.00011"
"39","GO:0015833","peptide transport",1134,20,7.77,"0.00012"
"40","GO:0042773","ATP synthesis coupled electron transport",71,5,0.49,"0.00013"
