"","GO.ID","Term","Annotated","Significant","Expected","classic"
"1","GO:0046034","ATP metabolic process",332,24,4.86,"2.0e-10"
"2","GO:0009199","ribonucleoside triphosphate metabolic pr...",377,25,5.52,"5.0e-10"
"3","GO:0015985","energy coupled proton transport, down el...",110,14,1.61,"9.0e-10"
"4","GO:0015986","ATP synthesis coupled proton transport",110,14,1.61,"9.0e-10"
"5","GO:1901566","organonitrogen compound biosynthetic pro...",3117,89,45.63,"9.5e-10"
"6","GO:0009205","purine ribonucleoside triphosphate metab...",360,24,5.27,"1.0e-09"
"7","GO:0009144","purine nucleoside triphosphate metabolic...",361,24,5.29,"1.1e-09"
"8","GO:0009141","nucleoside triphosphate metabolic proces...",397,25,5.81,"1.4e-09"
"9","GO:0009126","purine nucleoside monophosphate metaboli...",386,24,5.65,"3.9e-09"
"10","GO:0009167","purine ribonucleoside monophosphate meta...",386,24,5.65,"3.9e-09"
"11","GO:0017144","drug metabolic process",1283,48,18.78,"4.0e-09"
"12","GO:0019693","ribose phosphate metabolic process",587,30,8.59,"4.6e-09"
"13","GO:0009259","ribonucleotide metabolic process",541,28,7.92,"1.1e-08"
"14","GO:0009161","ribonucleoside monophosphate metabolic p...",411,24,6.02,"1.3e-08"
"15","GO:0009150","purine ribonucleotide metabolic process",513,27,7.51,"1.5e-08"
"16","GO:0006163","purine nucleotide metabolic process",518,27,7.58,"1.8e-08"
"17","GO:0072521","purine-containing compound metabolic pro...",566,28,8.29,"3.0e-08"
"18","GO:1902600","proton transmembrane transport",354,21,5.18,"8.2e-08"
"19","GO:0098662","inorganic cation transmembrane transport",638,29,9.34,"1.0e-07"
"20","GO:0009123","nucleoside monophosphate metabolic proce...",475,24,6.95,"2.0e-07"
"21","GO:0006812","cation transport",939,36,13.75,"2.1e-07"
"22","GO:0015672","monovalent inorganic cation transport",487,24,7.13,"3.1e-07"
"23","GO:0009117","nucleotide metabolic process",725,30,10.61,"4.6e-07"
"24","GO:0006753","nucleoside phosphate metabolic process",736,30,10.78,"6.3e-07"
"25","GO:0043603","cellular amide metabolic process",1803,54,26.4,"6.3e-07"
"26","GO:0006412","translation",1578,49,23.1,"7.8e-07"
"27","GO:0098655","cation transmembrane transport",745,30,10.91,"8.0e-07"
"28","GO:0043043","peptide biosynthetic process",1585,49,23.2,"8.9e-07"
"29","GO:0098660","inorganic ion transmembrane transport",709,29,10.38,"9.0e-07"
"30","GO:0006518","peptide metabolic process",1636,50,23.95,"9.5e-07"
"31","GO:0043604","amide biosynthetic process",1687,51,24.7,"1.0e-06"
"32","GO:0022900","electron transport chain",506,23,7.41,"2.2e-06"
"33","GO:0044271","cellular nitrogen compound biosynthetic ...",6040,130,88.43,"2.5e-06"
"34","GO:1901135","carbohydrate derivative metabolic proces...",1146,38,16.78,"3.2e-06"
"35","GO:0055086","nucleobase-containing small molecule met...",840,31,12.3,"3.2e-06"
"36","GO:0019637","organophosphate metabolic process",1195,39,17.5,"3.4e-06"
"37","GO:0006754","ATP biosynthetic process",246,15,3.6,"4.1e-06"
"38","GO:0009201","ribonucleoside triphosphate biosynthetic...",289,16,4.23,"6.8e-06"
"39","GO:0009142","nucleoside triphosphate biosynthetic pro...",292,16,4.27,"7.8e-06"
"40","GO:0022904","respiratory electron transport chain",91,9,1.33,"7.8e-06"
