"","GO.ID","Term","Annotated","Significant","Expected","classic"
"1","GO:1902600","proton transmembrane transport",354,26,2.89,"2.9e-17"
"2","GO:0045184","establishment of protein localization",1109,42,9.05,"1.6e-16"
"3","GO:0008104","protein localization",1172,42,9.56,"1.1e-15"
"4","GO:0015031","protein transport",1076,40,8.78,"1.6e-15"
"5","GO:0015833","peptide transport",1134,40,9.25,"9.1e-15"
"6","GO:0042886","amide transport",1145,40,9.34,"1.2e-14"
"7","GO:0033036","macromolecule localization",1430,44,11.67,"4.5e-14"
"8","GO:0015672","monovalent inorganic cation transport",487,26,3.97,"5.8e-14"
"9","GO:0071705","nitrogen compound transport",1367,41,11.15,"8.2e-13"
"10","GO:0051234","establishment of localization",4656,84,37.99,"1.1e-12"
"11","GO:0009126","purine nucleoside monophosphate metaboli...",386,22,3.15,"1.5e-12"
"12","GO:0009167","purine ribonucleoside monophosphate meta...",386,22,3.15,"1.5e-12"
"13","GO:0051179","localization",4726,84,38.56,"2.4e-12"
"14","GO:0006810","transport",4569,82,37.28,"3.0e-12"
"15","GO:0009205","purine ribonucleoside triphosphate metab...",360,21,2.94,"3.1e-12"
"16","GO:0009144","purine nucleoside triphosphate metabolic...",361,21,2.95,"3.2e-12"
"17","GO:0098662","inorganic cation transmembrane transport",638,27,5.21,"4.4e-12"
"18","GO:0009161","ribonucleoside monophosphate metabolic p...",411,22,3.35,"5.0e-12"
"19","GO:0046034","ATP metabolic process",332,20,2.71,"5.7e-12"
"20","GO:0009199","ribonucleoside triphosphate metabolic pr...",377,21,3.08,"7.4e-12"
"21","GO:0034613","cellular protein localization",815,30,6.65,"8.8e-12"
"22","GO:0070727","cellular macromolecule localization",815,30,6.65,"8.8e-12"
"23","GO:0051641","cellular localization",1103,35,9,"9.5e-12"
"24","GO:0009141","nucleoside triphosphate metabolic proces...",397,21,3.24,"1.9e-11"
"25","GO:0006091","generation of precursor metabolites and ...",922,31,7.52,"3.8e-11"
"26","GO:0046907","intracellular transport",923,31,7.53,"3.9e-11"
"27","GO:0098660","inorganic ion transmembrane transport",709,27,5.79,"4.8e-11"
"28","GO:0009150","purine ribonucleotide metabolic process",513,23,4.19,"5.8e-11"
"29","GO:0072521","purine-containing compound metabolic pro...",566,24,4.62,"6.8e-11"
"30","GO:0006163","purine nucleotide metabolic process",518,23,4.23,"7.0e-11"
"31","GO:0009123","nucleoside monophosphate metabolic proce...",475,22,3.88,"8.2e-11"
"32","GO:0098655","cation transmembrane transport",745,27,6.08,"1.4e-10"
"33","GO:0009259","ribonucleotide metabolic process",541,23,4.41,"1.6e-10"
"34","GO:0051649","establishment of localization in cell",984,31,8.03,"1.9e-10"
"35","GO:0006886","intracellular protein transport",722,26,5.89,"3.7e-10"
"36","GO:0034220","ion transmembrane transport",965,30,7.87,"5.1e-10"
"37","GO:0071702","organic substance transport",1849,43,15.09,"7.1e-10"
"38","GO:0019693","ribose phosphate metabolic process",587,23,4.79,"7.9e-10"
"39","GO:0015985","energy coupled proton transport, down el...",110,11,0.9,"1.9e-09"
"40","GO:0015986","ATP synthesis coupled proton transport",110,11,0.9,"1.9e-09"
