"","GO.ID","Term","Annotated","Significant","Expected","classic"
"1","GO:0006464","cellular protein modification process",5778,1068,783.61,"1.6e-30"
"2","GO:0036211","protein modification process",5778,1068,783.61,"1.6e-30"
"3","GO:0043412","macromolecule modification",6140,1122,832.7,"3.4e-30"
"4","GO:0006468","protein phosphorylation",2846,584,385.97,"9.7e-27"
"5","GO:0050789","regulation of biological process",6129,1069,831.21,"3.0e-21"
"6","GO:0016310","phosphorylation",4106,754,556.85,"3.2e-20"
"7","GO:0050794","regulation of cellular process",5500,965,745.91,"8.6e-20"
"8","GO:0065007","biological regulation",7018,1187,951.78,"4.5e-19"
"9","GO:0019222","regulation of metabolic process",4004,727,543.02,"3.0e-18"
"10","GO:0070647","protein modification by small protein co...",963,229,130.6,"3.5e-18"
"11","GO:0007154","cell communication",1865,381,252.93,"3.0e-17"
"12","GO:0010468","regulation of gene expression",3306,610,448.36,"9.2e-17"
"13","GO:0044267","cellular protein metabolic process",7729,1274,1048.2,"1.1e-16"
"14","GO:0060255","regulation of macromolecule metabolic pr...",3847,693,521.73,"1.4e-16"
"15","GO:0031323","regulation of cellular metabolic process",3670,656,497.72,"5.5e-15"
"16","GO:0032446","protein modification by small protein co...",829,193,112.43,"1.4e-14"
"17","GO:0016567","protein ubiquitination",799,187,108.36,"2.2e-14"
"18","GO:0006796","phosphate-containing compound metabolic ...",5965,997,808.97,"2.3e-14"
"19","GO:0006793","phosphorus metabolic process",5992,999,812.63,"4.3e-14"
"20","GO:0009889","regulation of biosynthetic process",3134,563,425.03,"2.6e-13"
"21","GO:0031326","regulation of cellular biosynthetic proc...",3117,560,422.73,"3.0e-13"
"22","GO:0051252","regulation of RNA metabolic process",2961,535,401.57,"4.1e-13"
"23","GO:0051171","regulation of nitrogen compound metaboli...",3572,629,484.43,"4.2e-13"
"24","GO:0080090","regulation of primary metabolic process",3633,638,492.71,"4.7e-13"
"25","GO:1903506","regulation of nucleic acid-templated tra...",2930,529,397.37,"6.4e-13"
"26","GO:2001141","regulation of RNA biosynthetic process",2930,529,397.37,"6.4e-13"
"27","GO:0006351","transcription, DNA-templated",3199,570,433.85,"7.9e-13"
"28","GO:0006355","regulation of transcription, DNA-templat...",2885,521,391.26,"9.4e-13"
"29","GO:0097659","nucleic acid-templated transcription",3270,580,443.48,"1.1e-12"
"30","GO:0010556","regulation of macromolecule biosynthetic...",3063,547,415.4,"1.7e-12"
"31","GO:0032774","RNA biosynthetic process",3368,593,456.77,"2.2e-12"
"32","GO:2000112","regulation of cellular macromolecule bio...",3018,539,409.3,"2.4e-12"
"33","GO:0019219","regulation of nucleobase-containing comp...",3043,541,412.69,"4.8e-12"
"34","GO:0033036","macromolecule localization",1430,284,193.94,"1.1e-11"
"35","GO:0007165","signal transduction",1598,311,216.72,"1.3e-11"
"36","GO:1901564","organonitrogen compound metabolic proces...",11095,1708,1504.7,"1.9e-11"
"37","GO:0023052","signaling",1621,312,219.84,"4.6e-11"
"38","GO:0019538","protein metabolic process",9267,1445,1256.79,"5.2e-11"
"39","GO:0051179","localization",4726,782,640.94,"2.3e-10"
"40","GO:0071705","nitrogen compound transport",1367,266,185.39,"4.2e-10"
