"","GO.ID","Term","Annotated","Significant","Expected","classic"
"1","GO:0010165","response to X-ray",2,2,0,"7.3e-07"
"2","GO:0071481","cellular response to X-ray",2,2,0,"7.3e-07"
"3","GO:0071480","cellular response to gamma radiation",4,2,0,"4.4e-06"
"4","GO:0071479","cellular response to ionizing radiation",6,2,0.01,"1.1e-05"
"5","GO:0010332","response to gamma radiation",7,2,0.01,"1.5e-05"
"6","GO:0010212","response to ionizing radiation",12,2,0.01,"4.8e-05"
"7","GO:0006303","double-strand break repair via nonhomolo...",13,2,0.01,"5.6e-05"
"8","GO:0000726","non-recombinational repair",15,2,0.01,"7.6e-05"
"9","GO:0090481","pyrimidine nucleotide-sugar transmembran...",25,2,0.02,"0.00022"
"10","GO:0015780","nucleotide-sugar transmembrane transport",27,2,0.02,"0.00025"
"11","GO:0051276","chromosome organization",931,5,0.81,"0.00116"
"12","GO:0008643","carbohydrate transport",244,3,0.21,"0.00123"
"13","GO:0016485","protein processing",73,2,0.06,"0.00184"
"14","GO:0006508","proteolysis",2119,7,1.83,"0.00193"
"15","GO:0071478","cellular response to radiation",79,2,0.07,"0.00215"
"16","GO:0006302","double-strand break repair",87,2,0.08,"0.00260"
"17","GO:0015739","sialic acid transport",4,1,0,"0.00346"
"18","GO:0071103","DNA conformation change",367,3,0.32,"0.00390"
"19","GO:1901264","carbohydrate derivative transport",111,2,0.1,"0.00418"
"20","GO:0070921","regulation of production of siRNA involv...",5,1,0,"0.00432"
"21","GO:0071702","organic substance transport",1849,6,1.6,"0.00463"
"22","GO:0033619","membrane protein proteolysis",6,1,0.01,"0.00518"
"23","GO:0051604","protein maturation",130,2,0.11,"0.00569"
"24","GO:0071214","cellular response to abiotic stimulus",131,2,0.11,"0.00577"
"25","GO:0104004","cellular response to environmental stimu...",131,2,0.11,"0.00577"
"26","GO:0016540","protein autoprocessing",7,1,0.01,"0.00605"
"27","GO:0070919","production of siRNA involved in chromati...",7,1,0.01,"0.00605"
"28","GO:0071705","nitrogen compound transport",1367,5,1.18,"0.00606"
"29","GO:0010964","regulation of chromatin silencing by sma...",8,1,0.01,"0.00691"
"30","GO:0031048","chromatin silencing by small RNA",10,1,0.01,"0.00863"
"31","GO:0009408","response to heat",169,2,0.15,"0.00943"
"32","GO:0070920","regulation of production of small RNA in...",11,1,0.01,"0.00948"
"33","GO:0000723","telomere maintenance",178,2,0.15,"0.01041"
"34","GO:0032200","telomere organization",178,2,0.15,"0.01041"
"35","GO:0060249","anatomical structure homeostasis",178,2,0.15,"0.01041"
"36","GO:0080188","RNA-directed DNA methylation",13,1,0.01,"0.01120"
"37","GO:0036297","interstrand cross-link repair",15,1,0.01,"0.01291"
"38","GO:0015931","nucleobase-containing compound transport",204,2,0.18,"0.01350"
"39","GO:0060966","regulation of gene silencing by RNA",16,1,0.01,"0.01377"
"40","GO:0043068","positive regulation of programmed cell d...",19,1,0.02,"0.01633"
