"","GO.ID","Term","Annotated","Significant","Expected","classic"
"1","GO:0006396","RNA processing",1149,32,9.1,"9.4e-10"
"2","GO:0000398","mRNA splicing, via spliceosome",218,13,1.73,"2.5e-08"
"3","GO:1902600","proton transmembrane transport",354,16,2.8,"3.0e-08"
"4","GO:0008380","RNA splicing",325,15,2.58,"6.3e-08"
"5","GO:0000375","RNA splicing, via transesterification re...",240,13,1.9,"7.6e-08"
"6","GO:0000377","RNA splicing, via transesterification re...",240,13,1.9,"7.6e-08"
"7","GO:0016071","mRNA metabolic process",542,19,4.29,"8.8e-08"
"8","GO:0015672","monovalent inorganic cation transport",487,18,3.86,"8.8e-08"
"9","GO:0006397","mRNA processing",437,17,3.46,"9.8e-08"
"10","GO:0010467","gene expression",6173,82,48.91,"9.0e-07"
"11","GO:0051276","chromosome organization",931,23,7.38,"1.9e-06"
"12","GO:0015985","energy coupled proton transport, down el...",110,8,0.87,"2.9e-06"
"13","GO:0015986","ATP synthesis coupled proton transport",110,8,0.87,"2.9e-06"
"14","GO:0098662","inorganic cation transmembrane transport",638,18,5.06,"4.2e-06"
"15","GO:0046034","ATP metabolic process",332,12,2.63,"1.6e-05"
"16","GO:0098660","inorganic ion transmembrane transport",709,18,5.62,"1.7e-05"
"17","GO:0098655","cation transmembrane transport",745,18,5.9,"3.3e-05"
"18","GO:0009205","purine ribonucleoside triphosphate metab...",360,12,2.85,"3.5e-05"
"19","GO:0009144","purine nucleoside triphosphate metabolic...",361,12,2.86,"3.6e-05"
"20","GO:0006120","mitochondrial electron transport, NADH t...",9,3,0.07,"4.0e-05"
"21","GO:0006325","chromatin organization",487,14,3.86,"4.0e-05"
"22","GO:0009199","ribonucleoside triphosphate metabolic pr...",377,12,2.99,"5.5e-05"
"23","GO:0031048","chromatin silencing by small RNA",10,3,0.08,"5.7e-05"
"24","GO:0009126","purine nucleoside monophosphate metaboli...",386,12,3.06,"6.8e-05"
"25","GO:0009167","purine ribonucleoside monophosphate meta...",386,12,3.06,"6.8e-05"
"26","GO:0006812","cation transport",939,20,7.44,"7.1e-05"
"27","GO:0018193","peptidyl-amino acid modification",649,16,5.14,"7.2e-05"
"28","GO:0009141","nucleoside triphosphate metabolic proces...",397,12,3.15,"8.9e-05"
"29","GO:0034220","ion transmembrane transport",965,20,7.65,"0.00010"
"30","GO:0007064","mitotic sister chromatid cohesion",32,4,0.25,"0.00012"
"31","GO:0009161","ribonucleoside monophosphate metabolic p...",411,12,3.26,"0.00012"
"32","GO:0006754","ATP biosynthetic process",246,9,1.95,"0.00017"
"33","GO:0016070","RNA metabolic process",5068,63,40.16,"0.00017"
"34","GO:0060966","regulation of gene silencing by RNA",16,3,0.13,"0.00026"
"35","GO:0006811","ion transport",1388,24,11,"0.00033"
"36","GO:0009145","purine nucleoside triphosphate biosynthe...",272,9,2.16,"0.00035"
"37","GO:0009206","purine ribonucleoside triphosphate biosy...",272,9,2.16,"0.00035"
"38","GO:0030007","cellular potassium ion homeostasis",4,2,0.03,"0.00037"
"39","GO:0009123","nucleoside monophosphate metabolic proce...",475,12,3.76,"0.00046"
"40","GO:0009201","ribonucleoside triphosphate biosynthetic...",289,9,2.29,"0.00054"
