"","GO.ID","Term","Annotated","Significant","Expected","classic"
"1","GO:0032875","regulation of DNA endoreduplication",22,4,0.06,"3.3e-07"
"2","GO:0042023","DNA endoreduplication",26,4,0.07,"6.6e-07"
"3","GO:0090329","regulation of DNA-dependent DNA replicat...",37,4,0.1,"2.9e-06"
"4","GO:0006275","regulation of DNA replication",39,4,0.1,"3.6e-06"
"5","GO:0044786","cell cycle DNA replication",44,4,0.12,"5.8e-06"
"6","GO:0008272","sulfate transport",46,4,0.12,"7.0e-06"
"7","GO:1902358","sulfate transmembrane transport",46,4,0.12,"7.0e-06"
"8","GO:0006810","transport",4569,28,12.11,"1.4e-05"
"9","GO:0051234","establishment of localization",4656,28,12.34,"2.1e-05"
"10","GO:0051179","localization",4726,28,12.52,"2.7e-05"
"11","GO:0072348","sulfur compound transport",66,4,0.17,"3.0e-05"
"12","GO:0031399","regulation of protein modification proce...",345,7,0.91,"3.9e-05"
"13","GO:0031063","regulation of histone deacetylation",4,2,0.01,"4.2e-05"
"14","GO:0090311","regulation of protein deacetylation",4,2,0.01,"4.2e-05"
"15","GO:0098661","inorganic anion transmembrane transport",77,4,0.2,"5.4e-05"
"16","GO:0055085","transmembrane transport",2476,18,6.56,"8.3e-05"
"17","GO:0010564","regulation of cell cycle process",98,4,0.26,"0.00014"
"18","GO:0051052","regulation of DNA metabolic process",112,4,0.3,"0.00023"
"19","GO:0032268","regulation of cellular protein metabolic...",509,7,1.35,"0.00042"
"20","GO:0008643","carbohydrate transport",244,5,0.65,"0.00050"
"21","GO:0006261","DNA-dependent DNA replication",137,4,0.36,"0.00050"
"22","GO:0051246","regulation of protein metabolic process",543,7,1.44,"0.00062"
"23","GO:0006469","negative regulation of protein kinase ac...",15,2,0.04,"0.00071"
"24","GO:0098656","anion transmembrane transport",159,4,0.42,"0.00087"
"25","GO:0001933","negative regulation of protein phosphory...",17,2,0.05,"0.00092"
"26","GO:0010563","negative regulation of phosphorus metabo...",72,3,0.19,"0.00094"
"27","GO:0045936","negative regulation of phosphate metabol...",72,3,0.19,"0.00094"
"28","GO:0015698","inorganic anion transport",169,4,0.45,"0.00109"
"29","GO:0009743","response to carbohydrate",76,3,0.2,"0.00110"
"30","GO:0031400","negative regulation of protein modificat...",76,3,0.2,"0.00110"
"31","GO:0045839","negative regulation of mitotic nuclear d...",19,2,0.05,"0.00115"
"32","GO:1905582","response to mannose",19,2,0.05,"0.00115"
"33","GO:0045859","regulation of protein kinase activity",176,4,0.47,"0.00127"
"34","GO:0019220","regulation of phosphate metabolic proces...",301,5,0.8,"0.00127"
"35","GO:0051174","regulation of phosphorus metabolic proce...",301,5,0.8,"0.00127"
"36","GO:0042594","response to starvation",81,3,0.21,"0.00133"
"37","GO:0033673","negative regulation of kinase activity",21,2,0.06,"0.00141"
"38","GO:0043549","regulation of kinase activity",185,4,0.49,"0.00152"
"39","GO:0051784","negative regulation of nuclear division",22,2,0.06,"0.00155"
"40","GO:0001932","regulation of protein phosphorylation",196,4,0.52,"0.00188"
