"","GO.ID","Term","Annotated","Significant","Expected","classic"
"1","GO:0006886","intracellular protein transport",722,63,25.35,"4.7e-11"
"2","GO:0030163","protein catabolic process",550,52,19.31,"1.4e-10"
"3","GO:0034613","cellular protein localization",815,67,28.61,"1.5e-10"
"4","GO:0070727","cellular macromolecule localization",815,67,28.61,"1.5e-10"
"5","GO:0006396","RNA processing",1149,81,40.34,"2.8e-09"
"6","GO:0010343","singlet oxygen-mediated programmed cell ...",7,6,0.25,"1.3e-08"
"7","GO:0036473","cell death in response to oxidative stre...",7,6,0.25,"1.3e-08"
"8","GO:0097468","programmed cell death in response to rea...",7,6,0.25,"1.3e-08"
"9","GO:0046907","intracellular transport",923,67,32.4,"2.2e-08"
"10","GO:0000304","response to singlet oxygen",8,6,0.28,"4.9e-08"
"11","GO:0007584","response to nutrient",8,6,0.28,"4.9e-08"
"12","GO:0031670","cellular response to nutrient",8,6,0.28,"4.9e-08"
"13","GO:0071452","cellular response to singlet oxygen",8,6,0.28,"4.9e-08"
"14","GO:0090305","nucleic acid phosphodiester bond hydroly...",547,46,19.2,"5.8e-08"
"15","GO:0045184","establishment of protein localization",1109,75,38.93,"6.1e-08"
"16","GO:0015031","protein transport",1076,73,37.77,"8.0e-08"
"17","GO:0051641","cellular localization",1103,74,38.72,"1.0e-07"
"18","GO:1901565","organonitrogen compound catabolic proces...",745,56,26.15,"1.0e-07"
"19","GO:0042886","amide transport",1145,75,40.2,"2.1e-07"
"20","GO:0051649","establishment of localization in cell",984,67,34.54,"2.4e-07"
"21","GO:0008104","protein localization",1172,76,41.14,"2.6e-07"
"22","GO:0015833","peptide transport",1134,74,39.81,"3.0e-07"
"23","GO:0006399","tRNA metabolic process",390,34,13.69,"1.3e-06"
"24","GO:0006000","fructose metabolic process",4,4,0.14,"1.5e-06"
"25","GO:0044257","cellular protein catabolic process",477,38,16.75,"2.9e-06"
"26","GO:0051603","proteolysis involved in cellular protein...",477,38,16.75,"2.9e-06"
"27","GO:0044265","cellular macromolecule catabolic process",630,46,22.12,"3.0e-06"
"28","GO:0033036","macromolecule localization",1430,84,50.2,"3.4e-06"
"29","GO:0042176","regulation of protein catabolic process",57,11,2,"4.0e-06"
"30","GO:0008033","tRNA processing",212,22,7.44,"6.4e-06"
"31","GO:0034660","ncRNA metabolic process",636,45,22.33,"8.6e-06"
"32","GO:0071705","nitrogen compound transport",1367,79,47.99,"1.2e-05"
"33","GO:0009057","macromolecule catabolic process",1083,66,38.02,"1.2e-05"
"34","GO:0009894","regulation of catabolic process",65,11,2.28,"1.5e-05"
"35","GO:0016070","RNA metabolic process",5068,231,177.91,"1.6e-05"
"36","GO:0016973","poly(A)+ mRNA export from nucleus",20,6,0.7,"4.7e-05"
"37","GO:0034470","ncRNA processing",451,33,15.83,"6.9e-05"
"38","GO:0043632","modification-dependent macromolecule cat...",437,31,15.34,"2e-04"
"39","GO:0006913","nucleocytoplasmic transport",248,21,8.71,"2e-04"
"40","GO:0051169","nuclear transport",248,21,8.71,"2e-04"
