"","GO.ID","Term","Annotated","Significant","Expected","classic"
"1","GO:0016310","phosphorylation",4106,113,78.53,"4.9e-05"
"2","GO:0015698","inorganic anion transport",169,12,3.23,"0.00011"
"3","GO:0006468","protein phosphorylation",2846,82,54.43,"0.00014"
"4","GO:0055085","transmembrane transport",2476,73,47.36,"0.00017"
"5","GO:0034285","response to disaccharide",44,6,0.84,"0.00018"
"6","GO:0009605","response to external stimulus",557,24,10.65,"0.00022"
"7","GO:0055114","oxidation-reduction process",4781,124,91.45,"0.00025"
"8","GO:0006793","phosphorus metabolic process",5992,150,114.61,"0.00026"
"9","GO:0010941","regulation of cell death",66,7,1.26,"0.00027"
"10","GO:0008643","carbohydrate transport",244,14,4.67,"0.00029"
"11","GO:0006796","phosphate-containing compound metabolic ...",5965,149,114.09,"0.00031"
"12","GO:0042742","defense response to bacterium",89,8,1.7,"0.00031"
"13","GO:0006820","anion transport",372,18,7.12,"0.00034"
"14","GO:0009439","cyanate metabolic process",2,2,0.04,"0.00037"
"15","GO:0009617","response to bacterium",120,9,2.3,"0.00052"
"16","GO:0098661","inorganic anion transmembrane transport",77,7,1.47,"0.00069"
"17","GO:0098542","defense response to other organism",215,12,4.11,"0.00097"
"18","GO:0006787","porphyrin-containing compound catabolic ...",24,4,0.46,"0.00104"
"19","GO:0033015","tetrapyrrole catabolic process",24,4,0.46,"0.00104"
"20","GO:0019919","peptidyl-arginine methylation, to asymme...",3,2,0.06,"0.00108"
"21","GO:0035247","peptidyl-arginine omega-N-methylation",3,2,0.06,"0.00108"
"22","GO:0060776","simple leaf morphogenesis",3,2,0.06,"0.00108"
"23","GO:0009607","response to biotic stimulus",348,16,6.66,"0.00123"
"24","GO:0009816","defense response to bacterium, incompati...",12,3,0.23,"0.00135"
"25","GO:0043562","cellular response to nitrogen levels",12,3,0.23,"0.00135"
"26","GO:0042542","response to hydrogen peroxide",45,5,0.86,"0.00164"
"27","GO:0072348","sulfur compound transport",66,6,1.26,"0.00165"
"28","GO:0008272","sulfate transport",46,5,0.88,"0.00181"
"29","GO:1902358","sulfate transmembrane transport",46,5,0.88,"0.00181"
"30","GO:0006810","transport",4569,114,87.39,"0.00183"
"31","GO:0006788","heme oxidation",4,2,0.08,"0.00214"
"32","GO:0010353","response to trehalose",4,2,0.08,"0.00214"
"33","GO:0010618","aerenchyma formation",4,2,0.08,"0.00214"
"34","GO:0031063","regulation of histone deacetylation",4,2,0.08,"0.00214"
"35","GO:0060866","leaf abscission",4,2,0.08,"0.00214"
"36","GO:0071327","cellular response to trehalose stimulus",4,2,0.08,"0.00214"
"37","GO:0080151","positive regulation of salicylic acid me...",4,2,0.08,"0.00214"
"38","GO:0090311","regulation of protein deacetylation",4,2,0.08,"0.00214"
"39","GO:2001025","positive regulation of response to drug",4,2,0.08,"0.00214"
"40","GO:2001040","positive regulation of cellular response...",4,2,0.08,"0.00214"
