"","GO.ID","Term","Annotated","Significant","Expected","classic"
"1","GO:0042594","response to starvation",81,3,0.11,"0.00018"
"2","GO:0006810","transport",4569,16,6.11,"0.00020"
"3","GO:0051234","establishment of localization",4656,16,6.23,"0.00025"
"4","GO:0043068","positive regulation of programmed cell d...",19,2,0.03,"0.00030"
"5","GO:0051179","localization",4726,16,6.32,"0.00030"
"6","GO:0031667","response to nutrient levels",98,3,0.13,"0.00031"
"7","GO:0008643","carbohydrate transport",244,4,0.33,"0.00032"
"8","GO:0090351","seedling development",104,3,0.14,"0.00037"
"9","GO:0010942","positive regulation of cell death",23,2,0.03,"0.00044"
"10","GO:0009991","response to extracellular stimulus",132,3,0.18,"0.00075"
"11","GO:0043067","regulation of programmed cell death",46,2,0.06,"0.00175"
"12","GO:0046937","phytochelatin metabolic process",2,1,0,"0.00267"
"13","GO:0046938","phytochelatin biosynthetic process",2,1,0,"0.00267"
"14","GO:0010941","regulation of cell death",66,2,0.09,"0.00356"
"15","GO:0010563","negative regulation of phosphorus metabo...",72,2,0.1,"0.00423"
"16","GO:0045936","negative regulation of phosphate metabol...",72,2,0.1,"0.00423"
"17","GO:0031400","negative regulation of protein modificat...",76,2,0.1,"0.00470"
"18","GO:0055085","transmembrane transport",2476,9,3.31,"0.00515"
"19","GO:0012501","programmed cell death",84,2,0.11,"0.00571"
"20","GO:0019220","regulation of phosphate metabolic proces...",301,3,0.4,"0.00768"
"21","GO:0051174","regulation of phosphorus metabolic proce...",301,3,0.4,"0.00768"
"22","GO:0032261","purine nucleotide salvage",6,1,0.01,"0.00800"
"23","GO:0032264","IMP salvage",6,1,0.01,"0.00800"
"24","GO:0008219","cell death",109,2,0.15,"0.00943"
"25","GO:0000165","MAPK cascade",117,2,0.16,"0.01080"
"26","GO:0031399","regulation of protein modification proce...",345,3,0.46,"0.01111"
"27","GO:0044210","'de novo' CTP biosynthetic process",9,1,0.01,"0.01198"
"28","GO:0098755","maintenance of seed dormancy by absisic ...",11,1,0.01,"0.01462"
"29","GO:0006813","potassium ion transport",138,2,0.18,"0.01478"
"30","GO:0010231","maintenance of seed dormancy",13,1,0.02,"0.01726"
"31","GO:0097437","maintenance of dormancy",13,1,0.02,"0.01726"
"32","GO:0009260","ribonucleotide biosynthetic process",410,3,0.55,"0.01758"
"33","GO:0046390","ribose phosphate biosynthetic process",412,3,0.55,"0.01781"
"34","GO:0032269","negative regulation of cellular protein ...",156,2,0.21,"0.01861"
"35","GO:0006469","negative regulation of protein kinase ac...",15,1,0.02,"0.01989"
"36","GO:0051248","negative regulation of protein metabolic...",165,2,0.22,"0.02067"
"37","GO:0043101","purine-containing compound salvage",16,1,0.02,"0.02120"
"38","GO:0006796","phosphate-containing compound metabolic ...",5965,14,7.98,"0.02206"
"39","GO:0001933","negative regulation of protein phosphory...",17,1,0.02,"0.02251"
"40","GO:0006793","phosphorus metabolic process",5992,14,8.02,"0.02287"
