"","GO.ID","Term","Annotated","Significant","Expected","classic"
"1","GO:0006396","RNA processing",1149,69,23.36,"1.6e-15"
"2","GO:0010467","gene expression",6173,197,125.52,"2.3e-11"
"3","GO:0016070","RNA metabolic process",5068,166,103.05,"2.2e-10"
"4","GO:0010629","negative regulation of gene expression",435,30,8.85,"8.5e-09"
"5","GO:0009892","negative regulation of metabolic process",658,38,13.38,"1.2e-08"
"6","GO:0010605","negative regulation of macromolecule met...",612,36,12.44,"1.8e-08"
"7","GO:0048519","negative regulation of biological proces...",873,44,17.75,"4.7e-08"
"8","GO:0006397","mRNA processing",437,28,8.89,"1.2e-07"
"9","GO:0016071","mRNA metabolic process",542,31,11.02,"3.3e-07"
"10","GO:0051028","mRNA transport",63,10,1.28,"5.5e-07"
"11","GO:0009628","response to abiotic stimulus",1163,50,23.65,"7.3e-07"
"12","GO:0006913","nucleocytoplasmic transport",248,19,5.04,"9.5e-07"
"13","GO:0051169","nuclear transport",248,19,5.04,"9.5e-07"
"14","GO:0031503","protein-containing complex localization",68,10,1.38,"1.1e-06"
"15","GO:0006403","RNA localization",89,11,1.81,"2.0e-06"
"16","GO:0050657","nucleic acid transport",89,11,1.81,"2.0e-06"
"17","GO:0050658","RNA transport",89,11,1.81,"2.0e-06"
"18","GO:0051236","establishment of RNA localization",89,11,1.81,"2.0e-06"
"19","GO:0016973","poly(A)+ mRNA export from nucleus",20,6,0.41,"2.1e-06"
"20","GO:0016458","gene silencing",218,17,4.43,"2.8e-06"
"21","GO:0010286","heat acclimation",13,5,0.26,"3.9e-06"
"22","GO:0006406","mRNA export from nucleus",36,7,0.73,"7.0e-06"
"23","GO:0071427","mRNA-containing ribonucleoprotein comple...",36,7,0.73,"7.0e-06"
"24","GO:0034470","ncRNA processing",451,25,9.17,"7.6e-06"
"25","GO:0051168","nuclear export",67,9,1.36,"8.5e-06"
"26","GO:0034660","ncRNA metabolic process",636,31,12.93,"8.8e-06"
"27","GO:0009408","response to heat",169,14,3.44,"1.0e-05"
"28","GO:0071166","ribonucleoprotein complex localization",54,8,1.1,"1.3e-05"
"29","GO:0071426","ribonucleoprotein complex export from nu...",54,8,1.1,"1.3e-05"
"30","GO:0044265","cellular macromolecule catabolic process",630,30,12.81,"1.9e-05"
"31","GO:0006611","protein export from nucleus",57,8,1.16,"1.9e-05"
"32","GO:0033554","cellular response to stress",969,40,19.7,"2.4e-05"
"33","GO:0031047","gene silencing by RNA",159,13,3.23,"2.4e-05"
"34","GO:0006405","RNA export from nucleus",59,8,1.2,"2.5e-05"
"35","GO:0009266","response to temperature stimulus",286,18,5.82,"2.7e-05"
"36","GO:0009416","response to light stimulus",431,23,8.76,"3.1e-05"
"37","GO:0006950","response to stress",2442,79,49.65,"3.3e-05"
"38","GO:0008380","RNA splicing",325,19,6.61,"4.5e-05"
"39","GO:0065007","biological regulation",7018,186,142.7,"5.2e-05"
"40","GO:0009314","response to radiation",448,23,9.11,"5.7e-05"
