"","GO.ID","Term","Annotated","Significant","Expected","classic"
"1","GO:0006400","tRNA modification",133,4,0.45,"0.0011"
"2","GO:0050794","regulation of cellular process",5500,32,18.47,"0.0011"
"3","GO:0065007","biological regulation",7018,37,23.57,"0.0025"
"4","GO:0050789","regulation of biological process",6129,33,20.58,"0.0033"
"5","GO:0051171","regulation of nitrogen compound metaboli...",3572,22,12,"0.0039"
"6","GO:0032774","RNA biosynthetic process",3368,21,11.31,"0.0041"
"7","GO:0034470","ncRNA processing",451,6,1.51,"0.0043"
"8","GO:0060255","regulation of macromolecule metabolic pr...",3847,23,12.92,"0.0045"
"9","GO:0080090","regulation of primary metabolic process",3633,22,12.2,"0.0047"
"10","GO:0031323","regulation of cellular metabolic process",3670,22,12.33,"0.0053"
"11","GO:0008033","tRNA processing",212,4,0.71,"0.0058"
"12","GO:0034660","ncRNA metabolic process",636,7,2.14,"0.0058"
"13","GO:0002098","tRNA wobble uridine modification",34,2,0.11,"0.0059"
"14","GO:0097659","nucleic acid-templated transcription",3270,20,10.98,"0.0064"
"15","GO:0002097","tRNA wobble base modification",36,2,0.12,"0.0065"
"16","GO:0009301","snRNA transcription",2,1,0.01,"0.0067"
"17","GO:0009945","radial axis specification",2,1,0.01,"0.0067"
"18","GO:0030968","endoplasmic reticulum unfolded protein r...",2,1,0.01,"0.0067"
"19","GO:0043696","dedifferentiation",2,1,0.01,"0.0067"
"20","GO:0043697","cell dedifferentiation",2,1,0.01,"0.0067"
"21","GO:0060184","cell cycle switching",2,1,0.01,"0.0067"
"22","GO:0019222","regulation of metabolic process",4004,23,13.45,"0.0072"
"23","GO:0032268","regulation of cellular protein metabolic...",509,6,1.71,"0.0076"
"24","GO:0016070","RNA metabolic process",5068,27,17.02,"0.0095"
"25","GO:0051246","regulation of protein metabolic process",543,6,1.82,"0.0103"
"26","GO:0006351","transcription, DNA-templated",3199,19,10.74,"0.0105"
"27","GO:0010467","gene expression",6173,31,20.73,"0.0123"
"28","GO:2000112","regulation of cellular macromolecule bio...",3018,18,10.14,"0.0123"
"29","GO:0009942","longitudinal axis specification",4,1,0.01,"0.0134"
"30","GO:0098781","ncRNA transcription",4,1,0.01,"0.0134"
"31","GO:0010556","regulation of macromolecule biosynthetic...",3063,18,10.29,"0.0141"
"32","GO:0010468","regulation of gene expression",3306,19,11.1,"0.0146"
"33","GO:0031326","regulation of cellular biosynthetic proc...",3117,18,10.47,"0.0166"
"34","GO:0033554","cellular response to stress",969,8,3.25,"0.0168"
"35","GO:0045454","cell redox homeostasis",291,4,0.98,"0.0170"
"36","GO:0006950","response to stress",2442,15,8.2,"0.0172"
"37","GO:0009889","regulation of biosynthetic process",3134,18,10.53,"0.0174"
"38","GO:0009059","macromolecule biosynthetic process",5951,29,19.99,"0.0227"
"39","GO:0009451","RNA modification",320,4,1.07,"0.0231"
"40","GO:0009859","pollen hydration",7,1,0.02,"0.0233"
