"","GO.ID","Term","Annotated","Significant","Expected","classic"
"1","GO:0071554","cell wall organization or biogenesis",965,20,2.51,"6.3e-13"
"2","GO:0071555","cell wall organization",778,16,2.02,"1.8e-10"
"3","GO:0045229","external encapsulating structure organiz...",786,16,2.04,"2.1e-10"
"4","GO:0009825","multidimensional cell growth",36,3,0.09,"0.00011"
"5","GO:0045944","positive regulation of transcription by ...",189,5,0.49,"0.00014"
"6","GO:0005975","carbohydrate metabolic process",2036,15,5.29,"0.00024"
"7","GO:0044036","cell wall macromolecule metabolic proces...",233,5,0.61,"0.00037"
"8","GO:0009739","response to gibberellin",55,3,0.14,"0.00040"
"9","GO:0052324","plant-type cell wall cellulose biosynthe...",19,2,0.05,"0.00111"
"10","GO:0052541","plant-type cell wall cellulose metabolic...",19,2,0.05,"0.00111"
"11","GO:0044247","cellular polysaccharide catabolic proces...",80,3,0.21,"0.00121"
"12","GO:0045893","positive regulation of transcription, DN...",316,5,0.82,"0.00144"
"13","GO:0030243","cellulose metabolic process",190,4,0.49,"0.00156"
"14","GO:0044275","cellular carbohydrate catabolic process",93,3,0.24,"0.00186"
"15","GO:1902680","positive regulation of RNA biosynthetic ...",340,5,0.88,"0.00198"
"16","GO:1903508","positive regulation of nucleic acid-temp...",340,5,0.88,"0.00198"
"17","GO:0051254","positive regulation of RNA metabolic pro...",341,5,0.89,"0.00200"
"18","GO:0016052","carbohydrate catabolic process",509,6,1.32,"0.00217"
"19","GO:0000272","polysaccharide catabolic process",356,5,0.92,"0.00241"
"20","GO:0051273","beta-glucan metabolic process",216,4,0.56,"0.00248"
"21","GO:0006357","regulation of transcription by RNA polym...",362,5,0.94,"0.00259"
"22","GO:0010557","positive regulation of macromolecule bio...",362,5,0.94,"0.00259"
"23","GO:0010324","membrane invagination",1,1,0,"0.00260"
"24","GO:0045935","positive regulation of nucleobase-contai...",363,5,0.94,"0.00262"
"25","GO:0016043","cellular component organization",3671,19,9.54,"0.00266"
"26","GO:0010628","positive regulation of gene expression",368,5,0.96,"0.00278"
"27","GO:0009832","plant-type cell wall biogenesis",111,3,0.29,"0.00308"
"28","GO:0031328","positive regulation of cellular biosynth...",378,5,0.98,"0.00312"
"29","GO:0009891","positive regulation of biosynthetic proc...",389,5,1.01,"0.00353"
"30","GO:0051173","positive regulation of nitrogen compound...",566,6,1.47,"0.00365"
"31","GO:0005976","polysaccharide metabolic process",761,7,1.98,"0.00375"
"32","GO:0006486","protein glycosylation",244,4,0.63,"0.00384"
"33","GO:0043413","macromolecule glycosylation",244,4,0.63,"0.00384"
"34","GO:0009101","glycoprotein biosynthetic process",246,4,0.64,"0.00395"
"35","GO:0033993","response to lipid",401,5,1.04,"0.00401"
"36","GO:0031325","positive regulation of cellular metaboli...",583,6,1.51,"0.00422"
"37","GO:0010604","positive regulation of macromolecule met...",588,6,1.53,"0.00439"
"38","GO:0009100","glycoprotein metabolic process",256,4,0.66,"0.00454"
"39","GO:0044264","cellular polysaccharide metabolic proces...",418,5,1.09,"0.00477"
"40","GO:0010468","regulation of gene expression",3306,17,8.59,"0.00488"
