"","GO.ID","Term","Annotated","Significant","Expected","classic"
"1","GO:0042744","hydrogen peroxide catabolic process",232,104,14.51,"< 1e-30"
"2","GO:0017001","antibiotic catabolic process",239,105,14.94,"< 1e-30"
"3","GO:0042743","hydrogen peroxide metabolic process",239,105,14.94,"< 1e-30"
"4","GO:0042737","drug catabolic process",486,143,30.39,"< 1e-30"
"5","GO:0051187","cofactor catabolic process",268,104,16.76,"< 1e-30"
"6","GO:0072593","reactive oxygen species metabolic proces...",291,105,18.19,"< 1e-30"
"7","GO:0016999","antibiotic metabolic process",375,118,23.45,"< 1e-30"
"8","GO:0097237","cellular response to toxic substance",409,115,25.57,"< 1e-30"
"9","GO:1990748","cellular detoxification",409,115,25.57,"< 1e-30"
"10","GO:0098869","cellular oxidant detoxification",404,114,25.26,"< 1e-30"
"11","GO:0098754","detoxification",412,115,25.76,"< 1e-30"
"12","GO:0017144","drug metabolic process",1283,217,80.22,"< 1e-30"
"13","GO:0009636","response to toxic substance",489,117,30.57,"< 1e-30"
"14","GO:0055114","oxidation-reduction process",4781,508,298.92,"< 1e-30"
"15","GO:0006979","response to oxidative stress",488,111,30.51,"< 1e-30"
"16","GO:0070887","cellular response to chemical stimulus",1181,173,73.84,"6.9e-26"
"17","GO:0051186","cofactor metabolic process",885,133,55.33,"4.1e-21"
"18","GO:0071555","cell wall organization",778,117,48.64,"9.8e-19"
"19","GO:0045229","external encapsulating structure organiz...",786,117,49.14,"2.2e-18"
"20","GO:0044248","cellular catabolic process",1680,197,105.04,"7.1e-18"
"21","GO:0055085","transmembrane transport",2476,259,154.81,"9.2e-17"
"22","GO:0042221","response to chemical",2060,225,128.8,"1.1e-16"
"23","GO:0071554","cell wall organization or biogenesis",965,126,60.33,"3.6e-15"
"24","GO:0009056","catabolic process",2010,214,125.67,"9.4e-15"
"25","GO:0051716","cellular response to stimulus",3004,282,187.82,"2.1e-12"
"26","GO:0006810","transport",4569,389,285.67,"6.6e-11"
"27","GO:0051179","localization",4726,398,295.48,"1.6e-10"
"28","GO:0051234","establishment of localization",4656,393,291.11,"1.6e-10"
"29","GO:0034220","ion transmembrane transport",965,112,60.33,"2.1e-10"
"30","GO:0006811","ion transport",1388,147,86.78,"2.6e-10"
"31","GO:0009664","plant-type cell wall organization",214,40,13.38,"4.5e-10"
"32","GO:0042545","cell wall modification",217,40,13.57,"6.9e-10"
"33","GO:0071669","plant-type cell wall organization or bio...",273,46,17.07,"8.2e-10"
"34","GO:0030001","metal ion transport",527,71,32.95,"1.0e-09"
"35","GO:0050896","response to stimulus",4804,397,300.36,"1.8e-09"
"36","GO:0045490","pectin catabolic process",185,35,11.57,"3.9e-09"
"37","GO:0098660","inorganic ion transmembrane transport",709,85,44.33,"7.3e-09"
"38","GO:0043086","negative regulation of catalytic activit...",273,44,17.07,"7.7e-09"
"39","GO:0006812","cation transport",939,104,58.71,"1.2e-08"
"40","GO:0044092","negative regulation of molecular functio...",279,44,17.44,"1.5e-08"
