,total,S subgenome,T subgenome,ambiguous,color
1,626,295,279,52,grey
2,8058,3523,3685,850,turquoise
3,7921,3513,3638,770,blue
4,7298,3308,3305,685,brown
5,5443,2465,2471,507,yellow
6,2159,990,936,233,green
7,1780,774,828,178,red
8,1596,721,731,144,black
9,1288,576,587,125,pink
10,902,361,375,166,magenta
11,657,280,262,115,purple
12,597,264,274,59,greenyellow
13,506,256,209,41,tan
14,483,226,223,34,salmon
15,477,200,219,58,cyan
16,463,199,215,49,midnightblue
17,396,175,186,35,lightcyan
18,288,126,132,30,grey60
19,260,106,93,61,lightgreen
20,237,93,128,16,lightyellow
21,225,105,97,23,royalblue
22,136,57,56,23,darkred
23,121,57,58,6,darkgreen
24,112,51,53,8,darkturquoise
25,106,52,43,11,darkgrey
26,90,39,45,6,orange
27,78,27,39,12,darkorange
28,52,8,39,5,white
29,30,16,13,1,skyblue
