"","GO.ID","Term","Annotated","Significant","Expected","classic"
"1","GO:0009987","cellular process",11364,417,347.48,"1.9e-10"
"2","GO:0046351","disaccharide biosynthetic process",52,13,1.59,"3.8e-09"
"3","GO:0009312","oligosaccharide biosynthetic process",63,14,1.93,"5.0e-09"
"4","GO:0009311","oligosaccharide metabolic process",91,15,2.78,"1.0e-07"
"5","GO:0044237","cellular metabolic process",9563,353,292.41,"1.0e-07"
"6","GO:0005984","disaccharide metabolic process",80,14,2.45,"1.3e-07"
"7","GO:0005992","trehalose biosynthetic process",48,11,1.47,"1.6e-07"
"8","GO:0005991","trehalose metabolic process",52,11,1.59,"3.8e-07"
"9","GO:0009058","biosynthetic process",4652,194,142.25,"4.9e-07"
"10","GO:0000375","RNA splicing, via transesterification re...",86,12,2.63,"1.2e-05"
"11","GO:0000377","RNA splicing, via transesterification re...",86,12,2.63,"1.2e-05"
"12","GO:0000398","mRNA splicing, via spliceosome",86,12,2.63,"1.2e-05"
"13","GO:1901576","organic substance biosynthetic process",4464,180,136.5,"1.5e-05"
"14","GO:0071704","organic substance metabolic process",11072,385,338.55,"2.2e-05"
"15","GO:0044249","cellular biosynthetic process",4379,176,133.9,"2.4e-05"
"16","GO:0016311","dephosphorylation",112,13,3.42,"3.8e-05"
"17","GO:0044281","small molecule metabolic process",1596,77,48.8,"3.9e-05"
"18","GO:0016071","mRNA metabolic process",184,17,5.63,"5.2e-05"
"19","GO:0044238","primary metabolic process",10615,369,324.58,"5.9e-05"
"20","GO:0044255","cellular lipid metabolic process",522,33,15.96,"7.2e-05"
"21","GO:0019752","carboxylic acid metabolic process",981,52,30,"8.0e-05"
"22","GO:0006397","mRNA processing",156,15,4.77,"9.0e-05"
"23","GO:0043436","oxoacid metabolic process",986,52,30.15,"9.1e-05"
"24","GO:0008380","RNA splicing",106,12,3.24,"9.6e-05"
"25","GO:0006082","organic acid metabolic process",988,52,30.21,"9.6e-05"
"26","GO:0097428","protein maturation by iron-sulfur cluste...",10,4,0.31,"0.00016"
"27","GO:0044283","small molecule biosynthetic process",664,38,20.3,"0.00017"
"28","GO:0009266","response to temperature stimulus",19,5,0.58,"0.00021"
"29","GO:0009408","response to heat",19,5,0.58,"0.00021"
"30","GO:0008610","lipid biosynthetic process",420,27,12.84,"0.00025"
"31","GO:0006470","protein dephosphorylation",56,8,1.71,"0.00028"
"32","GO:0009628","response to abiotic stimulus",56,8,1.71,"0.00028"
"33","GO:0051259","protein complex oligomerization",13,4,0.4,"0.00050"
"34","GO:0009723","response to ethylene",14,4,0.43,"0.00068"
"35","GO:0043933","protein-containing complex subunit organ...",274,19,8.38,"0.00081"
"36","GO:0072594","establishment of protein localization to...",51,7,1.56,"0.00087"
"37","GO:0031365","N-terminal protein amino acid modificati...",7,3,0.21,"0.00091"
"38","GO:0006014","D-ribose metabolic process",2,2,0.06,"0.00093"
"39","GO:0006480","N-terminal protein amino acid methylatio...",2,2,0.06,"0.00093"
"40","GO:0009443","pyridoxal 5'-phosphate salvage",2,2,0.06,"0.00093"
