"","GO.ID","Term","Annotated","Significant","Expected","classic"
"1","GO:0000271","polysaccharide biosynthetic process",104,8,0.43,"1.1e-08"
"2","GO:0033692","cellular polysaccharide biosynthetic pro...",104,8,0.43,"1.1e-08"
"3","GO:0009698","phenylpropanoid metabolic process",52,6,0.22,"7.2e-08"
"4","GO:0009808","lignin metabolic process",52,6,0.22,"7.2e-08"
"5","GO:0046271","phenylpropanoid catabolic process",52,6,0.22,"7.2e-08"
"6","GO:0046274","lignin catabolic process",52,6,0.22,"7.2e-08"
"7","GO:0019748","secondary metabolic process",55,6,0.23,"1.0e-07"
"8","GO:0034637","cellular carbohydrate biosynthetic proce...",160,8,0.66,"3.2e-07"
"9","GO:0044264","cellular polysaccharide metabolic proces...",174,8,0.72,"6.1e-07"
"10","GO:0016051","carbohydrate biosynthetic process",183,8,0.76,"8.9e-07"
"11","GO:0051273","beta-glucan metabolic process",82,6,0.34,"1.1e-06"
"12","GO:0051274","beta-glucan biosynthetic process",82,6,0.34,"1.1e-06"
"13","GO:0005976","polysaccharide metabolic process",200,8,0.83,"1.7e-06"
"14","GO:0009250","glucan biosynthetic process",96,6,0.4,"2.9e-06"
"15","GO:0030243","cellulose metabolic process",64,5,0.27,"6.7e-06"
"16","GO:0030244","cellulose biosynthetic process",64,5,0.27,"6.7e-06"
"17","GO:0044262","cellular carbohydrate metabolic process",281,8,1.16,"2.1e-05"
"18","GO:0006073","cellular glucan metabolic process",166,6,0.69,"6.5e-05"
"19","GO:0044042","glucan metabolic process",166,6,0.69,"6.5e-05"
"20","GO:0071704","organic substance metabolic process",11072,61,45.86,"0.00017"
"21","GO:0044038","cell wall macromolecule biosynthetic pro...",8,2,0.03,"0.00047"
"22","GO:0045491","xylan metabolic process",8,2,0.03,"0.00047"
"23","GO:0045492","xylan biosynthetic process",8,2,0.03,"0.00047"
"24","GO:0070589","cellular component macromolecule biosynt...",8,2,0.03,"0.00047"
"25","GO:0070592","cell wall polysaccharide biosynthetic pr...",8,2,0.03,"0.00047"
"26","GO:0019439","aromatic compound catabolic process",268,6,1.11,"0.00085"
"27","GO:1901361","organic cyclic compound catabolic proces...",270,6,1.12,"0.00089"
"28","GO:0006475","internal protein amino acid acetylation",16,2,0.07,"0.00196"
"29","GO:0016573","histone acetylation",16,2,0.07,"0.00196"
"30","GO:0018393","internal peptidyl-lysine acetylation",16,2,0.07,"0.00196"
"31","GO:0018394","peptidyl-lysine acetylation",16,2,0.07,"0.00196"
"32","GO:1901576","organic substance biosynthetic process",4464,30,18.49,"0.00242"
"33","GO:0006473","protein acetylation",18,2,0.07,"0.00248"
"34","GO:0043543","protein acylation",21,2,0.09,"0.00338"
"35","GO:0009058","biosynthetic process",4652,30,19.27,"0.00468"
"36","GO:0044248","cellular catabolic process",780,9,3.23,"0.00483"
"37","GO:1901575","organic substance catabolic process",672,8,2.78,"0.00655"
"38","GO:0044249","cellular biosynthetic process",4379,28,18.14,"0.00761"
"39","GO:0032324","molybdopterin cofactor biosynthetic proc...",2,1,0.01,"0.00827"
"40","GO:0009059","macromolecule biosynthetic process",3189,22,13.21,"0.00862"
