"","GO.ID","Term","Annotated","Significant","Expected","classic"
"1","GO:0005985","sucrose metabolic process",28,6,0.05,"9.3e-12"
"2","GO:0044262","cellular carbohydrate metabolic process",281,10,0.52,"5.7e-11"
"3","GO:0005984","disaccharide metabolic process",80,6,0.15,"6.9e-09"
"4","GO:0009311","oligosaccharide metabolic process",91,6,0.17,"1.5e-08"
"5","GO:0005975","carbohydrate metabolic process",1299,12,2.41,"1.9e-06"
"6","GO:0006421","asparaginyl-tRNA aminoacylation",5,2,0.01,"3.3e-05"
"7","GO:0006073","cellular glucan metabolic process",166,4,0.31,"0.00024"
"8","GO:0044042","glucan metabolic process",166,4,0.31,"0.00024"
"9","GO:0044264","cellular polysaccharide metabolic proces...",174,4,0.32,"0.00029"
"10","GO:0005977","glycogen metabolic process",14,2,0.03,"0.00030"
"11","GO:0005978","glycogen biosynthetic process",14,2,0.03,"0.00030"
"12","GO:0006112","energy reserve metabolic process",14,2,0.03,"0.00030"
"13","GO:0005976","polysaccharide metabolic process",200,4,0.37,"0.00049"
"14","GO:0046470","phosphatidylcholine metabolic process",28,2,0.05,"0.00122"
"15","GO:0097164","ammonium ion metabolic process",48,2,0.09,"0.00356"
"16","GO:0009250","glucan biosynthetic process",96,2,0.18,"0.01363"
"17","GO:0015980","energy derivation by oxidation of organi...",98,2,0.18,"0.01418"
"18","GO:0000271","polysaccharide biosynthetic process",104,2,0.19,"0.01587"
"19","GO:0033692","cellular polysaccharide biosynthetic pro...",104,2,0.19,"0.01587"
"20","GO:0006952","defense response",114,2,0.21,"0.01886"
"21","GO:0006418","tRNA aminoacylation for protein translat...",132,2,0.24,"0.02480"
"22","GO:0043038","amino acid activation",138,2,0.26,"0.02693"
"23","GO:0043039","tRNA aminoacylation",138,2,0.26,"0.02693"
"24","GO:0042545","cell wall modification",142,2,0.26,"0.02839"
"25","GO:0016482","cytosolic transport",18,1,0.03,"0.03285"
"26","GO:0042147","retrograde transport, endosome to Golgi",18,1,0.03,"0.03285"
"27","GO:0034637","cellular carbohydrate biosynthetic proce...",160,2,0.3,"0.03534"
"28","GO:0006650","glycerophospholipid metabolic process",162,2,0.3,"0.03614"
"29","GO:0016197","endosomal transport",22,1,0.04,"0.04001"
"30","GO:0016051","carbohydrate biosynthetic process",183,2,0.34,"0.04506"
"31","GO:0046486","glycerolipid metabolic process",187,2,0.35,"0.04684"
"32","GO:0006644","phospholipid metabolic process",206,2,0.38,"0.05566"
"33","GO:0045229","external encapsulating structure organiz...",234,2,0.43,"0.06961"
"34","GO:0071555","cell wall organization",234,2,0.43,"0.06961"
"35","GO:0006399","tRNA metabolic process",269,2,0.5,"0.08847"
"36","GO:0044238","primary metabolic process",10615,24,19.67,"0.08996"
"37","GO:0006091","generation of precursor metabolites and ...",299,2,0.55,"0.10571"
"38","GO:0008152","metabolic process",13764,29,25.51,"0.11409"
"39","GO:0071554","cell wall organization or biogenesis",347,2,0.64,"0.13498"
"40","GO:0034660","ncRNA metabolic process",366,2,0.68,"0.14704"
